true_label,pulse_ms,n,cls_acc,soc_medae,soh_medae,soc_mae,soh_mae,soc_q25,soc_q75,soh_q25,soh_q75,x,cls_acc_pct
LFP_35Ah,30.0,9,0.8888888888888888,2.5715469078350353,2.8075853119437113,3.09952289383825,4.8642509280046955,1.1981254621438318,3.194617665491286,1.174140295549364,5.780271069314736,0,88.88888888888889
LFP_35Ah,50.0,9,1.0,3.216581457400693,3.4841336618532637,4.698744586834788,3.4023451755212193,0.6956837839228314,8.504972456812872,0.8727239341617121,4.204044666181815,1,100.0
LFP_35Ah,70.0,9,1.0,4.705509043217269,2.6392773177611133,4.707083924293223,3.0029038427855284,1.0395025344978706,6.8791081743184,1.177154375368545,3.2738298156035484,2,100.0
LFP_35Ah,100.0,9,1.0,2.701375292018053,2.9226465125940706,6.6332974706889525,3.6093612125738526,0.38398027678255886,7.784131272085023,1.9145180781380446,4.369385220995667,3,100.0
LFP_35Ah,300.0,9,1.0,2.751849931589545,2.7259120334530422,4.242814005208899,3.8918329388603845,1.2438082790122706,8.189261228338516,1.6196935143742195,5.593566451050151,4,100.0
LFP_35Ah,500.0,9,1.0,1.660966373478459,3.0622684163281804,2.8315613035071667,3.908353693469072,0.5241737548284036,4.283183821871965,1.342197696125524,5.315647548580088,5,100.0
LFP_35Ah,700.0,9,1.0,2.001487305449608,3.400516978561029,2.640008356759909,4.020712857358886,0.4003082053844196,3.566974456078686,1.3123250409978908,5.085506174892743,6,100.0
LFP_35Ah,1000.0,9,1.0,3.7681965217477256,2.7462181788399107,3.267036301457014,3.565045907192287,3.305519925163921,4.493631887218008,0.80996501839698,5.269999986400549,7,100.0
LFP_35Ah,3000.0,9,1.0,2.6920690417462865,2.9172125048630164,2.7534253285095533,3.1175333854085574,0.871548319721029,4.040158491846787,1.5990901349305062,3.260595153015288,8,100.0
LFP_35Ah,5000.0,9,1.0,3.9964389958304807,2.2429316713595995,2.9629342583228593,2.9091120830035746,1.5285403737114436,4.5183213806296685,0.7708447477267981,4.107757037338402,9,100.0
LFP_68Ah,30.0,22,1.0,2.8985938644318665,2.3738615935610454,4.399346919533305,4.145152047811524,1.891110073686638,6.661474696215972,0.7457077213443775,6.427400806905105,0,100.0
LFP_68Ah,50.0,22,0.9545454545454546,5.050847000557566,2.719423961424148,4.654911941034692,4.423952855554606,1.0869478799245513,5.468198094387985,1.1230725312615135,6.242442102755252,1,95.45454545454545
LFP_68Ah,70.0,22,0.9545454545454546,3.984653267472172,2.336585814364362,5.5453846640762565,4.125922847784608,2.5659464443249673,7.943802100059134,0.9029093520470255,6.235865927706019,2,95.45454545454545
LFP_68Ah,100.0,22,0.9545454545454546,3.290935623120717,2.6944317057152176,4.746146235832733,4.413003670415687,2.2218212823881682,4.874016555999635,0.9554690443594751,5.932382337049834,3,95.45454545454545
LFP_68Ah,300.0,22,0.9545454545454546,4.588724862628393,3.355638926994949,7.214802426430153,5.164280095417891,3.0267539813440525,8.830091658162054,1.7291725102267819,6.389352599596453,4,95.45454545454545
LFP_68Ah,500.0,22,1.0,3.3124812497409426,2.8433875512036977,5.0987590927285105,4.680055231394068,2.4310848224265857,6.815990418319496,1.160887276930012,6.86084907736079,5,100.0
LFP_68Ah,700.0,22,1.0,3.4350885726596,2.575000452964467,4.42439620662855,4.7449005048398485,1.959210330454634,5.896805328974178,1.2051056638014828,7.210679468868626,6,100.0
LFP_68Ah,1000.0,22,1.0,4.045464015767855,2.5078977104712337,4.648433489818204,4.293343284728599,2.1947459918528294,7.567394063796494,0.7928361351170352,6.530606420081682,7,100.0
LFP_68Ah,3000.0,22,1.0,3.7411368170717,2.870468721026178,4.197744843030007,4.837682730192415,1.6175892689459617,4.736739291715071,1.2549925118948337,6.776396613501575,8,100.0
LFP_68Ah,5000.0,22,1.0,4.0388996020933945,2.940418653653815,4.170224532121749,4.951329838391168,2.231651244476421,5.62319200391972,1.565201944532891,7.309981083657409,9,100.0
LMO_10Ah,30.0,26,0.8846153846153846,0.6738821512730695,1.5024694616505343,1.9238035067056076,2.2222126029238427,0.4043761146645819,1.600518359114604,0.775842311514257,2.3588295542593833,0,88.46153846153845
LMO_10Ah,50.0,26,0.8461538461538461,1.1995354849904292,1.7620284693933286,2.645766122190106,2.5710262913313193,0.5192538462070919,1.821228552167808,0.6658729832231209,2.6167529841733153,1,84.61538461538461
LMO_10Ah,70.0,26,0.8846153846153846,1.0043869302422515,1.4013453762026202,2.4178406228904916,2.3113876603737036,0.4254327764006849,1.9196913893296452,0.7285344283516721,2.588648792632423,2,88.46153846153845
LMO_10Ah,100.0,26,0.8846153846153846,0.7594100516629378,1.3908098518158027,2.2389263271406605,2.3740232556255045,0.21995991631510847,1.4283209770438656,0.7216070566397192,2.7973655196907288,3,88.46153846153845
LMO_10Ah,300.0,26,0.8846153846153846,0.7181163122606655,1.3384523889058357,1.6290182922360439,2.6826926752809896,0.33700710827983826,1.2427749697013564,0.5057548940296392,2.674629435296044,4,88.46153846153845
LMO_10Ah,500.0,26,0.8846153846153846,0.582308927154731,1.875701523756831,1.474623814692986,2.6464365296050683,0.3612201966886879,1.5206199384622483,0.9092295728024347,2.3594663149849318,5,88.46153846153845
LMO_10Ah,700.0,26,0.8846153846153846,0.894784846269479,1.328765562613313,1.468737558879914,2.550093619362094,0.5215823570074534,1.373321629868796,0.6792815593553065,2.551373349405086,6,88.46153846153845
LMO_10Ah,1000.0,26,0.9230769230769231,0.9536184806420529,1.498571110512188,1.5798275852805819,2.3336898832585335,0.43280306397761414,1.3377117549046051,0.67976203504616,2.3304591959446945,7,92.3076923076923
LMO_10Ah,3000.0,26,0.9230769230769231,0.7242536588818851,1.2257104044151106,1.3588117032321518,2.2526518027038764,0.3441281464630457,1.815886581792494,0.617327151834349,2.0175024060929125,8,92.3076923076923
LMO_10Ah,5000.0,26,0.9230769230769231,1.3564675127081767,1.3472900427944126,1.6319247295365011,2.2543403815973715,0.5930624653994787,2.231441322433819,0.5584526741244211,2.4671130278971507,9,92.3076923076923
LMO_24Ah,30.0,16,1.0,2.040890015857812,2.73624170744516,6.909146177119496,3.087527987529624,1.2305786202730067,5.825007409988158,1.2099844303103389,3.8819823659394643,0,100.0
LMO_24Ah,50.0,16,1.0,2.35030613233719,3.2394820487847085,7.450913610568358,3.8961848277552367,1.0673871290682673,5.7096903313104495,1.2588401835395224,6.135904019515298,1,100.0
LMO_24Ah,70.0,16,1.0,2.128839693493372,2.5805411803702114,7.806679388637452,5.100365743342421,1.3456352990353189,5.101014648442712,1.1964739171259424,4.236573771641048,2,100.0
LMO_24Ah,100.0,16,1.0,2.517563294427399,2.542850004721302,7.461070419732847,4.509196565739303,1.1218121207470242,6.012712141748748,1.1480276907668703,6.190383425290001,3,100.0
LMO_24Ah,300.0,16,0.9375,3.9444062677489544,2.565125167631642,9.193076580351928,6.973064066758033,1.559694806952134,8.302656603724586,1.1550933632720444,8.798024762691487,4,93.75
LMO_24Ah,500.0,16,0.9375,3.565631585072733,2.331243704130941,9.37977960976363,7.374207335660204,1.9722316112291214,8.517299254909444,1.6936588655472207,8.619362351362565,5,93.75
LMO_24Ah,700.0,16,0.9375,4.309445663196865,2.550190104893602,9.568330599797516,7.26490047469032,1.082384539286716,10.109360005501427,1.3996607073234095,8.824441755701631,6,93.75
LMO_24Ah,1000.0,16,1.0,2.7812276183205373,2.4129263107116827,7.732728455212408,4.461025692198239,0.9077443224795143,5.515488410256625,1.3965575758646125,4.893224514888711,7,100.0
LMO_24Ah,3000.0,16,1.0,2.0633616746509382,2.207180501293017,6.59896280940896,2.6961050158660846,0.9306392865792317,4.672826325277271,1.097652723680028,3.7892069705225637,8,100.0
LMO_24Ah,5000.0,16,0.9375,1.5828839541463484,1.3863666769753848,6.281939943824893,2.3572696634072106,0.9003373915525064,4.201147071064234,0.3640863440901718,2.7718641814892493,9,93.75
LMO_25Ah,30.0,15,0.7333333333333333,3.072872207431132,4.591213369180906,3.8439124963981404,6.780338830378787,1.0944629170246394,5.407665684254027,2.950996574407675,10.101142583519984,0,73.33333333333333
LMO_25Ah,50.0,15,0.8,3.282339524289685,6.124678809349476,4.388549956682829,7.217293038953003,1.0722776069446134,7.398769242551744,2.4425079373339074,12.243553649429046,1,80.0
LMO_25Ah,70.0,15,0.8,3.1133728918856916,4.487876500685928,4.364451841620907,6.792418606244696,1.7533455025880862,6.425179638693901,2.7279259522915353,9.824685029128425,2,80.0
LMO_25Ah,100.0,15,0.6,4.480625985044057,6.186028076789242,4.175327514422124,7.70346744976293,1.7210396639907977,6.1786471587097545,3.612577588759052,12.274559272243629,3,60.0
LMO_25Ah,300.0,15,0.8,1.440778058001655,5.4648150924296885,2.3020902375014924,6.87662587160522,1.0161985244947318,3.7482953690918177,2.9711086480898388,10.597879665039876,4,80.0
LMO_25Ah,500.0,15,0.8666666666666667,2.6146970225654425,5.892489208424578,3.085360596898318,6.7623972319803105,1.2481915532329548,4.270590779162742,2.769940164095253,11.014715488978332,5,86.66666666666667
