stage,epoch,train_loss,train_cls_acc,train_soc_rmse,train_soc_mae,train_soc_mape,train_soc_medape,train_soh_rmse,train_soh_mae,train_soh_mape,train_soh_medape,train_score,val_loss,val_cls_acc,val_soc_rmse,val_soc_mae,val_soc_mape,val_soc_medape,val_soh_rmse,val_soh_mae,val_soh_mape,val_soh_medape,val_soc_rmse_raw,val_soc_mae_raw,val_soc_mape_raw,val_soc_medape_raw,val_soh_rmse_raw,val_soh_mae_raw,val_soh_mape_raw,val_soh_medape_raw,val_score,test_loss,test_cls_acc,test_soc_rmse,test_soc_mae,test_soc_mape,test_soc_medape,test_soh_rmse,test_soh_mae,test_soh_mape,test_soh_medape,test_soc_rmse_raw,test_soc_mae_raw,test_soc_mape_raw,test_soc_medape_raw,test_soh_rmse_raw,test_soh_mae_raw,test_soh_mape_raw,test_soh_medape_raw,test_score,score,best_score_so_far
finetune,0,-2.593359421517559,0.990596071182313,0.13665116715283931,0.08048557720889346,178.78323187840158,5.914524846793044,0.29308687272720646,0.1921821612471138,105.8754628513574,18.578823411729637,0.9476222671943084,3.308788559483547,0.984313725490196,0.2574531042073149,0.16949013617510597,119.55291708826367,20.67075895793877,0.4655919749577826,0.3247872307435518,130.74989930892107,35.96956481179354,5.729423349561317,3.771874286433206,9.551449913762154,6.0383864329784895,0.04939990266362192,0.03446033962800497,4.617088991570556,2.6191764603136365,0.9120092175736862,3.5415212631225588,0.90234375,0.37769923653838083,0.19688181572510075,79.66913110721876,16.64550860497807,0.6032696025908721,0.39742972206877314,192.0209905118416,46.32057775891991,8.405409721499867,4.38145531627026,10.961565866415848,5.685931559008065,0.06400767463960948,0.04216780065336804,5.20211545866196,2.7688890954914775,0.8042468660870747,0.9120092175736862,0.9120092175736862
finetune,0,-2.661164618831928,0.9917990698766193,0.13574406412207915,0.07954651175445217,174.03941943486322,5.8545489450819375,0.290207784976173,0.1905228576247494,102.33236615443609,18.687246338848418,0.9492038849667941,4.3284177097619745,0.9647058823529412,0.28540709622508853,0.18767854350016397,128.2178810027293,20.344534425089886,0.5554048181043987,0.3842522426969463,144.61124714872176,40.548354238603125,6.351518216403995,4.176643480964279,10.494223818156156,7.064884170284341,0.058929159927534766,0.04076965327683915,5.420066940390487,3.230604658255997,0.8806246909199924,3.8506226778030395,0.9078125,0.3845750345809665,0.20383228249374952,88.8871300744502,16.62024865181336,0.6206609287477394,0.4013003761723667,213.6911269974636,46.282075634248486,8.55842538613266,4.5361326767055,11.209764719954347,5.521547171918153,0.0658529165371281,0.0425784819929238,5.306059263683499,2.715089245356654,0.8072889036671295,0.8806246909199924,0.8806246909199924
finetune,1,-2.646514048733825,0.989745169666828,0.13857954584564453,0.0810689631838672,176.75915352596888,5.976857763461306,0.29179686970874086,0.188908257711788,100.25141763896286,18.209559640267333,0.9467075281113895,6.005421344906676,0.9784313725490196,0.3865076644196838,0.26203098927496693,149.44743826366525,26.89671532676413,0.6402883781278402,0.4399248313030922,152.70443115043145,47.8344064787919,8.601434595744248,5.83130070574613,15.546272407934955,8.439718254365253,0.06793541396204629,0.046676585969192476,6.346849043295362,3.5889766920333463,0.8757517682942672,5.144897365570069,0.9015625,0.4720392413338159,0.2753129060325591,146.2928691391588,22.598593690404996,0.6362813259074982,0.42423351085235483,213.42065717916253,52.2533675807026,10.504874895698899,6.126879678204742,15.366942687057113,7.2360274773101425,0.06751026060825213,0.045011716846393664,5.671289166928065,2.901577837728216,0.7907304432758686,0.8757517682942672,0.8806246909199924
finetune,2,-2.5904882149613595,0.9878086351833106,0.1459311778764552,0.0848108735452024,183.3128543648737,6.223719902826827,0.30160578933184856,0.19281896556993994,103.36360778071558,18.651483457368347,0.9430549384624802,5.295297323488722,0.8470588235294118,0.45166615197584264,0.26421805177906565,138.33303385510524,26.973550124787522,0.6923464087869149,0.4890631684412559,158.91665633889403,55.39901146674656,10.051487261358018,5.87997212113463,13.37498643322019,8.765456307283063,0.07345883744384346,0.051890226242733754,6.656596523162127,4.413650849281159,0.7326575674531359,4.847957611083984,0.81484375,0.48894561902432754,0.27881276496154894,128.68686593954357,20.809156125927636,0.6899024993322954,0.4663348340716766,261.63516502793544,54.00502932089064,10.88111349416039,6.204766381220674,14.749751999344387,7.202597147092671,0.07319953553214736,0.04947872096353457,6.104555887697471,3.6565537828347594,0.6969589381643376,0.7326575674531359,0.8806246909199924
finetune,3,-2.8239900864039993,0.9893784017722225,0.14003728836778478,0.0804049252385844,179.33763952906818,5.7438771845026135,0.28236392512886227,0.18102357430159924,96.0479511723741,17.29040101020641,0.9471382804225578,4.563229198081821,0.9803921568627451,0.24568082547466494,0.1715384892534976,114.2020928823159,19.57179062245733,0.5499291393143212,0.39207750969091615,128.44514763635223,44.5389886849917,5.467440225077119,3.8174588288748947,9.76939575173653,7.026852794175167,0.05834818342064455,0.04159992409036427,5.539330338822268,3.3096990405629736,0.9008311603838465,4.188183212280274,0.89921875,0.3713234604461272,0.1939292239087081,77.70195181746888,16.292962423533147,0.5722894462278875,0.390677954097373,207.71632834452072,46.951267973508024,8.263521665704207,4.315747627304344,10.525209284054323,5.658241369811089,0.06072064051713777,0.04145142945598053,5.18964297203935,2.867923568891422,0.8048574593325984,0.9008311603838465,0.9008311603838465
finetune,4,-2.7275656666667603,0.9891289996038907,0.1437312312518659,0.08264921599318685,183.85260763899836,5.967958695352635,0.28720483742353003,0.18628594825605585,97.89093195357873,18.28012702009478,0.9460353927363511,3.810834954766666,0.9529411764705882,0.283418131006319,0.18864364752034637,120.14049912911227,21.527711156502953,0.6120519753698749,0.4107470602363202,111.8778007444146,44.04812428737962,6.307255305684896,4.198121138128344,10.460337230309495,6.518799201244794,0.06493949559824547,0.04358078722659026,5.789442333177607,3.0678122035705,0.8633941658329688,3.8061367750167845,0.8890625,0.3885241022256868,0.20419798444600018,91.29022599031794,16.298767755632912,0.6640189200362092,0.4098812697389803,224.29049973111552,43.91177244350036,8.646308888032245,4.544271095974734,10.99437438868444,5.601682640090459,0.07045325473998221,0.043488925750026886,5.4040339600575145,2.745274848008046,0.7838081977738104,0.8633941658329688,0.9008311603838465
finetune,5,-2.6321155169937667,0.9881167202147793,0.14794785810155084,0.08573111988697976,184.8895454436672,6.250021186591356,0.28905870142951057,0.187630255716924,97.18120973061036,18.320165634559533,0.9444160642616731,3.3290419223261813,0.9647058823529412,0.3271967824450329,0.22318240275387377,130.811778079214,22.98804518555813,0.5312196591136681,0.35935935039785416,123.46437958705637,39.94443020260377,7.28151595225024,4.9667549105159,13.239891194611396,7.584148960334201,0.05636308369704423,0.038128485639225385,5.058084720954403,2.8743200372075526,0.878864238197071,3.7141247034072875,0.88359375,0.42546759312384697,0.23093259190573007,109.83559355877019,18.247326795505764,0.6091393103808108,0.401461170429684,186.8262225112751,46.70743019925696,9.468458226716393,5.13922948535888,12.516760270755292,5.851535738339486,0.06463045812618734,0.042595542468807354,5.260197949267093,2.9049049809942913,0.7801330596495342,0.878864238197071,0.9008311603838465
finetune,6,-2.7953381433038245,0.9916523627187771,0.13754384900821298,0.07997558230911901,175.46069079564023,5.878116597763603,0.2739224298547899,0.1773074595370156,91.41071097884378,17.081643911655032,0.9505057348324768,3.886978641210818,0.9450980392156862,0.25131186050930776,0.1741320813732112,126.82458216569489,20.67634240348154,0.5728211045726201,0.38868239418986966,121.86574575420394,40.20421779956311,5.592754634118778,3.8751772521802885,9.575814014267262,6.467412534299137,0.06077705014593879,0.041239698003351796,5.430836068165748,3.063684737038346,0.8626847427074935,3.943686842918396,0.89453125,0.3789901475328456,0.20329330556560307,88.20765331915057,17.124624281578328,0.5956848268235027,0.38984920846669413,196.96568389353146,44.312725223832395,8.434137965490804,4.524138154415684,11.318149019657902,5.900136560075039,0.06320292025210651,0.04136349848704114,5.108706818442121,2.6682326485586194,0.7970637525643651,0.8626847427074935,0.9008311603838465
finetune,7,-2.685090674838852,0.9877792937517421,0.14287255549459194,0.08346834151334054,181.77764794981593,6.13875774315523,0.28257680776098537,0.1823468590548504,93.46338608142366,17.8115364285085,0.9452343574261843,3.695961565129897,0.9725490196078431,0.28516133779671005,0.185086663337607,113.96198308288545,21.168474810390595,0.5389854190727876,0.3947225635469544,167.59598793506956,46.19549499068662,6.346049049185217,4.118963155965515,10.17142687417852,6.759095042544493,0.057187040738237514,0.04188056767972205,5.521563111349417,3.7259219253340614,0.8901343439208933,3.833748626708984,0.90546875,0.3617305017075019,0.18860691990921624,69.83090256704675,17.00848641719747,0.5683945276137288,0.3990906085773531,220.2586894038628,54.76803035924699,8.050037652925711,4.1973037930299775,9.844267508018698,5.682585001591239,0.060307384682048236,0.0423440228313096,5.327330306698106,3.127494950955877,0.812456247067877,0.8901343439208933,0.9008311603838465
finetune,8,-2.7389110024367156,0.9895691210774173,0.1397725381674145,0.08115054853358208,179.64934477072308,5.940393063913131,0.27390297865484414,0.17871686081531898,89.6440487014641,17.580646187684724,0.9482015693951915,3.6315330337075626,0.9450980392156862,0.2662741310263034,0.18102648130015414,120.26112890737379,20.73059497219421,0.6048005375045136,0.4063484063536367,140.5148541266085,42.40641971351139,5.925728603597495,4.0286068876250125,10.177371329502234,6.686178542704461,0.06417010878750279,0.043114084436716715,5.686280703827762,3.22897704301238,0.8579905723626046,3.937090802192688,0.8765625,0.3831668680578682,0.2108592411805148,93.19175306940397,17.89807406440883,0.642394732559536,0.4211662554578652,216.9099479901948,47.598939955612614,8.527087709384304,4.6925123066979815,11.419401785856342,6.133987836459866,0.06815890085507166,0.044686277135054145,5.548719083642354,2.933352620444044,0.7740063399382596,0.8579905723626046,0.9008311603838465
