stage,epoch,train_loss,train_cls_acc,train_soc_rmse,train_soc_mae,train_soc_mape,train_soc_medape,train_soh_rmse,train_soh_mae,train_soh_mape,train_soh_medape,val_loss,val_cls_acc,val_soc_rmse,val_soc_mae,val_soc_mape,val_soc_medape,val_soh_rmse,val_soh_mae,val_soh_mape,val_soh_medape,val_soc_rmse_raw,val_soc_mae_raw,val_soc_mape_raw,val_soc_medape_raw,val_soh_rmse_raw,val_soh_mae_raw,val_soh_mape_raw,val_soh_medape_raw,val_score,best_score_so_far
finetune,0,-1.8868140677835477,0.9680613831753763,0.19801927534242403,0.12271452143516491,295.89831251191373,9.696412761344465,0.3165305121797419,0.20586676797144488,102.2956604883707,20.167532719863512,1.2817259449584812,0.9058823529411765,0.5407414788662661,0.2923366004199374,100.65337593805562,25.975569042801094,0.5010822366211674,0.37487050868461236,133.09530188014577,37.9891119068299,12.021578350397968,6.499126632574109,14.297958331155542,8.006573384404685,0.052611323462921133,0.03935967421656309,5.0976370830186974,3.347699943978244,0.8016999813924331,0.8016999813924331
finetune,1,-2.100208174814721,0.9705114286552624,0.19114129381392997,0.11759764139399911,291.6315538531419,9.099026320741316,0.30061108339123666,0.19455528564040844,97.98053275179866,18.987483555870263,1.4911706583172668,0.9117647058823529,0.5621036317630912,0.3026279446102825,103.88541981944289,27.784265589324363,0.43022854579312675,0.30910677383927737,142.75594609204407,31.020221486840967,12.49649437740738,6.727920252724236,15.012929536903194,8.04111624191923,0.04517201275849058,0.032454785411467624,4.090250517851342,2.7230692124377858,0.8125314881267311,0.8125314881267311
finetune,2,-1.9867936926707113,0.9692643995187935,0.20034665985402036,0.12244170211950033,298.1434133544915,9.485352871799577,0.3036345382447469,0.1988945634535343,99.953729736198,19.642758792220715,1.375959248636283,0.9392156862745098,0.5546244590694696,0.3235785204551968,143.30375186494578,30.542500495886316,0.513921275583368,0.3654730789911221,124.35045790131174,34.681799772922325,12.330219985583325,7.19368624044474,19.964752997818255,8.781914106041652,0.053959363330285386,0.038372987447025775,4.8139914319465005,3.2957473281422733,0.8323611128092261,0.8323611128092261
finetune,3,-2.062452374124173,0.9705114286552624,0.19197228933875596,0.11797931966497975,284.67761192178,9.220760700420584,0.2986307484969002,0.19459941329100772,95.92296234950156,19.288499873268293,1.1469727177245945,0.9156862745098039,0.5004007117856268,0.2650478680106793,108.92285431340198,26.3672036934809,0.49226552543938584,0.35787698572465015,113.96136419540082,35.52084029454529,11.124736308260124,5.892452930699514,13.927212649222609,7.689855430978773,0.05168560945838629,0.03757543269315607,4.820401664262455,3.172106907943563,0.8164196507873026,0.8323611128092261
finetune,4,-2.031974993864103,0.9673131656934949,0.19821304231567485,0.12196104125332648,301.2981755505964,9.58458859153373,0.3048122395530173,0.19788374693929936,99.65847926913055,19.326597301686373,1.056713983591865,0.9274509803921569,0.49097068325619875,0.25696665390449414,84.91091892764739,23.44788479171343,0.5193653303516211,0.3785738224821056,114.74719246635512,36.26621303488766,10.915091161283991,5.712794161508123,12.556201734866853,6.939700199752235,0.05453096396872304,0.03974850508272672,5.11313496019314,3.4117186202162406,0.8264173790313749,0.8323611128092261
finetune,5,-2.045477377445302,0.9669757342800974,0.20070322594450654,0.12277484825798453,300.11699188364025,9.478871416225392,0.3054036672309832,0.19688376130205873,99.01781308473001,19.047971022165253,1.5299962137259688,0.8803921568627451,0.6267345070422035,0.370025734692885,183.91372059782256,30.31647004692396,0.6023206456121023,0.4279782147091978,165.7297714638745,37.34878951283882,13.933345740560906,8.226284712984299,19.39985700683096,8.84995882107241,0.0632408894164243,0.04493573837496108,5.750618728649512,3.6753668369984354,0.7574866415973145,0.8323611128092261
finetune,6,-2.0337039034382207,0.9686922332091195,0.19978737390159668,0.12205003652556891,297.19834510174223,9.510103780749748,0.29897771796212935,0.19462708830498546,98.70464561978747,19.06870958964366,0.90058735258439,0.9549019607843138,0.46833651376036406,0.23520375939962618,90.72064557938675,20.879526993382747,0.5472672457903217,0.3968659882232839,140.51489210908883,38.2241682327725,10.411896099272374,5.228968985066611,11.652765850471972,6.949025280305408,0.057460536384378987,0.04166909810780751,5.364345495328113,3.254567153309966,0.8533415848292452,0.8533415848292452
finetune,7,-2.155687232689239,0.9718611543088524,0.18730028833902326,0.11470142842662723,284.51915888421956,8.933025845610787,0.2902432074683393,0.18682168161879217,92.3498265815485,18.007300508321286,1.0534754640915815,0.9431372549019608,0.48779198980900784,0.25584862399115865,87.84173019138161,25.70359429193888,0.4974826515203823,0.358566049818753,132.77904789652396,32.312609966681514,10.844423543169286,5.687938505475539,12.965915285300605,7.501702442029138,0.05223338363143418,0.03764778124453556,4.775708483257436,3.046492305953802,0.8446097907690218,0.8533415848292452
finetune,8,-2.0779453502889633,0.9700126170006749,0.19469448786690002,0.11999936013607586,299.79480259023774,9.407769275169896,0.2976181462708514,0.1923219850360111,93.07369405581706,18.817267707396496,1.285762214193157,0.9392156862745098,0.49984060595976815,0.26317169300517906,84.30515306848957,26.42844081811288,0.509194909059779,0.3902519359125518,147.86016072902245,39.604850396736396,11.112284228415625,5.8507424540499935,12.296188173167184,7.662266031647763,0.053463116646999244,0.04097465312435126,5.2996150606730925,3.455328318960396,0.8383121347725551,0.8533415848292452
finetune,9,-2.1657673815865777,0.9696605146562601,0.19781350023753044,0.12053001155130573,292.6906499346522,9.284815222523356,0.28920752921737597,0.18563491842721547,93.21524623583082,17.65679562876533,1.2922164758046468,0.9313725490196079,0.4935660663021246,0.28294515997974895,115.23359977272382,29.85011836580469,0.5186617925433553,0.3729364708504256,144.1817506515021,33.81314628704658,10.972790823424408,6.2903393627099025,16.009937459526743,7.790970908982834,0.05445709574412052,0.03915660916526523,4.988236387095505,3.2205201133379537,0.8301497631350598,0.8533415848292452
