drop_count,cls_acc_mean,cls_acc_std,material_acc_mean,material_acc_std,soc_medae_raw_mean,soc_medae_raw_std,soh_medae_raw_mean,soh_medae_raw_std,soc_medape_raw_mean,soh_medape_raw_mean,n_test
0,0.91796875,0.0,0.97421875,0.0,1.872536377048192,0.0,2.1896912941823388,0.0,4.780683487871569,2.654376010893059,1280
1,0.46703124999999995,0.008457730376702745,0.73171875,0.00959380089563049,8.712747750582743,0.33390991927344366,5.838558477702163,0.16241877484532377,21.40636894848797,6.92466516339109,1280
2,0.3359375,0.011388577919619728,0.66640625,0.005468749999999978,12.54510849631729,0.4919605502458495,7.128703085723731,0.24627277683093818,31.3189967885556,8.466982047065713,1280
3,0.27218749999999997,0.006456547972310733,0.6292187499999999,0.0043357615392223894,14.653849494989137,0.318328114926688,7.6655162912388,0.34757768522407084,36.25766074057752,9.069397715343019,1280
4,0.23078125,0.010591629581301453,0.6109375,0.007753684859874663,16.49506026399802,0.6605998655780478,7.942954397718585,0.21814495722636656,39.431559174712106,9.385040284723086,1280
5,0.2109375,0.016284893426309247,0.59421875,0.005965190365256579,17.355912824676388,0.23588756584532347,8.257448559122894,0.24749969805539918,41.474830965432474,9.740724674228087,1280
6,0.1978125,0.01008690266973713,0.5901562499999999,0.0033420702556574183,18.242459052806044,0.43059523055439053,8.496808167254585,0.17359051176987417,42.82956027383001,9.963588526812039,1280
7,0.19515625,0.006284086735059433,0.58421875,0.004732853509644069,18.365329800937445,0.6215556194220958,8.521493675825315,0.2929608771489958,43.81544355220562,10.128099764265,1280
8,0.18062499999999998,0.0077023484649163965,0.583125,0.006688704622813743,19.225786383084486,0.23409235860747066,8.687571297930939,0.24664202303304386,44.48808770578385,10.265265984078779,1280
9,0.173125,0.006264631311477947,0.57375,0.002626208799058078,19.64655097045598,0.45972237868020577,9.079596558718467,0.449290824869382,45.34324422854981,10.668548801761062,1280
10,0.16890624999999998,0.0053957177030725025,0.57203125,0.005617399378827401,19.9300469020385,0.22761943135576895,9.071972928097056,0.25727638763907,45.56416550833693,10.791938361206935,1280
20,0.16421875,0.005193990668310826,0.5743750000000001,0.00351128203972564,20.955335873216466,0.33948218090333826,9.43599093883707,0.3007689830951122,47.090595183329945,11.245836757456964,1280
