experiment,type,level,noise_mode,drop_count,repeat_id,cls_acc,material_acc,soc_medae_raw,soc_medape_raw,soh_medae_raw,soh_medape_raw,soc_mae_raw,soh_mae_raw,soc_rmse_raw,soh_rmse_raw,n_test
missing_value,drop,0,none,0,0,0.91796875,0.97421875,1.872536377048192,4.780683487871569,2.1896912941823388,2.654376010893059,3.9239833498752454,4.1282587145148595,8.007415660479055,6.260904320975817,1280
missing_value,drop,1,none,1,0,0.453125,0.7234375,8.35924415247414,21.161721994146944,6.037409944309175,7.179222019388372,12.769000045978695,7.998663808149468,18.082207612214155,10.695325672532322,1280
missing_value,drop,1,none,1,1,0.4734375,0.7453125,9.226489608276285,21.893180844517893,5.841639315605157,6.921706229691624,12.725728887328122,7.876908845565085,17.54175245299548,10.550791904695735,1280
missing_value,drop,1,none,1,2,0.47421875,0.73203125,8.74692693813117,22.01298515722516,5.936905630232907,7.003312413432402,12.755606472063143,7.906765791975481,17.841818310560686,10.594698748503522,1280
missing_value,drop,1,none,1,3,0.4671875,0.721875,8.75159151284093,21.365202011324357,5.613545530392187,6.707902605405287,12.609104708913812,7.681417211809324,17.722659194546136,10.38773727671383,1280
missing_value,drop,1,none,1,4,0.4671875,0.7359375,8.47948654119119,20.598754735225487,5.763291967971391,6.811182549037765,12.550515051612575,7.926215905419565,17.76955287000837,10.590767465810877,1280
missing_value,drop,2,none,2,0,0.315625,0.6671875,12.203344614291133,30.91604747897879,6.950256147761834,8.197925819150102,15.764530562664948,8.92214313502431,20.480665840803578,11.502116341233787,1280
missing_value,drop,2,none,2,1,0.340625,0.6625,12.523889521387982,31.03870802173852,7.292046678505969,8.809908323175001,15.909923764468289,9.02723468045874,20.541106127813503,11.576070054752183,1280
missing_value,drop,2,none,2,2,0.33984375,0.659375,13.102446409893112,31.82739165599687,6.872724235859614,8.290003745528365,16.35496506737822,8.980795849193157,20.976240376012033,11.688027735895963,1280
missing_value,drop,2,none,2,3,0.3421875,0.67265625,11.937374682122709,30.50825774796692,7.466492463397103,8.614178649379625,15.404921810042065,9.038677080160907,20.19169273926407,11.521247704895096,1280
missing_value,drop,2,none,2,4,0.34140625,0.6703125,12.958487253891516,32.304579038096904,7.061995903094136,8.422893698095471,16.463048248765777,8.879451068504444,21.399222003231603,11.474212351424121,1280
missing_value,drop,3,none,3,0,0.27109375,0.63671875,14.3101174332931,35.97897850123015,7.86244239530852,9.28185089343898,17.623583317493875,9.316213139083024,22.179245765523344,11.73214288205397,1280
missing_value,drop,3,none,3,1,0.2734375,0.62578125,14.4785496856043,35.68186169405685,7.224478670194706,8.654659525046544,17.709533726824095,9.195967930482741,22.35499137442842,11.766873765099918,1280
missing_value,drop,3,none,3,2,0.278125,0.62890625,15.158734598049618,36.26067781075797,7.375261005009072,8.772197778514357,18.024449177596416,9.11049613069871,22.68215637621011,11.515740075762936,1280
missing_value,drop,3,none,3,3,0.2765625,0.62734375,14.687759130487226,36.13226292552855,8.039762394224184,9.455538535328298,17.7344702644506,9.453506014470886,22.258850335480528,11.848920038920356,1280
missing_value,drop,3,none,3,4,0.26171875,0.62734375,14.634086627511447,37.2345227713141,7.825636991457522,9.182741844386914,17.879744438266652,9.5649988467468,22.438650195985762,12.146494964236835,1280
missing_value,drop,4,none,4,0,0.2421875,0.61953125,16.345769626657024,39.26165807031299,7.577068580412437,8.795250725946214,18.962931359785813,9.505833039566815,23.12310661585481,11.995939992591769,1280
missing_value,drop,4,none,4,1,0.22578125,0.60859375,16.326811415672783,38.95464286985363,8.084753465956567,9.830094283715113,18.75065281196386,9.715723750012106,23.014956598973555,12.260248022977036,1280
missing_value,drop,4,none,4,2,0.2421875,0.61875,15.92415498978744,39.12547759706529,8.004509610688814,9.326065040503,18.548179891883702,9.823718794309254,23.140295049141468,12.330403259268278,1280
missing_value,drop,4,none,4,3,0.2203125,0.6046875,16.241295007065716,39.03511181005488,8.122638121540973,9.577990585078254,18.56403922903054,9.729283937020618,22.72546278945063,12.187927189382679,1280
missing_value,drop,4,none,4,4,0.2234375,0.603125,17.63727028080715,40.78090552627374,7.925802209994131,9.395800788372853,19.528146132186947,9.675344416454337,23.77807624938791,12.22701662559629,1280
missing_value,drop,5,none,5,0,0.1828125,0.58515625,17.28469723514848,41.606973615862486,8.392119223595643,9.936051464889172,19.528849489759768,9.904675650375413,23.63687361668485,12.324209285750893,1280
missing_value,drop,5,none,5,1,0.21640625,0.59765625,17.157316887639283,40.75844634648388,8.122211484582074,9.594852771999697,19.18815876404045,9.612204688680151,23.465145080538193,12.051297274009952,1280
missing_value,drop,5,none,5,2,0.21171875,0.59140625,17.75370702645358,41.384801570014275,8.314581259964633,9.996072694760345,19.89570668927941,9.826514615583667,24.095917520372772,12.184063043759041,1280
missing_value,drop,5,none,5,3,0.221875,0.6,17.368176844054222,42.02979716819199,7.909998427803345,9.245137787034757,19.591138661164894,9.565820937447803,23.661899306620068,12.088086425676124,1280
missing_value,drop,5,none,5,4,0.221875,0.596875,17.215666130086383,41.59413612660974,8.548332399668773,9.931508652456463,19.49770486312655,10.06331086252759,23.758698596519544,12.631793775572667,1280
missing_value,drop,6,none,6,0,0.20390625,0.58984375,18.08723710154581,42.807306425657224,8.429532955471437,9.88656663286519,20.309942900602596,10.024773498899092,24.408151160621365,12.600723060435389,1280
missing_value,drop,6,none,6,1,0.184375,0.58828125,17.955402834865527,43.51310425716474,8.794409859308253,10.236144494254898,20.298905488209147,10.305090582502164,24.397843711080192,12.84611419921141,1280
missing_value,drop,6,none,6,2,0.19453125,0.5859375,18.89030894312051,42.66541861830585,8.432756205434195,10.054165671743952,20.593828718979683,10.21548032276326,24.654686134021894,12.707187142324857,1280
missing_value,drop,6,none,6,3,0.2109375,0.59453125,17.827972584893253,41.608374829318485,8.482648006824995,9.599005851033871,19.921990451364376,9.922161883438227,24.06021178518095,12.340626864712991,1280
missing_value,drop,6,none,6,4,0.1953125,0.5921875,18.451373799605115,43.55359723870376,8.344693809234045,10.042059984162282,20.570445426734345,10.131732179391882,24.660196635300256,12.565348767044927,1280
missing_value,drop,7,none,7,0,0.20078125,0.5859375,18.233330955602373,44.39954995765582,8.226074627187764,9.845482398768127,20.323976728057744,9.832563435728776,24.28421176112777,12.358681216473647,1280
missing_value,drop,7,none,7,1,0.20078125,0.5828125,17.544400263478217,43.348488909473936,8.490988831173723,10.089262327545416,20.13076975243189,10.046587036349369,24.494206798162207,12.494042135751979,1280
missing_value,drop,7,none,7,2,0.1859375,0.57890625,18.370040328189408,43.185933116034576,8.300635418037878,9.811206226031668,20.20076631620879,9.877836578820384,24.149748110805223,12.416700047449178,1280
missing_value,drop,7,none,7,3,0.19609375,0.58203125,18.389774514185,43.79171903409268,8.963463534004887,10.462639986657528,20.490145815979197,10.435037223555645,24.647071954303684,13.017790827920974,1280
missing_value,drop,7,none,7,4,0.1921875,0.59140625,19.28910294323223,44.351526743771124,8.626305968722328,10.431907882322264,21.079033927235862,10.119223064053068,25.24742935571862,12.547004478472022,1280
