config,pulse_widths_ms,num_pulse_widths,struct_mode,description,final_stage,test_cls_acc,test_soc_rmse,test_soc_mae,test_soc_mape,test_soc_medape,test_soh_rmse,test_soh_mae,test_soh_mape,test_soh_medape,test_soc_rmse_raw,test_soc_mae_raw,test_soc_mape_raw,test_soc_medape_raw,test_soh_rmse_raw,test_soh_mae_raw,test_soh_mape_raw,test_soh_medape_raw,n_train,n_test,num_classes,device,elapsed_sec,mat_acc_pct,soc_medape_pct,soh_medape_pct,mat_acc_change_pp_vs_hierarchical,soc_medape_change_pp_vs_hierarchical,soh_medape_change_pp_vs_hierarchical
independent,"30,50,70,100,300,500,700,1000,3000,5000",10,independent,"Independent parallel prediction: z->M, z->SOC, z->SOH",finetune,0.90625,0.3656734009714979,0.1822313349342494,87.36425814216126,16.238273759053147,0.5239980907447797,0.35895922165614136,167.1761985364263,45.64082146902685,8.129525128444136,4.051304285742595,10.259881105457174,5.228075388462869,0.0550173824400985,0.03768906247384599,4.722753496413228,2.7995031068096825,68162,1280,8,cpu,20.410764694213867,90.625,5.228075388462869,2.7995031068096825,-1.2499999999999956,0.7255569366552104,0.1842674056011271
soc_to_soh,"30,50,70,100,300,500,700,1000,3000,5000",10,soc_to_soh,"Partial hierarchy: z->M, z->SOC, z+SOC->SOH",finetune,0.91328125,0.36598983295479814,0.19149359748298594,84.94852765827495,16.353215560632304,0.5528473342351314,0.3745505141873472,247.0567491625986,43.149334423020036,8.136559935331507,4.257219717207269,10.301841057416805,5.7284859596226925,0.05804641993136157,0.039326076270414574,4.8739269962535765,2.7242962671482176,68162,1280,8,cpu,18.958528995513916,91.328125,5.7284859596226925,2.7242962671482176,-0.5468749999999911,1.2259675078150343,0.10906056593966218
hierarchical,"30,50,70,100,300,500,700,1000,3000,5000",10,hierarchical,"Full hierarchy: z->M, z+M->SOC, z+M+SOC->SOH",proposed_further_analysis,0.91875,7.864401414996508,3.844217218615972,9.179883688510216,4.502518451807658,0.0606797510184074,0.0402084131987561,5.033712893866221,2.6152357012085554,7.864401414996508,3.844217218615972,9.179883688510216,4.502518451807658,0.0606797510184074,0.0402084131987561,5.033712893866221,2.6152357012085554,0,0,8,proposed_further_analysis,0.0,91.875,4.502518451807658,2.6152357012085554,0.0,0.0,0.0
