struct_mode,description,final_stage,test_cls_acc,test_material_acc,test_soc_mae,test_soc_medae,test_soc_rmse,test_soc_mape,test_soc_medape,test_soh_mae,test_soh_medae,test_soh_rmse,test_soh_mape,test_soh_medape,test_soc_mae_raw,test_soc_medae_raw,test_soc_rmse_raw,test_soc_mape_raw,test_soc_medape_raw,test_soh_mae_raw,test_soh_medae_raw,test_soh_rmse_raw,test_soh_mape_raw,test_soh_medape_raw,n_train,n_test,num_classes,device,n_mc_soc,n_mc_soh,checkpoint_path,predictions_path,elapsed_sec,fine_acc_pct,material_acc_pct,soc_medae_pp,soh_medae_pp,soc_medape_pct,soh_medape_pct,fine_acc_change_pp_vs_hierarchical,material_acc_change_pp_vs_hierarchical,soc_medae_change_pp_vs_hierarchical,soh_medae_change_pp_vs_hierarchical
independent,"Independent parallel prediction: z->M, z->SOC, z->SOH",finetune,0.90625,0.97109375,4.036564243799199,2.152922743996477,8.11542586075035,10.227260454572969,5.2452659192875455,3.7770402003180665,2.3789399349829665,5.515499747172415,4.731868239854028,2.825728005056791,4.036564243799199,2.152922743996477,8.11542586075035,10.227260454572969,5.2452659192875455,3.7770402003180665,2.3789399349829665,5.515499747172415,4.731868239854028,2.825728005056791,68162,1280,8,cpu,500.0,500.0,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/hierarchy_ablation/independent/checkpoints/finetune/best.pt,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/hierarchy_ablation/independent/metrics/retrospective_test_predictions.csv,,90.625,97.109375,2.152922743996477,2.3789399349829665,5.2452659192875455,2.825728005056791,-1.2499999999999956,-0.31250000000000444,0.36800360658469344,0.17981265844389327
soc_to_soh,"Partial hierarchy: z->M, z->SOC, z+SOC->SOH",finetune,0.91328125,0.96328125,4.24256877564455,2.3634538982476805,8.126027109134755,10.280435593659295,5.798572975838634,3.93048390780566,2.3316072541842345,5.803697811123596,4.869562122615688,2.7697705995145134,4.24256877564455,2.3634538982476805,8.126027109134755,10.280435593659295,5.798572975838634,3.93048390780566,2.3316072541842345,5.803697811123596,4.869562122615688,2.7697705995145134,68162,1280,8,cpu,500.0,500.0,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/hierarchy_ablation/soc_to_soh/checkpoints/finetune/best.pt,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/hierarchy_ablation/soc_to_soh/metrics/retrospective_test_predictions.csv,,91.328125,96.328125,2.3634538982476805,2.3316072541842345,5.798572975838634,2.7697705995145134,-0.5468749999999911,-1.0937500000000044,0.5785347608358968,0.13247997764516128
hierarchical,"Full hierarchy: z->M, z+M->SOC, z+M+SOC->SOH",proposed_further_analysis,0.91875,0.97421875,3.844217218615972,1.7849191374117837,7.864401414996508,9.179883688510216,4.502518451807658,4.0208413198756165,2.1991272765390733,6.067975101840744,5.033712957294439,2.6152357284073,3.844217218615972,1.7849191374117837,7.864401414996508,9.179883688510216,4.502518451807658,4.0208413198756165,2.1991272765390733,6.067975101840744,5.033712957294439,2.6152357284073,0,1280,8,proposed_further_analysis,,,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/proposed_framework/further_analysis/tables/proposed_method_summary.csv,,0.0,91.875,97.421875,1.7849191374117837,2.1991272765390733,4.502518451807658,2.6152357284073,0.0,0.0,0.0,0.0
