struct_mode,stage,epoch,train_loss,train_cls_acc,train_soc_rmse,train_soc_mae,train_soc_mape,train_soc_medape,train_soh_rmse,train_soh_mae,train_soh_mape,train_soh_medape,val_loss,val_cls_acc,val_soc_rmse,val_soc_mae,val_soc_mape,val_soc_medape,val_soh_rmse,val_soh_mae,val_soh_mape,val_soh_medape,val_soc_rmse_raw,val_soc_mae_raw,val_soc_mape_raw,val_soc_medape_raw,val_soh_rmse_raw,val_soh_mae_raw,val_soh_mape_raw,val_soh_medape_raw,val_score,best_score_so_far
independent,finetune,0,-2.6857491406241247,0.9897450192189197,0.1463092796045462,0.08508735010643793,215.8306691837585,5.953770950861914,0.37207035036804237,0.2393353151919602,103.67726274578645,23.951089551132412,2.6237838810565424,0.9274509803921569,0.5069124001212667,0.2720401836979185,110.63288751188065,27.623598943277916,0.668033460629618,0.48532208053614284,132.58748638073473,46.39808754094275,11.269501920996902,6.047903685209974,13.559626546780237,7.78541300655054,0.07014043187448073,0.05095657977213207,6.7269368505875535,3.6325489695556437,0.8099563943170685,0.8099563943170685
independent,finetune,1,-2.8376451161667404,0.9909773774243713,0.1440366318224016,0.08325773261058235,213.35952512115523,5.7477770717054115,0.3626850008908628,0.23346994406496938,101.95350780248845,23.30803194873173,2.6567286856034222,0.9254901960784314,0.4899242913138377,0.2582476338262067,94.82824992782668,28.861776151669748,0.6694407912510636,0.47946885258835903,117.00832108146682,51.23877740877902,10.891828135953121,5.741272466014078,13.297014480918603,8.001303613053402,0.07028819509802546,0.050342017837269715,6.763532357933336,3.8236535971377466,0.8095536878219413,0.8099563943170685
independent,finetune,2,-2.8425840034209515,0.9914615181479417,0.14287032823795892,0.08265498877024528,215.90364989536025,5.658190713891563,0.3601622140499722,0.23219320407731092,101.05990546587695,23.27258829050615,2.490779308244294,0.9156862745098039,0.4815828640647785,0.2419386388715722,79.19671650960557,25.014122568850617,0.6163538243415513,0.4615749596353328,145.1065760260938,44.76689904774864,10.706384397775402,5.378696506288466,11.384948548301137,7.18861308746238,0.06471430845104519,0.04846324161779999,6.402500458635145,4.107219579010479,0.8058926056691709,0.8099563943170685
independent,finetune,3,-2.9009745514227405,0.9912267832516651,0.14403229126001252,0.08286367885991335,208.99528176149948,5.634876905995847,0.36168192198294224,0.23256944268822052,99.55772092211744,23.19091339484076,2.38813310323977,0.9450980392156862,0.4591851622762712,0.22420351752719167,72.66437635185,22.858460841064286,0.6191091665488877,0.4597958997184155,141.66052263023744,47.70152054375208,10.208446404403931,4.984415395761684,10.955485198720579,6.685794248901939,0.06500360667302708,0.04827644853293633,6.369688617260462,3.8811115410191985,0.8372686063331704,0.8372686063331704
independent,finetune,4,-2.872816320085591,0.9904492239077491,0.14516212819412094,0.08317000394867108,211.47001645025134,5.6673493157959305,0.3589364604132244,0.2304381535866204,97.42826265653137,23.090837540018402,2.592231377433328,0.9627450980392157,0.46673153133500606,0.2327677531943967,74.300338159937,24.616629548186292,0.6401803269730311,0.45715474402897205,139.04183152309386,47.442672007471735,10.376214682677693,5.174812533966132,11.386466205777381,6.983718010702036,0.0672159813209271,0.04799913936861586,6.52232552367948,3.8422408844661313,0.852053912208412,0.852053912208412
independent,finetune,5,-2.935062368215311,0.9911240867345442,0.1435189377123017,0.08239851406449741,210.91800722613132,5.5722859128719655,0.3508592537026461,0.22446161881091944,95.21910580253552,22.319141565698523,2.9027249700882853,0.907843137254902,0.5529025568443535,0.2870528674839685,88.35520756747425,28.965002789471008,0.6487231210772718,0.4800510543453343,149.92218479632513,50.287074629449855,12.291939248262496,6.3816605014285885,13.613009169272491,8.098337062468332,0.06811293529583948,0.050403146336183285,6.619952628037834,4.307116426029058,0.7876805694627393,0.852053912208412
independent,finetune,6,-2.9585358093281644,0.9913294797687862,0.14453326168003175,0.08219910325147435,214.65448568035956,5.461376506256161,0.34938379789395885,0.22351698229660175,92.67595700347805,22.155735986475502,2.487225829853731,0.9490196078431372,0.5379705225661461,0.26333921699620344,90.99869906913615,20.939869622311804,0.7112681754243051,0.48582530724542106,130.01020587419845,51.26043149475117,11.959975404130066,5.854466789730497,12.843541177469437,6.603711775540616,0.07467987749567946,0.051009416255332,6.912230788246506,3.4008891059683646,0.8240957380440921,0.852053912208412
independent,finetune,7,-2.8765734415414457,0.9907426425280949,0.14381803454693817,0.08307202257964585,207.70705770920102,5.607863339897017,0.35978212615670935,0.23006680378316355,96.66801994738006,22.853369604522015,2.3101389249165853,0.9313725490196079,0.48433171874273234,0.24645486529368688,72.78728898719304,26.03513532312155,0.6353550035413152,0.4618736479942705,151.58074836225842,51.697714572015585,10.767495988390133,5.479099696913716,12.089198202092891,7.297318613683211,0.0667093446187541,0.04849460251770466,6.5304584608301655,3.9504432010145445,0.8194038767912031,0.852053912208412
independent,finetune,8,-2.88186424133423,0.9901558052874035,0.1498929306433624,0.08568512134859423,220.4843262914561,5.772141440621819,0.35782073362358935,0.22964395688907435,93.97333526730611,23.087324168018135,2.5213215098661537,0.9549019607843138,0.48320095161984566,0.25127881372018773,84.64823473485866,26.117400260769653,0.6030669305562905,0.42421744174926596,126.43347369078906,43.20648544529871,10.742357163100943,5.586344057174455,12.370501108428158,7.8338423737252585,0.06331924589311554,0.0445408745617879,6.015373876583901,3.255892312326984,0.8462751725667002,0.852053912208412
independent,finetune,9,-2.984797553617921,0.9910360611484405,0.14467277028843628,0.08239225385218718,211.56373069933844,5.4026156231352935,0.3490144033533358,0.22259322412497157,92.96185832095867,22.00404443155938,2.675064713347192,0.9509803921568627,0.49019726134043956,0.24745593105132382,87.31527941298262,27.355139792299255,0.648318072996768,0.4679808694412749,135.89885243811736,44.88477010184964,10.897896711585574,5.501355046114159,11.631032307741087,7.929906097868968,0.06807040711578441,0.049135832598368956,6.41955450570955,3.9635884237547465,0.8371288587231419,0.852053912208412
