struct_mode,stage,epoch,train_loss,train_cls_acc,train_soc_rmse,train_soc_mae,train_soc_mape,train_soc_medape,train_soh_rmse,train_soh_mae,train_soh_mape,train_soh_medape,val_loss,val_cls_acc,val_soc_rmse,val_soc_mae,val_soc_mape,val_soc_medape,val_soh_rmse,val_soh_mae,val_soh_mape,val_soh_medape,val_soc_rmse_raw,val_soc_mae_raw,val_soc_mape_raw,val_soc_medape_raw,val_soh_rmse_raw,val_soh_mae_raw,val_soh_mape_raw,val_soh_medape_raw,val_score,best_score_so_far
independent,stage1_soc,0,2.528159141526536,0.35411226196414425,0.7779560749938794,0.6010686345562113,950.9427775763636,64.26285661739237,2.6115337676731265,2.395394391952937,1120.6541159021206,440.1422090263774,2.208632028804106,0.4843137254901961,0.67417817990828,0.4641920084170267,130.40144780239143,68.28207775208412,2.7806874693809367,2.487619171174718,1021.3348923883322,287.62197596374307,14.988097138189948,10.319756883665988,33.56960436708704,15.344665395509017,0.2919593575844433,0.2611885381324814,34.78938456479135,31.17547915797324,0.28206027151771207,0.28206027151771207
independent,stage1_soc,1,1.4659920841947778,0.6273290102989936,0.6002454670685936,0.4395060022733425,722.4250933788135,44.04423935925634,2.5696473396912403,2.348981353725947,1077.284388691033,429.2467987995432,1.8327050232419781,0.7215686274509804,0.7051963334127505,0.45597817345942354,132.59781877955535,61.50381388813597,2.760387891097704,2.4641313465056465,1012.151555535136,280.6728036248521,15.677682045603502,10.137149733374706,33.28465915542178,13.802426816962509,0.28982799550219995,0.2587224248864053,34.45102741259618,30.581095965759665,0.5100097274271552,0.5100097274271552
independent,stage1_soc,2,0.9995163930292816,0.7277808749743259,0.5150613320730288,0.36750387442532695,641.7976549687918,35.00042282806437,2.539532622036159,2.3193078355053234,1064.7605096763875,421.993160436672,1.6668694486805038,0.7176470588235294,0.6753372988072814,0.43720111071734746,137.79969176242938,62.305325475669534,2.7009798183220997,2.4119080345858546,1011.4856232827059,278.38098781807446,15.013866270402604,9.719704540493483,28.941996012863626,13.217987014729529,0.283590421897153,0.25323921802949484,33.703147709397314,31.195259325021595,0.515045869181345,0.515045869181345
independent,stage1_soc,3,0.7152088946560341,0.7764883659517033,0.44904090295584104,0.3185780332768371,603.5271807073136,29.95568078337724,2.509912101848132,2.2892135024366524,1049.5269324241463,415.4116486418932,1.6597399496564678,0.696078431372549,0.6607507153446102,0.4079265768840617,141.40723115527848,46.17043138762793,2.6919945931740723,2.3937438404881486,999.3381581972733,277.5099141040675,14.689582369842999,9.068883185183214,21.83204103564609,12.470032663161085,0.28264701470348025,0.2513320614366736,33.52494675675979,30.210570806288235,0.49785321676916594,0.515045869181345
independent,stage1_soc,4,0.5320591720990188,0.8070332443296852,0.40453662192373846,0.28599723211959927,603.785086117753,26.6779888836449,2.4966915459043233,2.275718734167505,1045.1503776170891,413.81782267406624,1.2990367001178218,0.7803921568627451,0.631602390703079,0.3833271821230358,128.2812334488794,40.883970279893,2.6925576153850685,2.4016712910842664,1051.050563137843,275.1708404381939,14.041566853822887,8.52199791181365,21.25377098616566,11.449889441357902,0.28270612943853707,0.25216440718167754,33.578251960664225,30.13055035024921,0.5909114396518214,0.5909114396518214
independent,stage1_soc,5,0.388302875308062,0.8279980047533817,0.37134794187017167,0.26326884215887075,580.2916636324194,24.513402577339843,2.4975232082291883,2.27696376637198,1047.6543591663426,412.665111672787,1.5557488520940146,0.7549019607843137,0.7241262385475599,0.4706794538736051,202.5074304469573,48.99330926796325,2.6981096824341555,2.4059182155219947,995.5468411841252,277.118075560671,16.098525177927726,10.463983537063664,26.945570635221532,13.618647955274648,0.28328907086822536,0.2526103146575093,33.65698277527548,30.7880864551848,0.5376640892200457,0.5909114396518214
independent,stage1_soc,6,0.2771870068842206,0.8391919251195681,0.3499287322300317,0.24636550265338347,563.8318991282218,22.67004709415575,2.495623682394165,2.2746475813461933,1049.123715461083,412.3130244647007,1.6273050224079806,0.7,0.6688639481169293,0.4505657922951322,198.73607840147156,49.63761652445875,2.691832157645707,2.3936025002277366,969.2440662426944,279.8285347264895,14.869952966994052,10.016823539117953,25.361240477092057,15.536843086734692,0.2826299597222813,0.25131722136130186,33.53439735841507,29.82307262489879,0.49934081556492116,0.5909114396518214
independent,stage1_soc,7,0.16773712673253993,0.8538481852058332,0.33198953599518205,0.23225966298389208,540.4333092099681,21.2178389552136,2.496019092679431,2.274272295439096,1050.044520452086,412.81532244111565,1.4926516906887877,0.7705882352941177,0.664247997245267,0.4245224879360667,167.8546293832748,48.704662079288084,2.7082604152445233,2.4084905112344845,979.2549555607259,282.2307717413714,14.767332736747205,9.437837764784192,22.460025785788236,13.765723741292627,0.28435485099021296,0.2528803938418856,33.711573838569606,30.332731208462434,0.5713138361205377,0.5909114396518214
independent,stage1_soc,8,0.10357764788580376,0.8611249669904052,0.32648471035335636,0.2273090141980218,537.4663792359707,20.588677212094026,2.4897251382818726,2.2675898321172294,1045.8480594245361,411.08620463706023,1.374029221721724,0.8372549019607843,0.6685505859615817,0.4516600331437646,220.45086081579655,47.62484939786158,2.6776595425926355,2.3818034626543523,1013.8522428624564,275.5834752626039,14.862986407464607,10.041150324855973,27.697201226091885,14.030790018501843,0.2811419005168692,0.25007837684246537,33.328908619864364,30.079853609379402,0.6366897261723099,0.6366897261723099
independent,stage1_soc,9,-0.0075933965997675495,0.874050057216631,0.3099111393085678,0.21477678156106994,506.83437103765993,19.38904888284838,2.4896826533450076,2.267921462461594,1050.630871376695,411.39157338027144,1.2353552804273717,0.8745098039215686,0.601040409443749,0.38751167443160917,162.17643151641056,42.5382176576942,2.6555075819940637,2.3691771162929487,956.996041528909,277.776382873921,13.362123410677489,8.615026103861394,22.64276726962056,12.11616843685114,0.278816046836148,0.24875266871708057,33.11052521170415,30.288903311284987,0.6941976810884439,0.6941976810884439
