true_label,"(0.526, 0.575]","(0.575, 0.624]","(0.624, 0.672]","(0.672, 0.721]","(0.721, 0.769]","(0.769, 0.817]","(0.817, 0.866]","(0.866, 0.914]","(0.914, 0.963]","(0.963, 1.011]"
LFP_35Ah,0,0,0,0,0,10,40,40,0,0
LFP_68Ah,0,0,0,40,10,70,90,10,0,0
LMO_10Ah,10,10,20,10,0,10,20,150,30,0
LMO_24Ah,0,0,0,10,50,90,10,0,0,0
LMO_25Ah,10,10,0,10,0,10,40,40,30,0
LMO_26Ah,0,0,0,0,0,30,40,10,20,50
NMC_15Ah,0,0,0,0,110,40,0,0,0,0
NMC_21Ah,0,0,0,0,0,10,10,0,0,80
