soh_bin,LFP_35Ah,LFP_68Ah,LMO_10Ah,LMO_24Ah,LMO_25Ah,LMO_26Ah,NMC_15Ah,NMC_21Ah
"(0.526, 0.575]",0,0,10,0,10,0,0,0
"(0.575, 0.624]",0,0,10,0,10,0,0,0
"(0.624, 0.672]",0,0,20,0,0,0,0,0
"(0.672, 0.721]",0,40,10,10,10,0,0,0
"(0.721, 0.769]",0,10,0,50,0,0,110,0
"(0.769, 0.817]",10,70,10,90,10,30,40,10
"(0.817, 0.866]",40,90,20,10,40,40,0,10
"(0.866, 0.914]",40,10,150,0,40,10,0,0
"(0.914, 0.963]",0,0,30,0,30,20,0,0
"(0.963, 1.011]",0,0,0,0,0,50,0,80
