soc_bin,count,mape_pct
"(4.915, 13.5]",70,1813.0406747704783
"(13.5, 22.0]",90,511.35002804995395
"(22.0, 30.5]",140,258.78632970479146
"(30.5, 39.0]",140,134.404036399773
"(39.0, 47.5]",240,67.85307407318818
"(47.5, 56.0]",220,62.605184542187295
"(56.0, 64.5]",100,55.77765352876188
"(64.5, 73.0]",180,80.79565849597837
"(73.0, 81.5]",60,113.22922119086623
"(81.5, 90.0]",40,113.29805750135438
