soh_bin,count,mape_pct
"(0.526, 0.575]",20,568.4453972981286
"(0.575, 0.624]",20,355.98897199200303
"(0.624, 0.672]",20,398.548058125474
"(0.672, 0.721]",70,179.8089032923775
"(0.721, 0.769]",170,168.22431461231818
"(0.769, 0.817]",270,117.42685578153973
"(0.817, 0.866]",250,88.65034066122443
"(0.866, 0.914]",250,65.00519950896992
"(0.914, 0.963]",80,50.35697215374177
"(0.963, 1.011]",130,34.89278347216425
