order,epoch,train_loss,train_cls_acc,test_cls_acc,test_soc_rmse_raw,test_soc_mae_raw,test_soc_mape_raw,test_soc_medape_raw,test_soh_rmse_raw,test_soh_mae_raw,test_soh_mape_raw,test_soh_medape_raw,score,elapsed_sec
PARALLEL,0,0.1541658106257653,0.352910884290864,0.37890625,17.163155677551625,12.206788615021651,38.874901772929235,19.193901331379543,0.11435705782204719,0.09159244846086949,11.472738958406307,9.455761397467304,-0.0021479912631415243,113.45965051651001
PARALLEL,1,-1.1263843026559812,0.6086910593796627,0.54296875,16.122790429017556,11.24429879055242,33.08117142089026,17.267069655957417,0.11236837392366364,0.08627811665646731,10.946274383897867,8.4432761390908,0.2014325306586098,217.81462240219116
PARALLEL,2,-1.7561615088909879,0.7111166862530205,0.58359375,17.315113715560777,11.335159676818876,29.372798759157213,16.760456001658905,0.10996487613207313,0.08302019888069481,10.423686069402471,7.5345385584045355,0.26529841881532024,318.9850995540619
PARALLEL,3,-2.1610949423344215,0.7730447757252452,0.7203125,13.689971966566809,9.107452283496968,25.236357315357854,13.78112267722381,0.10304914166458647,0.07458811133401469,9.373488533514811,6.1976319825181685,0.4585486335773985,419.14892745018005
PARALLEL,4,-2.378810155277258,0.8026223706970541,0.6765625,13.073022409970992,9.23148152854992,28.127157143023158,15.692927709147813,0.10004236928437159,0.07180946401786059,8.828708772303056,6.012323255528846,0.39938675779794497,521.234610080719
PARALLEL,5,-2.5707941002471952,0.8201048420107483,0.72421875,12.004711153302281,8.300491246482125,23.694977208499033,14.263744992126771,0.09662049432659373,0.07038116247858853,8.785499744511977,6.011708697106473,0.4613471261366029,624.5271754264832
PARALLEL,6,-2.7316875564863614,0.8336392325670448,0.66171875,12.682180625416295,8.20390433214925,21.96898132234567,12.872049888055365,0.09491738068922494,0.0684028493007645,8.462241559776828,5.485926358391706,0.4232797239516123,726.3551621437073
PARALLEL,7,-2.8603770148678094,0.8447176263980035,0.7234375,12.57852214838184,8.159824102549464,21.571153914205837,12.403312758092913,0.09376764360354717,0.06681090726051479,8.242225448412789,5.604147546742374,0.48732142148422336,827.3543515205383
PARALLEL,8,-2.9624443120939925,0.8505671239750175,0.725,11.784363684233604,7.670223065797472,19.95001386950495,11.926228653421234,0.09526670396738988,0.06829195965547115,8.46428735749701,5.457484404464502,0.4965880253764976,931.6145532131195
PARALLEL,9,-3.023502536661381,0.8571296528593876,0.775,11.539293873330083,7.358127454135683,19.08302648254528,11.216591901317233,0.08745336939271631,0.06152773515786976,7.496837140109709,4.863228422013196,0.5655695125465638,1034.5862095355988
PARALLEL,10,-3.1212681828445787,0.8610645293333157,0.7421875,12.389449716366421,7.825410337536596,20.433030368217924,11.415655489933432,0.0935808407577989,0.06588779329322278,8.068000772318056,5.117943361765002,0.5256720778653656,1136.8694515228271
PARALLEL,11,-3.2143180952265693,0.8721165145973354,0.58984375,15.39300405622056,9.817777730204398,24.452141703710677,13.164078218034975,0.10553056369604728,0.07296330623794348,9.134036422006893,5.633735137713028,0.3455282650653897,1240.9214646816254
PARALLEL,12,-3.274222694859272,0.8770417123314803,0.74140625,12.259188968805397,7.780977362708654,20.2691287442843,11.30174107606682,0.09578753931152524,0.06405748075339943,7.863116511184797,4.815109219088483,0.5320866548575622,1341.7665796279907
PARALLEL,13,-3.310422895509794,0.8808841588211216,0.73515625,11.963569096224838,7.395504983578576,18.89988907210835,10.537293947717844,0.09966016123798874,0.06977108281571417,8.660833780328,5.334423673190364,0.5230948370590143,1444.5174911022186
PARALLEL,14,-3.364440396673467,0.8863375278940488,0.771875,12.032602817776617,7.680867036106065,20.02573297710246,11.221652296169676,0.09546604462246595,0.06576724592596292,8.11933687043054,4.921725300189599,0.5612239710345112,1546.7329111099243
PARALLEL,15,-3.473834754412239,0.8939696037394531,0.76015625,12.123943185823128,7.245645594739472,18.261353111781837,9.555197772825133,0.08839717437622353,0.05974317390937358,7.4199603875485245,4.224603601617123,0.5801122002394062,1647.9967727661133
PARALLEL,16,-3.504620820222107,0.8948014735980352,0.78125,10.457034727680465,6.279354829348449,17.272300495347746,9.214815395599066,0.0914813974816268,0.06156549933366477,7.5543037292007345,4.308523928024376,0.6029313674835218,1753.0897929668427
PARALLEL,17,-3.5581533599286748,0.8980497273315463,0.78671875,10.753176654116896,6.442577664520286,17.33938129064832,9.250666618478013,0.08989364057785015,0.06110493487212807,7.46657085775446,4.397628739743651,0.6062595090203469,1858.8973491191864
PARALLEL,18,-3.595700356683669,0.9028428822309957,0.81953125,10.872279538843136,6.5932497385074385,18.470448318962394,8.50881619324008,0.09726630350031996,0.0686780143994838,8.737785608225138,5.342721965213718,0.6275886487633249,1960.8048322200775
PARALLEL,19,-3.652478574445649,0.9061703616653243,0.77734375,10.425181354634807,6.245595665750443,17.073030335704207,8.204386481818048,0.09189581375685438,0.06173772027250379,7.6334501460152,4.428387415576697,0.6067321368702856,2065.109043121338
PARALLEL,20,-3.7074334631534995,0.909458228249244,0.82421875,10.704425955872049,6.2917890814787825,15.795200668530665,8.41800380765333,0.08708759639529566,0.056009655632078645,6.808630875578961,3.587588776828489,0.668286936386897,2167.7161440849304
PARALLEL,21,-3.777083422380126,0.9146739202197193,0.78515625,11.389987972859002,6.572628833091585,17.50289425064689,8.32329185717475,0.08464432063750349,0.05696761051658541,7.0474799024406805,4.234715979986816,0.6172290118285162,2270.790848970413
PARALLEL,22,-3.783406530627215,0.9155982200625883,0.83359375,11.594425279449315,7.23005539708538,20.310698470529132,9.767226817881234,0.09334574197483621,0.059356190566904846,7.249196244279775,3.907283145254466,0.6577758189160984,2373.8961791992188
PARALLEL,23,-3.8416496623113807,0.9169978741103614,0.83828125,11.548768082033822,6.813276616012445,16.246730753982703,8.972058898398764,0.08578890631685296,0.055498180957511065,6.751570868161888,3.8188715946326126,0.6721832291233601,2478.615648508072
