config,pulse_widths,num_pulse_widths,pulse_width_sum_ms,n_test,test_cls_acc,test_material_acc,test_soc_mae_raw,test_soc_medae_raw,test_soc_rmse_raw,test_soc_mape_raw,test_soc_medape_raw,test_soh_mae_raw,test_soh_medae_raw,test_soh_rmse_raw,test_soh_mape_raw,test_soh_medape_raw,n_mc_soc,n_mc_soh,checkpoint_path,predictions_path,Material-Capacity Accuracy,Material Accuracy,SOC MedAE,SOH MedAE,SOC Median APE,SOH Median APE,cls_acc_pct,material_acc_pct,mat_acc_pct,soc_medae_pp,soh_medae_pp,soc_medape_pct,soh_medape_pct,cls_acc_change_pp_vs_all,material_acc_change_pp_vs_all,soc_medae_change_pp_vs_all,soh_medae_change_pp_vs_all,soc_medape_change_pp_vs_all,soh_medape_change_pp_vs_all
P1_70,70,1,70,128,0.8671875,0.921875,14.211008011044441,13.757342889464752,16.617964167715954,45.69389349194277,28.881598721862268,10.750809828202314,9.876616769776462,12.885152764164284,13.038382449735519,12.033036753691823,500,500,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/pulse_width/P1_70/checkpoints/finetune/best.pt,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/pulse_width/P1_70/metrics/retrospective_test_predictions.csv,86.71875,92.1875,13.757342889464752,9.876616769776462,28.881598721862268,12.033036753691823,86.71875,92.1875,86.71875,13.757342889464752,9.876616769776462,28.881598721862268,12.033036753691823,-5.156249999999996,-5.234375000000002,11.972423752052968,7.677489493237392,24.37908026825481,9.417801025009801
P2_3000,3000,1,3000,128,0.875,0.9296875,5.040239121343748,3.8092310782722016,7.915924577997305,16.021685296317735,8.6163384843082,4.208050900015952,3.170067684403101,5.671212239125795,5.242233922943286,3.70670461393878,500,500,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/pulse_width/P2_3000/checkpoints/finetune/best.pt,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/pulse_width/P2_3000/metrics/retrospective_test_predictions.csv,87.5,92.96875,3.8092310782722016,3.170067684403101,8.6163384843082,3.70670461393878,87.5,92.96875,87.5,3.8092310782722016,3.170067684403101,8.6163384843082,3.70670461393878,-4.374999999999996,-4.453125000000002,2.024311940860418,0.9709404078640311,4.113820030700744,1.0914688852567593
P3_30_50_70_100,"30,50,70,100",4,250,512,0.87890625,0.939453125,4.970161577696164,2.4872429460811425,8.960240551201927,12.392972519801607,6.314697432169653,4.095580180370298,2.1857849053783696,6.159545456659166,5.100618057989344,2.6164899058329345,500,500,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/pulse_width/P3_30_50_70_100/checkpoints/finetune/best.pt,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/pulse_width/P3_30_50_70_100/metrics/retrospective_test_predictions.csv,87.890625,93.9453125,2.4872429460811425,2.1857849053783696,6.314697432169653,2.6164899058329345,87.890625,93.9453125,87.890625,2.4872429460811425,2.1857849053783696,6.314697432169653,2.6164899058329345,-3.9843749999999956,-3.476562500000002,0.7023238086693588,-0.01334237116070014,1.812178978562197,0.0012541771509138044
P4_300_500_700,"300,500,700",3,1500,384,0.8932291666666666,0.9557291666666666,5.847468557726951,2.9281683886774807,10.597788471259546,15.619017661911586,6.766407575717022,4.17462339018837,2.382251518571323,5.997458354632751,5.22163541538103,3.0234523025363855,500,500,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/pulse_width/P4_300_500_700/checkpoints/finetune/best.pt,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/pulse_width/P4_300_500_700/metrics/retrospective_test_predictions.csv,89.32291666666666,95.57291666666666,2.9281683886774807,2.382251518571323,6.766407575717022,3.0234523025363855,89.32291666666666,95.57291666666666,89.32291666666666,2.9281683886774807,2.382251518571323,6.766407575717022,3.0234523025363855,-2.5520833333333326,-1.8489583333333393,1.143249251265697,0.1831242420322532,2.263889122109566,0.40821657385436483
P5_1000_3000_5000,"1000,3000,5000",3,9000,384,0.9140625,0.96875,4.058195982297877,2.242586011571568,7.81102637063691,9.87474214269444,5.806169166476644,3.2365260142239394,2.044705564396345,4.740734798686285,4.008995876018788,2.5607974790852093,500,500,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/pulse_width/P5_1000_3000_5000/checkpoints/finetune/best.pt,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/pulse_width/P5_1000_3000_5000/metrics/retrospective_test_predictions.csv,91.40625,96.875,2.242586011571568,2.044705564396345,5.806169166476644,2.5607974790852093,91.40625,96.875,91.40625,2.242586011571568,2.044705564396345,5.806169166476644,2.5607974790852093,-0.46874999999999556,-0.5468750000000022,0.45766687415978424,-0.1544217121427245,1.3036507128691879,-0.05443824959681143
P6_30_50_300_500,"30,50,300,500",4,880,512,0.86328125,0.93359375,4.985042899780755,2.4036280039248403,8.832921882221434,11.816835607038595,5.643621263431794,4.326338292221945,2.45303277479735,6.519746476792198,5.422194022572233,2.9046566502244806,500,500,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/pulse_width/P6_30_50_300_500/checkpoints/finetune/best.pt,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/pulse_width/P6_30_50_300_500/metrics/retrospective_test_predictions.csv,86.328125,93.359375,2.4036280039248403,2.45303277479735,5.643621263431794,2.9046566502244806,86.328125,93.359375,86.328125,2.4036280039248403,2.45303277479735,5.643621263431794,2.9046566502244806,-5.546874999999996,-4.062500000000002,0.6187088665130567,0.25390549825828046,1.1411028098243383,0.2894209215424599
P7_30_50_3000_5000,"30,50,3000,5000",4,8080,512,0.9140625,0.962890625,4.379660279408265,2.061330550298667,8.42342803990905,10.779021321996172,5.536732779601689,3.5628346103358193,2.0182468475816506,5.491368834737095,4.461483936099025,2.4503699755373005,500,500,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/pulse_width/P7_30_50_3000_5000/checkpoints/finetune/best.pt,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/pulse_width/P7_30_50_3000_5000/metrics/retrospective_test_predictions.csv,91.40625,96.2890625,2.061330550298667,2.0182468475816506,5.536732779601689,2.4503699755373005,91.40625,96.2890625,91.40625,2.061330550298667,2.0182468475816506,5.536732779601689,2.4503699755373005,-0.46874999999999556,-1.1328125000000022,0.2764114128868833,-0.18088042895741907,1.034214325994233,-0.16486575314472018
P8_300_500_3000_5000,"300,500,3000,5000",4,8800,512,0.8984375,0.95703125,4.389167567586598,2.443066796356181,8.112563230908094,10.581732858539631,6.210663531867695,3.5842431640675945,2.2165688649481368,5.29184587268666,4.503578205788553,2.7399083449288137,500,500,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/pulse_width/P8_300_500_3000_5000/checkpoints/finetune/best.pt,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/pulse_width/P8_300_500_3000_5000/metrics/retrospective_test_predictions.csv,89.84375,95.703125,2.443066796356181,2.2165688649481368,6.210663531867695,2.7399083449288137,89.84375,95.703125,89.84375,2.443066796356181,2.2165688649481368,6.210663531867695,2.7399083449288137,-2.0312499999999956,-1.7187500000000022,0.6581476589443973,0.017441588409067066,1.7081450782602392,0.12467261624679304
P9_All,"30,50,70,100,300,500,700,1000,3000,5000",10,10750,1280,0.91875,0.97421875,3.8442172186159715,1.7849191374117837,7.864401414996507,9.179883692223264,4.502518453607456,4.020841319875617,2.1991272765390697,6.067975101840744,5.033712957935128,2.6152357286820207,500,500,proposed_framework/further_analysis,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/proposed_framework/further_analysis/tables/test_predictions_per_sample.csv,91.875,97.421875,1.7849191374117837,2.1991272765390697,4.502518453607456,2.6152357286820207,91.875,97.421875,91.875,1.7849191374117837,2.1991272765390697,4.502518453607456,2.6152357286820207,0.0,0.0,0.0,0.0,0.0,0.0
