Method,Material accuracy,SOC MedAE (%),SOH MedAE (%)
Positive only,0.93046875,2.759003533079607,2.8659076321084527
Negative only,0.9484375,3.164136031989884,2.1645747772187462
Full pulse,0.97421875,1.7849191374117837,2.1991272765390697
