U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,SOC,SOH,material_capacity,pulse_ms
3.4177,3.4342,3.4351,3.4189,3.4181,3.4017,3.4007,3.417,3.4179,3.4511,3.4526,3.4202,3.4184,3.3854,3.3836,3.4159,3.4177,3.4674,3.4697,3.4212,3.4186,3.3689,3.3666,3.4151,3.4177,3.4839,3.4869,3.4221,3.4189,3.3526,3.3494,3.4142,3.4175,3.5002,3.5039,3.4233,3.4189,3.3364,3.3324,3.4133,3.4175,20.0,0.7764399999999999,NMC_15Ah,100
3.4188,3.4363,3.4372,3.4202,3.4193,3.4022,3.401,3.4181,3.4191,3.4542,3.4558,3.4216,3.4196,3.3849,3.3831,3.4172,3.4191,3.4716,3.4742,3.4228,3.42,3.3677,3.365,3.4163,3.4189,3.489,3.4923,3.424,3.4202,3.3506,3.3469,3.4152,3.4189,3.5064,3.5102,3.4251,3.4205,3.3334,3.3292,3.4144,3.4189,20.0,0.79182,NMC_15Ah,100
3.4156,3.4326,3.4335,3.417,3.4161,3.3993,3.3982,3.4149,3.4158,3.45,3.4518,3.4184,3.4165,3.3824,3.3807,3.414,3.4158,3.4672,3.4695,3.4195,3.4168,3.3656,3.3631,3.4131,3.4158,3.4841,3.4872,3.4205,3.4168,3.3489,3.3454,3.4121,3.4156,3.5011,3.5048,3.4217,3.4172,3.3322,3.328,3.4112,3.4156,20.0,0.7905599999999999,NMC_15Ah,100
3.4207,3.4375,3.4384,3.4219,3.4214,3.4047,3.4038,3.4202,3.421,3.4546,3.456,3.4231,3.4217,3.3882,3.3868,3.4196,3.421,3.4714,3.4735,3.4242,3.4219,3.3717,3.3696,3.4186,3.421,3.4881,3.4907,3.4252,3.4221,3.355,3.3524,3.4179,3.4209,3.5046,3.5078,3.4263,3.4223,3.3389,3.3355,3.417,3.4207,20.0,0.7750533333333334,NMC_15Ah,100
3.4231,3.4407,3.4416,3.4244,3.4237,3.4063,3.4052,3.4224,3.4233,3.4586,3.46,3.4256,3.4238,3.3889,3.3873,3.4217,3.4233,3.476,3.4783,3.4268,3.4242,3.3715,3.3691,3.4207,3.4233,3.4934,3.4962,3.4277,3.4244,3.3543,3.3512,3.4198,3.4231,3.5107,3.5144,3.4286,3.4245,3.3371,3.3334,3.4189,3.423,20.0,0.78856,NMC_15Ah,100
3.423,3.4425,3.4435,3.4244,3.4235,3.4045,3.4033,3.4223,3.4233,3.4623,3.464,3.426,3.424,3.3854,3.3835,3.4214,3.4233,3.4818,3.4842,3.4272,3.4244,3.3663,3.3636,3.4205,3.4233,3.5011,3.5043,3.4282,3.4245,3.3473,3.3438,3.4195,3.4233,3.5202,3.5241,3.4295,3.4247,3.3287,3.3243,3.4184,3.4231,20.0,0.7973666666666667,NMC_15Ah,100
3.4256,3.4444,3.4453,3.427,3.4263,3.4079,3.4068,3.4249,3.426,3.4632,3.4649,3.4284,3.4265,3.3896,3.3875,3.424,3.4258,3.4818,3.4844,3.4296,3.4268,3.371,3.3684,3.423,3.4258,3.5002,3.5034,3.4307,3.427,3.3526,3.3492,3.4221,3.4258,3.5188,3.5227,3.4319,3.4272,3.3343,3.3301,3.421,3.4256,20.0,0.7850733333333333,NMC_15Ah,100
3.4237,3.4425,3.4433,3.4249,3.4242,3.4056,3.4047,3.423,3.4238,3.4614,3.4628,3.4263,3.4245,3.3872,3.3856,3.4223,3.424,3.48,3.4825,3.4275,3.4249,3.3687,3.3664,3.4214,3.4238,3.4988,3.5016,3.4286,3.4251,3.3503,3.3473,3.4205,3.4238,3.5174,3.5209,3.4296,3.4252,3.3322,3.3285,3.4196,3.4237,20.0,0.7833466666666666,NMC_15Ah,100
3.4184,3.4358,3.4368,3.4198,3.4189,3.4015,3.4007,3.4177,3.4186,3.4535,3.4551,3.421,3.4191,3.3843,3.3828,3.4168,3.4186,3.4709,3.4732,3.4221,3.4195,3.3673,3.3647,3.4156,3.4184,3.4881,3.4911,3.423,3.4196,3.3501,3.3468,3.4149,3.4182,3.5053,3.509,3.4238,3.4196,3.3329,3.3289,3.4137,3.4181,20.0,0.7830266666666666,NMC_15Ah,100
3.4296,3.446,3.4467,3.4307,3.43,3.4138,3.413,3.4289,3.4298,3.4625,3.4639,3.4319,3.4303,3.3977,3.3963,3.4282,3.4298,3.479,3.4809,3.4328,3.4307,3.3817,3.3794,3.4275,3.4298,3.4951,3.4979,3.4339,3.4307,3.3654,3.3626,3.4268,3.4296,3.5116,3.5148,3.4349,3.431,3.3492,3.3459,3.4258,3.4296,20.0,0.768,NMC_15Ah,100
