epoch,train_loss,train_cls_loss,train_soc_nll,train_soh_nll,train_joint_nll,train_cls_acc,train_soc_rmse,train_soc_medape,train_soh_rmse,train_soh_medape,test_loss,test_cls_loss,test_soc_nll,test_soh_nll,test_joint_nll,test_cls_acc,test_soc_rmse_raw,test_soc_medape_raw,test_soh_rmse_raw,test_soh_medape_raw,train_selection_score,best_score_so_far,epoch_duration_sec
0,3.6508924607584716,1.555328316901856,0.7913982371228173,1.3041659057090766,2.095564142831894,0.39606248266937794,0.7227710700776587,56.540499201781,0.9291998769999067,95.97821416549911,3.69270920753479,1.4216296672821045,0.9961798071861268,1.2748997449874877,2.2710795521736147,0.43359375,15.450310321995868,17.22133516171862,0.09543094902868436,8.812124217401237,2.240958113406182,2.240958113406182,261.4021451473236
1,2.6185267538474877,1.0505353219172304,0.40240088163678545,1.1655905450427568,1.5679914266795423,0.6205485059353254,0.6131996670668688,45.65631530897743,0.8237972967777392,86.91803470962839,3.2634082078933715,1.1595574736595153,0.8677481234073638,1.2361025929450988,2.1038507163524627,0.56640625,15.382535621331591,18.501640582786074,0.09144513488288446,8.023928277691802,1.680663697767237,1.680663697767237,267.68312764167786
2,2.062039155432328,0.8253709376578445,0.18033157556104126,1.056336642846367,1.2366682184074083,0.7106941491819947,0.5570634150665015,40.03398216848123,0.7469313962500755,77.49658771901021,2.809897518157959,1.0080641746520995,0.7467580139636993,1.0550753831863404,1.8018333971500398,0.6359375,13.050481234170483,14.281734233403215,0.08028141828697812,6.250654535943263,1.3315329920799663,1.3315329920799663,275.08967566490173
3,1.7092159591985994,0.7067979388596644,0.038402325217705244,0.9640156939123414,1.0024180191300467,0.7545587788678647,0.5112282744632372,36.14610856822168,0.6899189844008794,70.35995306210422,3.059499716758728,0.8903055906295776,0.8231775760650635,1.3460165500640868,2.1691941261291503,0.64609375,12.16638985053001,15.852852890706522,0.0910548360594101,6.088591978587,1.084804806073065,1.084804806073065,269.41706800460815
4,1.4909749356774131,0.6360314256502737,-0.04511655370696086,0.9000600619829437,0.854943508275983,0.779739347444311,0.4712672734196368,32.06515202636181,0.6547844950430727,65.61119935457988,2.4063752770423887,0.8042314648628235,0.5167187675833702,1.085425078868866,1.6021438464522362,0.71484375,11.3291693259361,12.924029789769719,0.07829509128385653,5.831261479496979,0.9285617177500384,0.9285617177500384,302.8365366458893
5,1.2039515470015953,0.5711767507687425,-0.19392527793869266,0.8267000760698778,0.6327747981311852,0.8056197430446437,0.4135486891936502,27.696143503439323,0.6189202932511383,60.43872662533787,3.0138238191604616,1.128302848339081,0.6706741929054261,1.214846706390381,1.8855208992958068,0.62890625,13.570342308269828,12.909833419411227,0.07666690940782403,5.673683597517128,0.6957407092234319,0.6957407092234319,287.54269576072693
6,1.0347761085897804,0.5283394558858054,-0.2654863972689411,0.7719230499005085,0.5064366526315675,0.8211611846883129,0.3757805364028606,24.374930797824195,0.5922739167128852,56.61058773422002,2.868505573272705,0.7252095818519593,0.6575162291526795,1.4857796788215638,2.143295907974243,0.7375,10.86968258014052,13.379696523460265,0.07913215731107912,5.214042855453227,0.5621840387087265,0.5621840387087265,287.70744132995605
7,0.898693357044062,0.4898112997934684,-0.3118316187655589,0.7207136768700872,0.4088820581045283,0.8319754928498805,0.3537643531083571,23.00410615401246,0.5689508196089712,53.635923611722255,2.880037808418274,0.7786974996328354,0.8323161572217941,1.2690241396427155,2.1013402968645094,0.73046875,12.89474039444612,12.558066309669448,0.072368865120401,5.071196228615278,0.45955480073376714,0.45955480073376714,314.68994402885437
8,0.7519738242364044,0.45909662909932,-0.38721829563142784,0.6800954896316379,0.29287719400021006,0.8430406823973697,0.33171266286415957,21.137084791704595,0.5489488756083823,50.99271553142126,2.2124781012535095,0.6676903903484345,0.2923122733831406,1.2524754583835602,1.5447877317667007,0.74296875,10.08656226179599,9.51369188963897,0.07188883125296255,4.807364334377706,0.33879131372759574,0.33879131372759574,283.2123746871948
9,0.5437681364723178,0.42158946964695515,-0.5071220952125318,0.6293007623999314,0.12217866718739953,0.8577106413320481,0.3119514622945875,19.65171551093973,0.5254987587159311,47.9833779853864,2.537600553035736,0.7310009121894836,0.3263276532292366,1.480271977186203,1.8065996304154397,0.73046875,9.767352110846241,9.34050219773702,0.07720501220182414,4.8321844627305435,0.163038157221849,0.163038157221849,287.1290764808655
10,0.5059839656292615,0.41119111567149724,-0.5131385593726099,0.6079314100292628,0.09479285065665283,0.8604043151598378,0.3107327198326239,19.153980805707945,0.5156166412788269,46.90867675956824,2.6757653832435606,0.7144932448863983,0.3726484403014183,1.5886237144470214,1.9612721547484397,0.7375,10.41075403994075,10.068958802727057,0.07494741234753065,4.728934162680724,0.13440757100980602,0.13440757100980602,294.9368009567261
11,0.41630945095243627,0.3888842947965548,-0.546991192850479,0.5744163486789533,0.027425155828474265,0.8675742410838075,0.3063478876815232,18.51076513638919,0.4997333997744727,44.80270944994372,2.449439263343811,0.6352956354618072,0.3019890755414963,1.5121545672416687,1.814143642783165,0.80078125,10.47241446239281,11.609713805731932,0.06932715081146812,4.620287827058656,0.06465457251988349,0.06465457251988349,277.9331066608429
