order,epoch,train_loss,train_cls_acc,test_cls_acc,test_soc_rmse_raw,test_soc_mae_raw,test_soc_mape_raw,test_soc_medape_raw,test_soh_rmse_raw,test_soh_mae_raw,test_soh_mape_raw,test_soh_medape_raw,score,elapsed_sec
M_SOH_SOC,0,0.12075573512734752,0.3379372268363857,0.34765625,16.239094112724164,11.76384878148383,40.36401957310288,18.581002408948265,0.11867964064137845,0.09252915638498962,11.531632123396747,9.505746280298691,-0.02826869969545648,92.8563060760498
M_SOH_SOC,1,-1.069982757210478,0.5773572947064027,0.5046875,16.033423338739244,11.278710910119116,32.68444044988824,18.23433069456719,0.10539140625994411,0.08320594956167042,10.525655619000638,8.251058485179016,0.15732302335074771,182.0265715122223
M_SOH_SOC,2,-1.6975741363683956,0.6704739017337225,0.57890625,16.176148313368152,11.381942922198505,37.17888599758368,18.047862017419263,0.10725660384494153,0.08212904058163986,10.273924790909803,7.789942914986632,0.24262877152607468,263.3842294216156
M_SOH_SOC,3,-2.054635015600022,0.7175603765861646,0.60546875,14.568157123777468,10.548429354385007,34.16046090161412,18.532174973996735,0.09442243740363676,0.07154151163995266,8.874936002659872,6.665756586909068,0.2868318685218513,343.5950484275818
M_SOH_SOC,4,-2.323361093308228,0.7526441577647789,0.6484375,13.766591904695824,9.116041828856396,28.06545848587178,13.600158442872962,0.09890857709086025,0.0699707539519295,8.505063370344537,5.813836730745388,0.3961591809563626,422.79493474960327
M_SOH_SOC,5,-2.564844791031604,0.7798053688616587,0.7015625,12.906123610345267,8.710546140282531,25.719830976586277,13.987531042352938,0.09807976815552207,0.07205334077589214,9.09221685003236,6.261126208914012,0.4364646653981903,504.61548233032227
M_SOH_SOC,6,-2.7378238906508767,0.7993609126800734,0.6796875,14.653006917466232,9.606095140770776,26.438532747993605,14.175710710865197,0.10531003893507078,0.078223896631971,9.894486958212893,6.686287915693098,0.40420463457748607,586.6608817577362
M_SOH_SOC,7,-2.835146023385863,0.8181638123407233,0.67890625,14.04565042278166,9.513329223627807,25.131273654995063,15.654163150180892,0.09551122998666013,0.0695861792890355,8.658358090704924,5.843508726788649,0.4054944439624182,665.0188844203949
M_SOH_SOC,8,-2.9632444143367693,0.8243962341383545,0.63984375,14.491183958881104,9.754296903574868,26.05020998889705,15.420290032843354,0.09681854014742464,0.06955121718347072,8.507958446090528,6.190357949850333,0.36183369067455984,744.5274214744568
M_SOH_SOC,9,-3.1002320004490485,0.837838194710364,0.71875,12.953667603582927,8.598827588866698,23.024282959152583,13.828414305691902,0.09045433325704333,0.06544985380023718,8.230779608876492,5.433371277533743,0.47179843139240607,825.7536106109619
M_SOH_SOC,10,-3.175929402589795,0.8461833018631244,0.71484375,11.952516892341453,7.903699094749754,21.507122896334856,12.806355614144277,0.09483241227485605,0.0691192600876093,8.688833093729713,5.4697223660407355,0.4773857465377426,918.0244221687317
M_SOH_SOC,11,-3.257628690889025,0.8536173134564853,0.68828125,12.506351953446721,8.054021483912948,22.640305369437094,12.033856408625807,0.09444155101640836,0.06780960480682552,8.434091531063851,5.502124724550408,0.4579001914227337,1004.5802881717682
M_SOH_SOC,12,-3.3340283574966434,0.8589782525451256,0.7671875,12.399955422355342,8.031939497886924,21.287826471692686,12.928758460514377,0.09045254437943556,0.06182186221703887,7.622706362466055,4.706777245741326,0.5437643704800297,1083.3514075279236
M_SOH_SOC,13,-3.396566075178598,0.8641807402321313,0.76328125,11.352610431259812,7.3137974392739125,19.503540216284936,11.767323040101699,0.09064762961702186,0.06436329514253884,8.093171516148667,5.163202426068333,0.5423439710776164,1169.063607931137
M_SOH_SOC,14,-3.5063896273454724,0.8723541916997875,0.7546875,12.960586272618782,8.619366397470003,22.41294803685087,12.922717621336883,0.0971911880576005,0.06713834146503359,8.511260329731298,4.7502280407585005,0.5304557629714611,1282.5025072097778
M_SOH_SOC,15,-3.527503305576243,0.8773454108512801,0.75703125,11.899000764422357,7.751023195160087,20.781088957050013,11.852910940520632,0.09259261458181692,0.06458997505251318,7.8664844864683765,4.987968051921321,0.5387427795563673,1392.371583223343
M_SOH_SOC,16,-3.599437091618557,0.880422008899687,0.7140625,13.908316642599866,8.888918355278292,24.011061441396915,13.14593402407025,0.08724852165862824,0.05995654172729701,7.3710060755262115,4.385003571679383,0.4949030883257099,1509.356278181076
M_SOH_SOC,17,-3.6803366418463015,0.8895461687771513,0.73828125,12.483850447024485,7.973645180245512,21.263633501466998,11.396887464178437,0.08788821162885037,0.059784278948791326,7.34491485469165,4.497164399454185,0.5343690873691319,1620.7198746204376
M_SOH_SOC,18,-3.7158393532046787,0.8900347272655249,0.73828125,13.520115619079887,8.30522188465693,20.5214878898384,10.419856211424973,0.08383945303230327,0.05707960110157728,7.032438131819345,4.1135360276551145,0.551811967332648,1732.1791179180145
M_SOH_SOC,19,-3.8079380080645553,0.896359579047443,0.7375,11.616146605321587,7.9090631498729635,21.714143020394264,12.577372703037565,0.08873347532905017,0.06277156018186361,7.739449941949313,4.705798133641716,0.5176103102967902,1864.523018836975
M_SOH_SOC,20,-3.8119682128701444,0.8993833599619717,0.81640625,11.072422140992417,6.891290199801006,19.586632362535923,9.44750041116669,0.08544953881284187,0.05945604662410915,7.462140279537291,4.299968777932952,0.6359318703296741,2000.1138303279877
M_SOH_SOC,21,-3.824395260114419,0.8997134670487106,0.8,11.266642709487954,6.858178276743274,16.887948720786707,9.799387419467015,0.09812237793667576,0.06668848004192114,8.322937969992255,4.787455290909688,0.6062570199871361,2127.7708809375763
M_SOH_SOC,22,-3.911477869057815,0.9048499333183685,0.72578125,13.698486679096717,8.363774762838148,21.415323434362904,10.579163281027853,0.09044447682190913,0.060893540573306384,7.639300270537321,4.057115558253493,0.5388473060246516,2260.7149138450623
M_SOH_SOC,23,-3.946054174409794,0.9081642084692274,0.7890625,11.48187360516655,7.149171924356779,18.085328702725636,10.41164446735442,0.08702364130783287,0.05816409296821803,7.1376923044546,4.173278583706462,0.6014804836523265,2408.533216714859
M_SOH_SOC,24,-3.966416516632116,0.9088772397765835,0.80625,11.34781649267764,7.0408167531422805,19.36340327261662,9.748898782080552,0.08743418911151872,0.05668081342591904,7.035541493703567,3.8272240941372098,0.6322165302964503,2582.5365974903107
M_SOH_SOC,25,-4.0153465846225425,0.9129705676521463,0.765625,13.068769894312387,8.095941865467466,20.27782599050981,10.199188123687936,0.09264783730062125,0.06245930406730622,7.6672137323112555,4.271306557859119,0.5782069876059382,2723.5311510562897
M_SOH_SOC,26,-4.054792554076949,0.9140137060462414,0.8078125,10.826104325667965,6.696991410644841,17.63645626314793,8.670547198930443,0.08590023253740184,0.0549360842211172,6.643712461989653,3.548011731598952,0.6501467933787166,2873.013659954071
M_SOH_SOC,27,-4.049605360324913,0.9183183024573172,0.75703125,11.977214203500745,7.364376037294278,18.718240512611438,9.832506990156398,0.09257726760088926,0.06162582150427624,7.591745009197412,4.178591587442132,0.5751343483495934,3022.364023208618
M_SOH_SOC,28,-4.077562475970097,0.917248755496283,0.840625,11.235622749171021,6.914259228142328,17.876291648856,9.396475398599074,0.08917046794756155,0.06089159977855161,7.634502655562383,4.333096331358558,0.6599983193868381,3177.847885131836
M_SOH_SOC,29,-4.144767849781534,0.9213024705214371,0.75546875,12.345997631502685,7.44791733333841,19.35805083790554,9.765842215324296,0.0982769571085426,0.06739411810413003,8.516865110601401,4.579922580722619,0.5662118762323047,3326.4006872177124
