soh_bin,LFP_35Ah,LFP_68Ah,LMO_10Ah,LMO_24Ah,LMO_25Ah,LMO_26Ah,NMC_15Ah,NMC_21Ah
"(96.274, 101.116]",0,0,0,0,0,50,0,80
"(91.432, 96.274]",0,0,30,0,30,20,0,0
"(86.59, 91.432]",40,10,150,0,40,10,0,0
"(81.747, 86.59]",40,90,20,10,40,40,0,10
"(76.905, 81.747]",10,70,10,90,10,30,40,10
"(72.063, 76.905]",0,10,0,50,0,0,110,0
"(67.221, 72.063]",0,40,10,10,10,0,0,0
"(62.379, 67.221]",0,0,20,0,0,0,0,0
"(57.537, 62.379]",0,0,10,0,10,0,0,0
"(52.646, 57.537]",0,0,10,0,10,0,0,0
