soc_bin,LFP_35Ah,LFP_68Ah,LMO_10Ah,LMO_24Ah,LMO_25Ah,LMO_26Ah,NMC_15Ah,NMC_21Ah
"(90.0, 100.0]",0,0,0,0,0,0,0,0
"(80.0, 90.0]",0,0,20,0,0,20,0,0
"(70.0, 80.0]",0,0,10,20,30,30,0,0
"(60.0, 70.0]",0,40,30,40,10,10,30,30
"(50.0, 60.0]",20,40,70,10,20,20,10,20
"(40.0, 50.0]",0,60,40,40,20,50,40,40
"(30.0, 40.0]",40,40,30,30,10,0,10,0
"(20.0, 30.0]",10,20,40,20,40,0,30,10
"(10.0, 20.0]",10,10,20,0,0,0,20,0
"(-0.001, 10.0]",10,10,0,0,20,20,10,0
