soc_bin,LFP_35Ah,LFP_68Ah,LMO_10Ah,LMO_24Ah,LMO_25Ah,LMO_26Ah,NMC_15Ah,NMC_21Ah
"(81.5, 90.0]",,,4.549373054973465,,,5.3740440840975765,,
"(73.0, 81.5]",,,1.4077585860163282,33.9453025368699,4.625465209813676,1.6817221783877585,,
"(64.5, 73.0]",,4.050055180895207,2.9109145691206635,4.681821024169821,1.3974520220294409,4.577521780117088,1.6796223983631435,1.0702670310935005
"(56.0, 64.5]",,5.51318137146459,0.5849631658339902,4.342918119944276,,11.607777638664711,,0.960794608205628
"(47.5, 56.0]",4.440213344113907,4.04650558434065,0.8815577575389284,7.31499558036943,5.476818566850056,8.42714778448395,0.8885611141939869,7.776552565091574
"(39.0, 47.5]",1.7446757025393573,4.045464015767855,0.2668384064221243,1.4074760508645703,2.8428953919824913,3.8037438874676575,0.6648354718816414,0.6273585270369111
"(30.5, 39.0]",3.2055995614459896,3.346732999453904,1.0924502271341083,4.3602588806908305,6.490180133336171,,0.10183899957981168,
"(22.0, 30.5]",4.4419019227439325,2.7018717182178147,0.6854110445667825,1.7585850042287863,0.7955848311236338,,1.446266270163271,
"(13.5, 22.0]",2.5705180753134957,3.040169758456482,1.2901377432351033,1.132579959846714,1.1316819490591872,,0.12041037998386894,0.48292751913564125
"(4.915, 13.5]",0.1229465640691898,2.2686206436885232,,,3.175480219941617,1.2697832742030597,0.11599460758845392,
