soh_bin,LFP_35Ah,LFP_68Ah,LMO_10Ah,LMO_24Ah,LMO_25Ah,LMO_26Ah,NMC_15Ah,NMC_21Ah
"(100.0, 105.0]",0,0,0,0,0,10,0,40
"(95.0, 100.0]",0,0,0,0,0,50,0,40
"(90.0, 95.0]",10,0,50,0,30,10,0,0
"(85.0, 90.0]",50,30,140,0,40,20,0,0
"(80.0, 85.0]",20,110,20,30,40,50,10,10
"(75.0, 80.0]",10,40,0,100,10,10,140,10
"(70.0, 75.0]",0,30,0,30,10,0,0,0
"(65.0, 70.0]",0,10,20,0,0,0,0,0
"(60.0, 65.0]",0,0,20,0,10,0,0,0
"(55.0, 60.0]",0,0,10,0,0,0,0,0
"(49.999, 55.0]",0,0,0,0,10,0,0,0
