File_Name,Mat,No.,ID,Qn,Q,SOH,Pt,SOC,SOCR,source_file,source_dir,label,sheet,pulse_width_ms,pulse_ms
LMO_C_10_B_32_SOC_5-75_Part_1-1_ID_PIP15710A00246135.xlsx,LMO,32,PIP15710A00246135,10,8.0443,0.80443,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_33_SOC_5-80_Part_1-1_ID_PIP15N21A50200177.xlsx,LMO,33,PIP15N21A50200177,10,8.7844,0.87844,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_34_SOC_5-80_Part_1-1_ID_PIP15N21A03201737.xlsx,LMO,34,PIP15N21A03201737,10,8.5736,0.8573600000000001,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_35_SOC_5-80_Part_1-1_ID_PIP15D22A03248005.xlsx,LMO,35,PIP15D22A03248005,10,8.8531,0.8853099999999999,0.03,5,0.04998,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_36_SOC_5-80_Part_1-1_ID_PIP15D15A03236357.xlsx,LMO,36,PIP15D15A03236357,10,8.8667,0.88667,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_37_SOC_5-80_Part_1-1_ID_PIP15N21A50200566.xlsx,LMO,37,PIP15N21A50200566,10,8.7259,0.87259,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_38_SOC_5-80_Part_1-1_ID_PIP15D19A03261038.xlsx,LMO,38,PIP15D19A03261038,10,8.8714,0.8871399999999999,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_39_SOC_5-80_Part_1-1_ID_PIP15D25A03226076.xlsx,LMO,39,PIP15D25A03226076,10,8.7876,0.87876,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_3_SOC_5-55_Part_1-1_ID_PIP15827A00221153.xlsx,LMO,3,PIP15827A00221153,10,5.1908,0.51908,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_40_SOC_5-80_Part_1-1_ID_PIP15N21A03207437.xlsx,LMO,40,PIP15N21A03207437,10,8.6738,0.86738,0.03,5,0.05001,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_41_SOC_5-80_Part_1-1_ID_PIP15D25A03219538.xlsx,LMO,41,PIP15D25A03219538,10,8.9075,0.89075,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_42_SOC_5-80_Part_1-1_ID_PIP15N26A01201901.xlsx,LMO,42,PIP15N26A01201901,10,8.7445,0.8744500000000001,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_43_SOC_5-80_Part_1-1_ID_PIP15N15A03208363.xlsx,LMO,43,PIP15N15A03208363,10,8.5451,0.85451,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_44_SOC_5-80_Part_1-1_ID_PIP15D01A03233061.xlsx,LMO,44,PIP15D01A03233061,10,8.3956,0.83956,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_45_SOC_5-80_Part_1-1_ID_PIP15D01A03245962.xlsx,LMO,45,PIP15D01A03245962,10,8.0747,0.80747,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_46_SOC_5-80_Part_1-1_ID_PIP15D01A03250557.xlsx,LMO,46,PIP15D01A03250557,10,8.6249,0.86249,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_47_SOC_5-80_Part_1-1_ID_PIP15D01A03210683.xlsx,LMO,47,PIP15D01A03210683,10,8.8702,0.88702,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_48_SOC_5-80_Part_1-1_ID_PIP15D01A03229494.xlsx,LMO,48,PIP15D01A03229494,10,8.3622,0.83622,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_49_SOC_5-80_Part_1-1_ID_PIP15D01A03243668.xlsx,LMO,49,PIP15D01A03243668,10,8.7211,0.8721099999999999,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_4_SOC_5-55_Part_1-1_ID_PIP15828A00213703.xlsx,LMO,4,PIP15828A00213703,10,5.9985,0.59985,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_50_SOC_5-80_Part_1-1_ID_PIP15D01A03214955.xlsx,LMO,50,PIP15D01A03214955,10,8.7822,0.87822,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_51_SOC_5-80_Part_1-1_ID_PIP15N08A03228420.xlsx,LMO,51,PIP15N08A03228420,10,9.1801,0.91801,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_52_SOC_5-80_Part_1-1_ID_PIP15N08A03232183.xlsx,LMO,52,PIP15N08A03232183,10,8.818,0.8817999999999999,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_53_SOC_5-80_Part_1-1_ID_PIP15D01A03218382.xlsx,LMO,53,PIP15D01A03218382,10,8.7007,0.8700699999999999,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_54_SOC_5-80_Part_1-1_ID_PIP15D01A03238599.xlsx,LMO,54,PIP15D01A03238599,10,8.7985,0.87985,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
