stage,epoch,train_loss,train_cls_acc,train_soc_rmse,train_soc_mae,train_soc_mape,train_soc_medape,train_soh_rmse,train_soh_mae,train_soh_mape,train_soh_medape,val_loss,val_cls_acc,val_soc_rmse,val_soc_mae,val_soc_mape,val_soc_medape,val_soh_rmse,val_soh_mae,val_soh_mape,val_soh_medape,val_soc_rmse_raw,val_soc_mae_raw,val_soc_mape_raw,val_soc_medape_raw,val_soh_rmse_raw,val_soh_mae_raw,val_soh_mape_raw,val_soh_medape_raw,test_loss,test_cls_acc,test_soc_rmse,test_soc_mae,test_soc_mape,test_soc_medape,test_soh_rmse,test_soh_mae,test_soh_mape,test_soh_medape,test_soc_rmse_raw,test_soc_mae_raw,test_soc_mape_raw,test_soc_medape_raw,test_soh_rmse_raw,test_soh_mae_raw,test_soh_mape_raw,test_soh_medape_raw,train_score,val_score,test_score,selection_score,best_score_so_far
stage1_soc,0,2.3072713235640365,0.42021947712801855,0.7419869296941096,0.5770804664270416,916.0100323910561,61.9757653119123,1.6085344482087347,1.3361198858506815,595.3217753379716,221.0634010165303,2.1534633355982162,0.5647058823529412,0.7320539843905083,0.5019550897381908,130.35447714343735,64.32940272148204,1.6768413422830757,1.347410289044766,434.25971337900614,159.1682558503748,16.274772093538605,11.159292703641619,32.726525654573926,16.72194269394333,0.176060606038907,0.1414718650419779,19.386811790068766,14.630559716482164,2.2664552688598634,0.4359375,0.6940664430717947,0.5108257679377857,277.8140874129539,55.791399289893,1.3969472855325298,1.1570036150347733,583.858418139984,191.07764782550402,15.43024615619168,11.356502566700726,38.05273359709622,19.13672650470773,0.14667302116990846,0.12148004257509556,15.818660739797622,12.70437652555215,0.19762339821978567,0.3450896870357887,0.22771756707846158,0.3450896870357887,0.3450896870357887
stage1_soc,1,1.4002587638275292,0.6451982042780435,0.6183023842309736,0.4569562911970813,740.1784514771136,46.07853338108224,1.4474904084635143,1.1618230555786193,467.47894628318596,175.08925952271653,1.7652185982348871,0.711764705882353,0.7047617862929175,0.4704345208830109,128.52200282996694,68.40790854528979,1.5750838569583654,1.2859978424640848,408.4485760447793,148.565335807718,15.668021343674432,10.458538271161004,35.91537866540826,14.756093940615019,0.16537653946474257,0.135023841433134,18.436492882475715,15.329238390763436,1.8206858515739441,0.60546875,0.6103931920294943,0.44014558839298845,228.57251936870634,51.645991589636196,1.3790582396743647,1.1301740927221544,604.5238103335388,191.28404232154134,13.570051252433792,9.785165154228775,38.38155625673083,16.5022754091925,0.14479475387304055,0.11866306649096428,15.507351733980915,13.248512995734178,0.45970748900875147,0.5003361699944777,0.4223507923911517,0.5003361699944777,0.5003361699944777
stage1_soc,2,1.0283958611310373,0.7163962325049148,0.5647225814463126,0.41130268191249497,701.5917953441854,40.67931577991997,1.4218999797357303,1.1394029200190503,472.4845207998141,168.55282532899133,1.6731689378327015,0.6549019607843137,0.6675879341858106,0.4221636291976799,123.30518425787933,56.30156140778125,1.5622700364721644,1.273157740691129,477.1492523946336,141.85770752187648,14.841585064680912,9.385396429600341,27.025268698455363,14.137988613824259,0.16403114742103095,0.13367568997554297,18.241446703580518,15.096149518576306,1.803505575656891,0.56953125,0.6057538056801515,0.4242973618001997,261.74533080319736,46.408801096901634,1.295573999077234,1.0590867556595185,561.9797402859792,168.116200880346,13.466910012717307,9.43283283805521,30.605246718947132,16.143095863149444,0.13602929370480749,0.11119922400965998,14.451993461162573,11.981453874222552,0.546979458071021,0.45462558052857055,0.3878051082959546,0.45462558052857055,0.5003361699944777
stage1_soc,3,0.8077716438557137,0.7418356268888824,0.5339530683617382,0.38240283463520647,709.1870681287279,36.56609620942287,1.394210031282039,1.1139891494301708,457.8477115501361,163.78254208971646,1.7642606520185284,0.6568627450980392,0.7053482186165582,0.46680389910607656,154.69795116003021,64.45565267920252,1.5856020015172059,1.291738896342177,473.0748386247101,146.98054768994288,15.681058705151921,10.377823538043828,29.14821418803638,14.952814687183487,0.16648089612553013,0.1356266256081131,18.510267698450914,15.027732301576286,1.6927061080932617,0.625,0.6063205760548878,0.4204050839311094,288.03738404099664,45.21417989529965,1.3206729902649594,1.0892964944003325,593.4613283841506,173.4909904496169,13.479510256517475,9.346301056800158,27.931090526606454,15.035384072189002,0.138664572003385,0.11437110722655579,14.856636932306554,12.350038141540155,0.581649706380361,0.44525827951307173,0.4431038271835337,0.44525827951307173,0.5003361699944777
stage1_soc,4,0.6556515011256865,0.7571374079399079,0.5075492776777597,0.3589693430175287,692.7716767766881,33.31058254079498,1.4020917982011083,1.1216467458819461,462.3944317114371,163.83124107695045,1.5624315345988553,0.6705882352941176,0.6678556648819688,0.43009902400275074,138.9230590175611,50.99430899798822,1.6276776203129757,1.3127780194156895,446.52861028286964,152.76298551630913,14.847537161323134,9.56181339430316,26.668805487677442,12.751479324373484,0.17089864201349778,0.13783563648197816,18.878398849906073,15.79976501475373,1.5650318384170532,0.63828125,0.5685173059246614,0.39803675371804276,235.5967054241518,42.509486546086684,1.3533990649271928,1.1259592387075827,638.3310109307134,185.39467845365292,12.639080972778045,8.849016042179597,27.445577971623216,15.63844578261643,0.14210065888472492,0.11822052626163009,15.365333111777455,13.67190662040721,0.60487262463658,0.4702315358295269,0.4677260582226016,0.4702315358295269,0.5003361699944777
stage1_soc,5,0.5223907489531904,0.7693876353393386,0.4816733343956651,0.33792698537471183,680.2324113722227,31.103656584570267,1.4073071153800032,1.125160410807366,464.4692562843679,164.14799925849007,1.704728882453021,0.6627450980392157,0.7155240664887502,0.4711180948935376,178.73927454171294,58.711129714818256,1.575482633988224,1.283716671256458,463.7421436982929,139.17793056419197,15.90728465092876,10.473735253169988,30.145846784056474,14.022455924675203,0.16541840921340684,0.13478432897887496,18.333064156045676,15.672923058911344,1.4952860832214356,0.6375,0.5870136864209077,0.41059797811722093,276.96945409329044,45.03924911668935,1.2932790130404752,1.063688271841238,595.9357769157009,165.82329277446087,13.05028613462469,9.128272857484859,28.175569877200473,15.614674097416355,0.13578833075721436,0.11168236198295704,14.505867396488588,12.485564989386788,0.6248856350206391,0.4480878780925906,0.46139589407372766,0.4480878780925906,0.5003361699944777
stage1_soc,6,0.44455906500863496,0.7801267568439894,0.4654409221415224,0.3249536168630984,675.5488180988797,29.67877411574677,1.398649034370254,1.118432930019824,460.97880758960366,162.33346163050288,1.5077895547829423,0.703921568627451,0.6547678476721439,0.415064306207476,149.0388128119621,48.719566913524346,1.6342148956408864,1.3211739701675433,492.661737299835,148.84701108337447,14.55657331598715,9.227566725579013,28.75567107038762,12.04086589797502,0.17158502576791315,0.13871717258224603,18.98108413046969,16.280601946536613,1.3584338188171388,0.6640625,0.5041514575858976,0.3472840719303349,235.78207688040857,38.33151619919933,1.3329593426696036,1.1075873043118918,592.0282246974784,180.15667596629473,11.208121597298641,7.720699897683053,26.5031619029826,12.746441876643624,0.13995458233162753,0.11629155789578074,15.117020228223288,12.952951461816397,0.6404944802015327,0.5074912143258079,0.5128170627242308,0.5074912143258079,0.5074912143258079
stage1_soc,7,0.38253568708660535,0.7870661072151639,0.4558021716888025,0.31665760494565764,667.5921199381917,28.860422419130014,1.397110859094101,1.1195485016201767,464.3171052131415,162.82497617641982,1.7167435258042578,0.6568627450980392,0.6521166843111516,0.4047413185877981,136.41716501485618,44.2552269753389,1.581752504525452,1.2680463323077442,471.5360161714425,143.18698840822918,14.497633565090478,8.998069619604575,26.273831508185168,12.26250329544854,0.16607671669828006,0.13313901567309183,18.192448223411326,13.799109680365207,1.5376176118850708,0.64921875,0.5136568372057072,0.3501962851740245,201.90269212938705,36.34385658641187,1.28224709034906,1.0644646455992188,566.957017346228,162.72713588636833,11.419441923768506,7.785443219677664,23.06396770023352,13.24212376611619,0.1346300297624521,0.1117638776463034,14.462686021812093,11.798159215985518,0.6503254557085232,0.4612277398046938,0.4951216988382878,0.4612277398046938,0.5074912143258079
stage1_soc,8,0.29020529981405363,0.7962501100319826,0.43378269630591065,0.3007011264166164,643.5232561931747,27.05342005655758,1.3939736694583946,1.1133608642460093,458.0900846946748,161.5338679161726,1.2517706291348327,0.7450980392156863,0.611983906376218,0.40600808502777536,156.32459104481532,47.40083069255779,1.578005296494997,1.2815421806684897,452.3854236610918,148.35255637071634,13.605415466017584,9.026231934879092,26.56897507923896,13.000698113274009,0.16568327714012995,0.13455601749758575,18.392464753893073,15.19723615963397,1.0731864094734191,0.721875,0.4764348005637777,0.3292766043359734,168.16861225971584,30.764914630946375,1.3061225549578692,1.0778337619631202,589.7158410348886,171.48087099531836,10.591934422789457,7.320364079110851,23.50508806729814,12.012533024526595,0.1371368434141028,0.1131675731957156,14.726762153900546,12.468843013595295,0.6661153011402094,0.5615028673028208,0.5789445598308667,0.5615028673028208,0.5615028673028208
stage1_soc,9,0.1899620280238595,0.8058889117103372,0.4152529897147533,0.2878701083721258,631.8249029772851,25.8263541102333,1.388449399301504,1.1101533491194573,457.28143087778255,161.21026990015753,1.9642194196289662,0.7450980392156863,0.7278215636361224,0.4982242582968491,222.1750890044599,57.43961208686031,1.5887975144115118,1.2947121215801614,488.41397932451866,149.3631818715308,16.18067837278802,11.07635014377317,39.64016477433787,14.190259028866297,0.16681641023923313,0.13593880054326649,18.597850634069843,16.06278323770991,1.7234776377677918,0.6921875,0.5633875113460931,0.3874994905441781,259.0048740452539,37.72763533506564,1.3222658873965571,1.098782767515513,588.826624043548,182.04305483418705,12.525037146184607,8.614755235871627,34.617311104109056,13.897720657962594,0.13883181885451815,0.11536712214555542,15.01598970718318,13.07788431518744,0.6813130147959112,0.5267515701248495,0.523171246596172,0.5267515701248495,0.5615028673028208
stage1_soc,10,0.18759128171783884,0.8077374490185147,0.4090130023813984,0.2839889460922655,617.7530880220813,25.49420055622739,1.395033138017997,1.1155059420966755,458.18013845348554,162.61923577972476,1.379454345329135,0.7333333333333333,0.6360384888610238,0.4078146988772513,151.99793854988874,44.10512206723935,1.5677385297090543,1.2761563253168966,445.7378736606855,147.7267971028052,14.140188660471786,9.066395951861708,24.70409313563155,12.203191838207005,0.16460531398594616,0.1339905275294363,18.288048782425687,15.341880251422147,1.1772471785545349,0.69921875,0.5136646654835642,0.3396552481364779,216.6890991667523,33.85246347953067,1.3101401911037371,1.0773332159871642,581.6142871719019,173.67528773337236,11.419615959346105,7.551098514131867,21.360620705039878,12.448741781405273,0.1375586766769458,0.11311501817714889,14.72165563013798,12.310333528370684,0.6850335483040952,0.5425217866750262,0.5451193503549308,0.5425217866750262,0.5615028673028208
stage1_soc,11,0.11118714396097526,0.8185645961092691,0.39909180152094564,0.2763832090170217,615.3259089799574,24.69785350894596,1.4116971824360833,1.1276115423663389,464.2911066233662,164.6883917133422,1.7291170012717154,0.7137254901960784,0.6911494230115255,0.45814753412725584,189.95664509588832,49.04373043033955,1.5844711255807407,1.2846884561958267,479.07606668839765,146.85831557073382,15.36539597070613,10.185378212708851,28.874879733615042,13.760560736155899,0.16636215936868357,0.13488636191487818,18.453797851635528,15.233576968304291,1.5456502497196198,0.6375,0.583838222061625,0.39100679403636607,195.46742226739144,33.97621480569781,1.335173151115709,1.0998620891819884,620.6699968940118,177.99907474535485,12.979690304480403,8.692728399347752,25.594903919461945,13.056277951211772,0.14018702200665648,0.1154804459418615,15.053732318478279,13.100103913147048,0.6988370556529855,0.5063806632926208,0.4623485333815125,0.5063806632926208,0.5615028673028208
stage1_soc,12,0.0167336548295702,0.8246823743434758,0.3861267418983479,0.2661823728922969,597.0309380640568,23.57448549111652,1.4088904550266372,1.1259256642530315,462.2207515060775,165.29995757701337,1.6464477006126852,0.707843137254902,0.6893960121323264,0.44047824266713625,178.9302022766069,42.586503697679674,1.5441786229708703,1.2474713242010158,436.7110462028947,143.34914284541958,15.32641474383793,9.79256060950002,23.477176346022674,12.21338736544574,0.16213163245511203,0.1309787347298787,17.914824489820226,13.625174680099544,1.2867507934570312,0.64765625,0.599947435853254,0.3818814061167359,191.93044075770177,33.86079852825622,1.2947460585494828,1.0587702067008649,582.8694371573587,167.92072554391854,13.33782479818599,8.489855917503727,22.53217203664341,12.413002690476088,0.13594236376850144,0.11116598782917216,14.47668621287973,11.922703769397636,0.7088443517739714,0.501024333615204,0.4676720192440238,0.501024333615204,0.5615028673028208
stage1_soc,13,-0.016824608927359867,0.8266189372377571,0.3776707046355133,0.2603998485474357,585.5734422556535,23.12890257014646,1.4016343978969976,1.1222266729833337,464.44414431996205,164.88784409493115,1.6337218032163732,0.7607843137254902,0.6608177228013913,0.44993315394054734,185.57441905846417,52.47596276525091,1.6388951374281504,1.336249610774365,487.3918726429971,156.6491999725344,14.691072056547716,10.00275894107185,33.750452006108546,14.376157072472271,0.17207642956664848,0.14030004530534337,19.19834013478197,16.69418886542612,1.346963357925415,0.70859375,0.5159839865400929,0.3548211757806712,173.95893188785095,33.322022374623025,1.3769169173271216,1.1369286147477395,625.2920848124215,191.95538929252996,11.47117830640194,7.88826219503423,28.226120339506167,11.759820258926755,0.14456992490402973,0.11937226014652413,15.585377874700294,13.522807725950214,0.7133177258471032,0.5625389968850728,0.5537985540379722,0.5625389968850728,0.5625389968850728
stage1_soc,14,-0.07393096981447755,0.8349666969865908,0.3692422399084656,0.2549003302167494,582.8492022675081,22.536289284306704,1.4074290441386537,1.1307221617812842,473.9113454386262,168.11245185098997,1.8254871134664499,0.696078431372549,0.6758490745943933,0.4435400135249046,172.6731170970623,52.92866699510547,1.59441966226145,1.289973836432339,473.9211209756023,146.39718712118494,15.025243893468437,9.860628844869717,25.868264208652523,12.904539311112636,0.16740670982974337,0.1354413024594138,18.525966857640242,14.864169962956492,1.6572331190109253,0.6359375,0.6039969346807155,0.38744518875428186,188.06326677545962,31.43189916181423,1.3408099715529758,1.1101826108446402,594.9536728997787,177.27429550126817,13.427851861647516,8.613548017177816,23.670966891735297,11.807333140069712,0.14077886215115484,0.11656405311014031,15.163935439834296,13.01830301259617,0.7241940250140511,0.49332370899423106,0.4547384195957854,0.49332370899423106,0.5625389968850728
stage1_soc,15,-0.12025918065233657,0.8367565505706992,0.37123672792728196,0.25433464471952266,575.8923267228602,22.29833207360169,1.3943289252579087,1.117772932305213,463.02239578589086,165.0210218901158,1.707929942187141,0.7274509803921568,0.6705366503210676,0.43871057953539433,180.89812924796277,47.73966870926431,1.5225555000553657,1.2446766345743454,448.57811627917783,145.01479764843054,14.907139906390844,9.753262531461143,25.291761000909993,12.978740805956072,0.1598613042917008,0.13068530521036772,17.84774587027579,14.144854298040316,1.5194419205188752,0.6515625,0.5965311800684826,0.38765629636436644,175.43804559393445,33.110926946610306,1.2993418161592534,1.0645727915769385,593.7803222914073,175.3148597175579,13.261875775988292,8.618241288868974,23.886995850898366,12.344715479416458,0.13642489711830688,0.11177523247511031,14.594127083769967,12.890721909529342,0.7253855321925147,0.5262899852958366,0.4726031459794553,0.5262899852958366,0.5625389968850728
stage1_soc,16,-0.16394863905948232,0.8446054986649453,0.3649605307660622,0.2487210244033565,569.8732870320736,21.68382330696067,1.395745290793256,1.121579489031098,469.9766442779969,166.98527562888302,1.5448767830343808,0.7627450980392156,0.609089226434945,0.3782277962667685,131.96728199427568,43.67720163731209,1.5872436947807769,1.310695272947059,477.59379340709563,146.70977758823068,13.541061938364594,8.408630121462966,27.49148572269852,11.93965094111578,0.16665326634543462,0.13761695771002394,18.71177200984284,15.451102771814297,1.1760677218437194,0.7109375,0.4606408562434203,0.29762177806878753,133.74475797537366,28.676039009181206,1.3150703465988836,1.0830663572931372,596.7554250875728,177.35869829604053,10.240808891404141,6.616624882078911,22.426692201490894,9.581873365388047,0.1380763202622117,0.1137169715685544,14.821959899644316,12.99657774411148,0.7351173394351266,0.5800183301087322,0.572745243126974,0.5800183301087322,0.5800183301087322
stage1_soc,17,-0.20686510064394056,0.8472756081100906,0.35957078952983845,0.24518126895641273,557.3510600116352,21.187604486748704,1.4110631131885873,1.1370539086486116,484.1333522946501,170.73633255966928,1.6086656780803905,0.7607843137254902,0.6380651307573978,0.41816042977403484,171.49666252204824,46.73264702214956,1.5797767948798969,1.287731513388309,478.59278185673713,149.14518747720086,14.185244265224988,9.296398678540967,25.876791564843742,12.73839557885383,0.16586927629901146,0.13520586888313435,18.48238535403659,14.967105689834685,1.2505809843540192,0.7046875,0.5310689788825783,0.35066500456887295,170.04480869249775,33.445153803465914,1.3578582328296995,1.1270451575452172,623.1031237666217,183.2864303339527,11.806542661547317,7.7958636278574405,22.474770136710998,11.942707155575457,0.142568850945326,0.11833454273047658,15.421469555568995,13.651537965275567,0.7394043712511391,0.5693647744982708,0.5453668063352265,0.5693647744982708,0.5800183301087322
stage1_soc,18,-0.2308393075967324,0.8524544467591914,0.3524802376725703,0.24042037031459032,538.5306018713973,20.910844691413267,1.4039519848902065,1.1305786414010541,484.90201025210246,169.80137101346543,1.7510134958753398,0.7372549019607844,0.6588318675139209,0.41828351226069177,163.34279722801122,43.859823549217175,1.6132239082296262,1.320571751585778,542.5893943410953,158.24598245425233,14.646923205638531,9.29913500600009,25.717898789683204,10.998609232152427,0.1693810689165454,0.13865394240906276,18.934980290933236,16.684982293244968,1.4834953665733337,0.66953125,0.5834132330823482,0.37256961650346054,176.8439310872061,32.97093830715407,1.3601941986771346,1.1333211936544103,655.8335646029018,187.06995435582303,12.970242095840772,8.282839417395184,22.521094924680902,11.329464070412513,0.1428141165840093,0.11899349757196576,15.48948019978963,13.867740131176955,0.7467103754574203,0.5396053417066081,0.49450728007529554,0.5396053417066081,0.5800183301087322
stage1_soc,19,-0.31072378984055454,0.8579853877527068,0.34169338340728583,0.2327374582841318,535.5252243181733,20.22768586164281,1.410132885481074,1.1380092127494092,490.95034771754314,171.67512979329354,1.2616664477423125,0.7627450980392156,0.5870314607920594,0.3860430215531047,151.84854840570605,44.257752756884756,1.629329014294509,1.3406593444300632,521.9418835412403,151.826807026776,13.050681288323418,8.582375518806414,23.433866773110065,12.614122569342193,0.17107203076404104,0.14076304699805886,19.195446385265846,16.648163936499618,1.3668754875659943,0.71171875,0.5030937800780384,0.3348777581977629,165.73153697724348,29.303493355698805,1.374254095038539,1.1444336621840194,675.1596613423169,190.66372336942868,11.184607675161871,7.444887002973308,20.63351894118776,11.029732316317999,0.1442903408467429,0.12016025550819809,15.652421638874163,13.94990988769477,0.7554773727305211,0.5866356598015978,0.5607906159765884,0.5866356598015978,0.5866356598015978
stage1_soc,20,-0.38064629913848985,0.8626507438162025,0.3365022550014778,0.22832390609988182,531.5043749125762,19.6335197131486,1.4065620024620955,1.1354332102426592,488.50378780449955,171.17130876301462,1.5642254287121342,0.7549019607843137,0.6122899763855901,0.39929749043658375,170.14481213179562,43.82920482823523,1.6068720926018114,1.311746147932375,518.8872255160416,152.17402153565035,13.612219909068795,8.87704430676352,26.75471732400176,12.03039341376267,0.16871415757515518,0.13772729473602663,18.821958569114297,16.508650192445618,1.4604001879692077,0.72578125,0.48927261044977216,0.3215322692376503,160.89252702039,28.762096883526663,1.3732665670310862,1.149838271523913,659.5306993670722,189.93234862149907,10.877340191393651,7.148194688015829,20.537862178145513,11.209309158646708,0.14418665496121016,0.12072771455861112,15.702279305161614,13.87602739575265,0.7617000673157592,0.5712149678686367,0.5789994668650684,0.5712149678686367,0.5866356598015978
stage1_soc,21,-0.3897850883833935,0.8649980927789678,0.3373915360163905,0.22784423026624928,527.754666035982,19.545862984141877,1.4122504737401824,1.1391561959209617,488.7030443859417,172.77921698861448,1.7470336053885667,0.7254901960784313,0.6628785420864257,0.43262009954664343,161.53002171366464,45.65284652105575,1.67465950991324,1.372671949746562,533.8164243036458,162.2050106349348,14.736887481236414,9.617861077646632,25.952306286558308,12.404191068398312,0.17583152370438776,0.14412422288917404,19.69482146846379,16.360561444332674,1.3748771727085114,0.6953125,0.5495272303728723,0.3531230540545948,159.1766217369058,29.278553524632088,1.4389666213384704,1.2059246141863695,693.7832018746221,206.466255097009,12.216900152463596,7.850510137579081,21.075137371024752,10.89631692999524,0.15108485760356513,0.12661652182418895,16.489789636207934,14.84946539994103,0.7637806319740507,0.5266266334525036,0.5304543308881383,0.5266266334525036,0.5866356598015978
