stage,epoch,train_loss,train_cls_acc,train_soc_rmse,train_soc_mae,train_soc_mape,train_soh_rmse,train_soh_mae,train_soh_mape,test_loss,test_cls_acc,test_soc_rmse,test_soc_mae,test_soc_mape,test_soh_rmse,test_soh_mae,test_soh_mape,test_soc_rmse_raw,test_soc_mae_raw,test_soc_mape_raw,test_soh_rmse_raw,test_soh_mae_raw,test_soh_mape_raw,test_score,best_score_so_far
stage1_soc,0,2.278318447632456,0.4236330265538141,0.7418947585945996,0.5706600276938751,707.503830649183,1.654419725305956,1.3692200410716466,2672.8901077650735,2.3326989889144896,0.4921875,0.6986684012229576,0.5063819933158811,314.8560958579659,1.6967761143323044,1.4489754538750277,4249.421818290621,15.546637459166876,11.26791658494451,35.64106394324206,0.18074822185642583,0.15435138120602368,20.052391836216373,0.28258697963311274,0.28258697963311274
stage1_soc,1,1.3178922532769046,0.663502040061796,0.5940587454784586,0.4310010223467969,536.6437350187069,1.6403994099381385,1.33854801081914,2686.6458615377155,1.6179203867912293,0.696875,0.5355314650206482,0.37554320189810825,213.89531461885593,1.7399129343448099,1.469479105982464,4687.455187301922,11.916545106468751,8.356516471819557,32.85919612979152,0.18534335025187887,0.1565355226655898,20.34884610432308,0.5362155604938056,0.5362155604938056
stage1_soc,2,0.8639303665596018,0.7507691495121017,0.5044190128368728,0.36021673937513654,492.0937147116395,1.6721401096843522,1.352910309489314,2703.8712522521027,1.8352296471595764,0.5984375,0.6637609309483467,0.44353722700616344,313.30991197225234,1.6461181440623867,1.3833219411666504,3981.3711557018373,14.769883037714413,9.86950670996426,31.298826013532434,0.1753519070916406,0.14735767379559564,19.200193700884054,0.39930922071549596,0.5362155604938056
stage1_soc,3,0.57336339321735,0.7944621235128676,0.4211799411062849,0.3013174619398042,477.75472627704636,1.6675440122701863,1.3489881881858001,2601.0002232327747,1.4431504428386688,0.7,0.5431681586341474,0.3452611494023586,222.94729470147888,1.6974491651827428,1.434185204759706,4578.342962230456,12.086475450995248,7.682685978971082,20.30293679418393,0.18081991898231517,0.15277585787971756,19.876296263799766,0.5370495524097557,0.5370495524097557
stage1_soc,4,0.38903122249645733,0.8193918107033922,0.3782790692572858,0.2707845711218338,453.6907547222733,1.6588505622688785,1.3419435916535964,2588.7464871651555,1.3186171710491181,0.7296875,0.5172664453300501,0.33452219746541234,183.6790083476444,1.6779700674350044,1.409147930587642,4709.897023895936,11.510115351194761,7.443724823034755,22.387924313270773,0.17874491730190784,0.15010877448784948,19.576410529452094,0.574507566400985,0.574507566400985
stage1_soc,5,0.3080253756262101,0.8356198750874784,0.359273748649435,0.25651883116497953,448.5225751863027,1.6674720070960667,1.353362134383973,2504.0180734683877,1.0477809190750123,0.75859375,0.4491341531694338,0.2857920298869431,153.89906047523368,1.6882537221315606,1.4145373225066578,4739.134310728259,9.99404839437332,6.359390330602549,17.760820397746336,0.17984037824592952,0.15068287658315985,19.643108513362893,0.6238535040491698,0.6238535040491698
stage1_soc,6,0.15199930285526933,0.8527722393144336,0.3362159942096818,0.237658395996115,424.29420181795143,1.6581635456674337,1.3485212369057422,2479.75738148229,0.9961968570947647,0.740625,0.514660435628657,0.3266122285866004,190.27738282777054,1.6787420235914112,1.4124462627689354,3825.057469058858,11.452126947927576,7.267713709623413,19.45697984109442,0.1788271498287133,0.15046012770558687,19.582559441975995,0.5862268693114029,0.6238535040491698
stage1_soc,7,0.07400621877873495,0.8627414733339496,0.32763254683061416,0.23070442025363613,414.02578506526925,1.6583016988208858,1.3482069586807799,2486.0685039571426,0.788801634311676,0.7859375,0.4571234015388638,0.2973583161336137,174.34525366132607,1.6500814793999323,1.3851652367622591,4169.449168218527,10.171823692994607,6.61676115542709,19.099946938289815,0.17577409949056966,0.14755402996192307,19.23314298607434,0.6488004795383409,0.6488004795383409
stage1_soc,8,-0.03573210725240239,0.8743612427871602,0.3136580493686587,0.21915868149603793,397.1672053533655,1.657202975151129,1.3484664860578977,2532.707846334931,0.8714582532644272,0.77890625,0.4593189466579923,0.2955220530617225,132.10075642782166,1.6313947685444046,1.3532590232323856,3871.9001587321736,10.22067855670331,6.57590097434075,17.79871471758046,0.1737835070066499,0.14415523662847735,18.85093460328834,0.6411105660026024,0.6488004795383409
stage1_soc,9,-0.14703573848536533,0.8874995048393699,0.29843121445822707,0.2067668372092021,381.3506658755236,1.6651063612485024,1.3588854892308813,2524.4461365315415,1.5852932035923004,0.70390625,0.5844546816518662,0.35440210627857593,177.43150538372453,1.6221792741544818,1.346095433307346,4127.325962245385,13.005175305438732,7.886088808811095,20.762640468781377,0.17280183112138264,0.14339213889142116,18.749275615722215,0.5285698455044401,0.6488004795383409
stage1_soc,10,-0.23159292167760198,0.8961351062284605,0.2896192526576405,0.19927390528414463,371.34034342684924,1.6571219236719874,1.3525531719740178,2413.786638114894,0.5563358783721923,0.79765625,0.40986109230865087,0.24689292293187465,105.04518401447459,1.6399801842790553,1.3600016200449319,4333.778825293456,9.120151668014183,5.493814745499037,15.090403938665911,0.1746980639370665,0.14487348827858965,18.926022268492193,0.6746979223074047,0.6746979223074047
stage1_soc,11,-0.2964285153488276,0.8996606499148324,0.28379707528176173,0.19295661445473086,354.0196713233573,1.6609849444103224,1.3578664107609264,2471.352469691356,0.6179527908563613,0.80703125,0.44520830780395065,0.27054586505983025,143.30587459434167,1.731439836972555,1.4692493127193302,4502.828000811124,9.906691264549055,6.020135550123626,17.627196606466715,0.18444075766416554,0.15651104391867357,20.35619680738224,0.6734687576588148,0.6746979223074047
stage1_soc,12,-0.3534407358674487,0.9060515231140982,0.27814893084110076,0.1883939668470143,343.37665969880237,1.6631846992129369,1.3628401365724123,2495.015753838177,0.8056872814893723,0.74140625,0.42485227170896805,0.25307113581948215,124.72918365029739,1.6710243243682088,1.4071471241302789,4165.776723381939,9.45373255799848,5.631291163024923,14.293523039895836,0.1780050254689389,0.1498956395239759,19.509992845915644,0.6139505684873097,0.6746979223074047
stage1_soc,13,-0.41694182247238654,0.9149776187395191,0.2720065586630757,0.18295856354231296,333.716888298006,1.659828787975369,1.3604765054544463,2418.4296318691195,0.5868197977542877,0.80703125,0.44973192657805067,0.27186456607814763,164.02757491650627,1.6740590049878181,1.4125541795627214,4432.055457479042,10.007350023670353,6.049479049601454,16.709928927955463,0.1783282934536116,0.15047162339133266,19.598157674141913,0.6721116720265847,0.6746979223074047
stage1_soc,14,-0.49408795621859053,0.9191105594654906,0.2655266187960666,0.17642214685095178,321.71004406176013,1.6561657580664384,1.3581209889235597,2358.1230600098424,0.6916561454534531,0.77265625,0.42792222168646116,0.26322162414435296,137.73914618613088,1.67850811071908,1.4143328150035814,4422.7720739974,9.522044472127314,5.857157910748162,15.079112378065185,0.17880223183761,0.1506610915280044,19.6324975441398,0.6442795834940617,0.6746979223074047
stage1_soc,15,-0.5107084270688939,0.9227021245692103,0.2649107081173836,0.17620937391284003,325.46704948982386,1.657032831126685,1.3599100769892387,2526.2308006251837,0.6927591294050217,0.8140625,0.4368901513119071,0.2639450165181188,136.60667039787037,1.6951783891214234,1.4300402699154802,3942.8734369023286,9.72159723368409,5.873254720297462,16.862204516232257,0.18057802470434303,0.15233432009748815,19.84687935038892,0.6829954546064279,0.6829954546064279
stage1_soc,16,-0.4721803040450811,0.9260163997200692,0.25938382114483716,0.17154626715419632,312.02182948505987,1.6583265609314726,1.3648972278061071,2520.9623989474603,0.7738083302974701,0.8078125,0.39859341183604186,0.23292246566852554,123.90056406282395,1.6730926584964854,1.411694167542737,3925.9840062416815,8.869425379698963,5.182946764408227,13.53305344234077,0.17822535359631694,0.15038001091306166,19.578194880573825,0.6882344764491874,0.6882344764491874
stage1_soc,17,-0.5121377241703878,0.9292910620205195,0.2613166866079175,0.1707622032031348,311.2456064704245,1.643369514384646,1.350280796915151,2435.6481420849573,1.1086622208356858,0.72578125,0.4787846410882745,0.28358006851412937,110.27372864071559,1.6280512702046321,1.3661776859138626,3988.551344120017,10.653825574514295,6.310170203265007,16.000106377284002,0.17342734240696014,0.14553139059486767,18.987960049680574,0.5821458576735177,0.6882344764491874
stage1_soc,18,-0.5422616666133316,0.9330146699589347,0.25461472536151847,0.16658592421490204,306.9390628254101,1.6461380888142805,1.3517080784754152,2504.4906878872025,1.2525315046310426,0.81796875,0.5030459413669013,0.32764252926572224,186.7683155153765,1.6131736698385215,1.3588920526439323,4277.897956352294,11.193683417019065,7.290639768515911,23.883070339966707,0.17184251380560728,0.14475529233994575,18.881947522851284,0.6670549675899297,0.6882344764491874
stage1_soc,19,-0.5840070215417061,0.9357083437867244,0.2488918231347318,0.16188635356821438,298.12941816956936,1.637612405175449,1.345518117762584,2461.7038043699854,0.380095574259758,0.8640625,0.42050618126133527,0.23570851140975718,109.55682358766077,1.6307268749552144,1.3728922481299377,4507.093267931125,9.357024263846377,5.244941340432826,13.503259222394243,0.17371235985405986,0.1462466560423501,19.056510315847497,0.7379106456215994,0.7379106456215994
stage1_soc,20,-0.6020883883690495,0.9402638215837218,0.2476220495089076,0.16120161599018745,293.8414801920206,1.6316307895859261,1.339412637122089,2386.9817055838107,0.3447269633412361,0.88203125,0.402429966500889,0.23665965874624817,107.63163958319322,1.6355309768426436,1.3792197667178698,3999.8923513354116,8.954795710580896,5.266106083278669,14.204087073505073,0.17422411410771838,0.1469206915774646,19.146802715148464,0.7613022600497333,0.7613022600497333
stage1_soc,21,-0.6541008918349246,0.9422972812380336,0.2437858441172623,0.1574856955031946,293.9799006319938,1.622635879918163,1.332671649344653,2423.068468927307,0.4369259923696518,0.85234375,0.40446273177157344,0.2265452989799087,99.80399926316998,1.6418946697137846,1.3761079256422817,4578.730475413308,9.00002839578313,5.041043259169607,13.472301255324265,0.17490200355017796,0.14658920448081908,19.136459989334377,0.731004930468528,0.7613022600497333
stage1_soc,22,-0.6863136755406904,0.9449777507823538,0.24243587647351034,0.15649499562631494,291.5215988201967,1.6273266848941568,1.3364554113203713,2426.437129636952,1.0655639529228211,0.77109375,0.5264927545297317,0.29552160567982355,128.31837727770602,1.6428968903644066,1.3904886604752391,4691.830489062683,11.715417454579256,6.575891025929262,16.430850091476927,0.17500876489687672,0.14812110518380575,19.29224459246147,0.6131459236410806,0.7613022600497333
stage1_soc,23,-0.684867865812641,0.9463642005466574,0.2398055382396408,0.1551435266088913,292.1232949243179,1.6139029766930075,1.3242913935636107,2437.8267534962106,1.0414558827877045,0.79140625,0.47585839506842037,0.27161672119473224,128.6863961084131,1.6635151965498627,1.4105145140434616,4168.529469127126,10.588711250099964,6.043964050765718,15.143632205936985,0.17720511918670415,0.15025434893428635,19.56580470195599,0.6486487314794739,0.7613022600497333
stage1_soc,24,-0.7356132739474838,0.9485429073191344,0.23704986138625603,0.15212418071837724,281.8499416560433,1.6203989359041693,1.3327339864909815,2511.722258593273,0.4893021613359451,0.8578125,0.42046745316121636,0.23115288223925745,123.846731964397,1.6225381233642315,1.3664923961274327,4276.733638224086,9.356162477794248,5.143570338665341,13.183166428093413,0.1728400571621202,0.14556491486080775,18.978078844422654,0.7316722640516351,0.7613022600497333
stage1_soc,25,-0.7639077647218121,0.9513686239816196,0.23378756673982046,0.14995696024726762,281.2355788324695,1.624463929016108,1.3351295682334814,2395.0199715494323,0.5793020203709602,0.86171875,0.4195635127471124,0.24482967138610548,127.2741091218692,1.616069325871932,1.3596038158051669,4166.512169394743,9.336048109988695,5.447903652922176,14.574774955613062,0.17215097209652996,0.14483111263878978,18.891196724260787,0.7358496961758663,0.7613022600497333
stage1_soc,26,-0.7879675993191143,0.9525702137773494,0.22966070305993877,0.14720436361326436,274.7134624002378,1.615565502524294,1.3273880948344026,2442.238807324649,0.45834977477788924,0.86953125,0.37732081582021987,0.20713165841953013,106.98820919310097,1.6128982483495735,1.3636671605636366,4561.35218787088,8.39607159192507,4.609054585389211,12.06042123593786,0.17181317435663726,0.14526395819770574,18.92101209407337,0.756335005253934,0.7613022600497333
stage1_soc,27,-0.8100941376289241,0.9532304279508272,0.22763507008505782,0.1452248564641073,271.16658178070776,1.61639311289148,1.3306993125521451,2387.037083445781,0.6340591818094253,0.8296875,0.3986864466896194,0.23063425991313125,110.73527464824089,1.619408682209432,1.37207328613149,4068.5054249820028,8.8714956147459,5.132030047480983,13.476745703620294,0.17250669502674296,0.14615941634767637,19.040185347806663,0.7100815659931142,0.7613022600497333
