model,target,best_calibration_temperature_T,mean_calibration_deviation_10_90_pct,max_calibration_deviation_10_90_pct,mean_calibration_deviation_all_pct,max_calibration_deviation_all_pct
Gaussian baseline,SOC,1.8260869565217392,10.51334635416666,19.33791035353535,8.840972222222218,19.33791035353535
Gaussian baseline,SOH,2.31371237458194,10.423334911616159,21.15135732323232,8.951167929292927,21.15135732323232
