expected_confidence,observed_confidence,calibration_error_obs_minus_exp,absolute_calibration_deviation,is_core_10_90
0.0,0.0,0.0,0.0,0
0.010101010101010102,0.0015625,-0.008538510101010102,0.008538510101010102,0
0.020202020202020204,0.00546875,-0.014733270202020204,0.014733270202020204,0
0.030303030303030304,0.0125,-0.017803030303030303,0.017803030303030303,0
0.04040404040404041,0.025,-0.015404040404040406,0.015404040404040406,0
0.05050505050505051,0.0328125,-0.01769255050505051,0.01769255050505051,0
0.06060606060606061,0.046875,-0.013731060606060608,0.013731060606060608,0
0.07070707070707072,0.05703125,-0.01367582070707072,0.01367582070707072,0
0.08080808080808081,0.065625,-0.015183080808080812,0.015183080808080812,0
0.09090909090909091,0.071875,-0.019034090909090917,0.019034090909090917,0
0.10101010101010102,0.0796875,-0.021322601010101028,0.021322601010101028,1
0.11111111111111112,0.090625,-0.02048611111111112,0.02048611111111112,1
0.12121212121212122,0.09765625,-0.023555871212121215,0.023555871212121215,1
0.13131313131313133,0.109375,-0.021938131313131326,0.021938131313131326,1
0.14141414141414144,0.12109375,-0.020320391414141437,0.020320391414141437,1
0.15151515151515152,0.13203125,-0.01948390151515153,0.01948390151515153,1
0.16161616161616163,0.153125,-0.008491161616161619,0.008491161616161619,1
0.17171717171717174,0.165625,-0.006092171717171746,0.006092171717171746,1
0.18181818181818182,0.17578125,-0.006036931818181823,0.006036931818181823,1
0.19191919191919193,0.19140625,-0.0005129419191919338,0.0005129419191919338,1
0.20202020202020204,0.2015625,-0.00045770202020203876,0.00045770202020203876,1
0.21212121212121213,0.2140625,0.0019412878787878618,0.0019412878787878618,1
0.22222222222222224,0.22890625,0.006684027777777768,0.006684027777777768,1
0.23232323232323235,0.24296875,0.010645517676767663,0.010645517676767663,1
0.24242424242424243,0.25390625,0.011482007575757569,0.011482007575757569,1
0.25252525252525254,0.26953125,0.01700599747474746,0.01700599747474746,1
0.26262626262626265,0.28359375,0.020967487373737326,0.020967487373737326,1
0.27272727272727276,0.303125,0.030397727272727215,0.030397727272727215,1
0.2828282828282829,0.31953125,0.036702967171717116,0.036702967171717116,1
0.29292929292929293,0.3328125,0.03988320707070708,0.03988320707070708,1
0.30303030303030304,0.346875,0.04384469696969695,0.04384469696969695,1
0.31313131313131315,0.36328125,0.05014993686868685,0.05014993686868685,1
0.32323232323232326,0.37890625,0.05567392676767674,0.05567392676767674,1
0.33333333333333337,0.39453125,0.06119791666666663,0.06119791666666663,1
0.3434343434343435,0.41328125,0.06984690656565651,0.06984690656565651,1
0.3535353535353536,0.425,0.0714646464646464,0.0714646464646464,1
0.36363636363636365,0.43984375,0.07620738636363633,0.07620738636363633,1
0.37373737373737376,0.4546875,0.08095012626262627,0.08095012626262627,1
0.38383838383838387,0.471875,0.08803661616161612,0.08803661616161612,1
0.393939393939394,0.4859375,0.09199810606060604,0.09199810606060604,1
0.4040404040404041,0.49921875,0.0951783459595959,0.0951783459595959,1
0.4141414141414142,0.51640625,0.10226483585858576,0.10226483585858576,1
0.42424242424242425,0.53046875,0.10622632575757579,0.10622632575757579,1
0.43434343434343436,0.5484375,0.11409406565656566,0.11409406565656566,1
0.4444444444444445,0.565625,0.12118055555555557,0.12118055555555557,1
0.4545454545454546,0.5796875,0.12514204545454544,0.12514204545454544,1
0.4646464646464647,0.6,0.13535353535353528,0.13535353535353528,1
0.4747474747474748,0.61640625,0.14165877525252524,0.14165877525252524,1
0.48484848484848486,0.625,0.14015151515151514,0.14015151515151514,1
0.494949494949495,0.6390625,0.144113005050505,0.144113005050505,1
0.5050505050505051,0.653125,0.14807449494949487,0.14807449494949487,1
0.5151515151515152,0.67109375,0.1559422348484848,0.1559422348484848,1
0.5252525252525253,0.6828125,0.15755997474747474,0.15755997474747474,1
