expected_confidence,observed_confidence,calibration_error_obs_minus_exp,absolute_calibration_deviation,is_core_10_90
0.0,0.0,0.0,0.0,0
0.010101010101010102,0.0421875,0.0320864898989899,0.0320864898989899,0
0.020202020202020204,0.0546875,0.03448547979797979,0.03448547979797979,0
0.030303030303030304,0.0640625,0.03375946969696969,0.03375946969696969,0
0.04040404040404041,0.0671875,0.02678345959595959,0.02678345959595959,0
0.05050505050505051,0.07734375,0.02683869949494949,0.02683869949494949,0
0.06060606060606061,0.0796875,0.019081439393939387,0.019081439393939387,0
0.07070707070707072,0.0890625,0.018355429292929284,0.018355429292929284,0
0.08080808080808081,0.09453125,0.013723169191919182,0.013723169191919182,0
0.09090909090909091,0.10390625,0.012997159090909094,0.012997159090909094,0
0.10101010101010102,0.11328125,0.012271148989898978,0.012271148989898978,1
0.11111111111111112,0.12265625,0.011545138888888876,0.011545138888888876,1
0.12121212121212122,0.12890625,0.0076941287878787845,0.0076941287878787845,1
0.13131313131313133,0.13828125,0.006968118686868668,0.006968118686868668,1
0.14141414141414144,0.146875,0.005460858585858569,0.005460858585858569,1
0.15151515151515152,0.15546875,0.0039535984848484695,0.0039535984848484695,1
0.16161616161616163,0.1609375,-0.0006786616161616188,0.0006786616161616188,1
0.17171717171717174,0.1734375,0.001720328282828254,0.001720328282828254,1
0.18181818181818182,0.18359375,0.0017755681818181768,0.0017755681818181768,1
0.19191919191919193,0.18828125,-0.0036379419191919227,0.0036379419191919227,1
0.20202020202020204,0.19296875,-0.00905145202020205,0.00905145202020205,1
0.21212121212121213,0.20546875,-0.0066524621212121215,0.0066524621212121215,1
0.22222222222222224,0.21328125,-0.008940972222222232,0.008940972222222232,1
0.23232323232323235,0.2234375,-0.008885732323232337,0.008885732323232337,1
0.24242424242424243,0.2375,-0.004924242424242442,0.004924242424242442,1
0.25252525252525254,0.253125,0.0005997474747474474,0.0005997474747474474,1
0.26262626262626265,0.265625,0.002998737373737348,0.002998737373737348,1
0.27272727272727276,0.27734375,0.004616477272727237,0.004616477272727237,1
0.2828282828282829,0.2890625,0.006234217171717127,0.006234217171717127,1
0.29292929292929293,0.3046875,0.011758207070707072,0.011758207070707072,1
0.30303030303030304,0.31875,0.01571969696969694,0.01571969696969694,1
0.31313131313131315,0.33515625,0.02202493686868684,0.02202493686868684,1
0.32323232323232326,0.3515625,0.02833017676767674,0.02833017676767674,1
0.33333333333333337,0.36953125,0.03619791666666661,0.03619791666666661,1
0.3434343434343435,0.3875,0.04406565656565653,0.04406565656565653,1
0.3535353535353536,0.403125,0.04958964646464642,0.04958964646464642,1
0.36363636363636365,0.41796875,0.054332386363636354,0.054332386363636354,1
0.37373737373737376,0.4328125,0.05907512626262623,0.05907512626262623,1
0.38383838383838387,0.453125,0.06928661616161613,0.06928661616161613,1
0.393939393939394,0.46875,0.07481060606060602,0.07481060606060602,1
0.4040404040404041,0.48359375,0.0795533459595959,0.0795533459595959,1
0.4141414141414142,0.49921875,0.08507733585858579,0.08507733585858579,1
0.42424242424242425,0.5140625,0.08982007575757572,0.08982007575757572,1
0.43434343434343436,0.521875,0.08753156565656561,0.08753156565656561,1
0.4444444444444445,0.5453125,0.1008680555555555,0.1008680555555555,1
0.4545454545454546,0.55390625,0.09936079545454546,0.09936079545454546,1
0.4646464646464647,0.565625,0.10097853535353535,0.10097853535353535,1
0.4747474747474748,0.5875,0.11275252525252522,0.11275252525252522,1
0.48484848484848486,0.603125,0.11827651515151516,0.11827651515151516,1
0.494949494949495,0.6265625,0.13161300505050505,0.13161300505050505,1
0.5050505050505051,0.64140625,0.13635574494949487,0.13635574494949487,1
0.5151515151515152,0.65546875,0.1403172348484848,0.1403172348484848,1
0.5252525252525253,0.66640625,0.14115372474747467,0.14115372474747467,1
0.5353535353535354,0.690625,0.15527146464646469,0.15527146464646469,1
0.5454545454545455,0.70703125,0.16157670454545447,0.16157670454545447,1
0.5555555555555556,0.72109375,0.1655381944444444,0.1655381944444444,1
0.5656565656565657,0.7421875,0.17653093434343425,0.17653093434343425,1
0.5757575757575758,0.75546875,0.17971117424242422,0.17971117424242422,1
0.5858585858585859,0.775,0.18914141414141417,0.18914141414141417,1
0.595959595959596,0.79140625,0.19544665404040396,0.19544665404040396,1
0.6060606060606061,0.80234375,0.19628314393939394,0.19628314393939394,1
0.6161616161616162,0.8171875,0.2010258838383837,0.2010258838383837,1
0.6262626262626263,0.83359375,0.20733112373737372,0.20733112373737372,1
0.6363636363636365,0.84375,0.20738636363636354,0.20738636363636354,1
0.6464646464646465,0.85546875,0.20900410353535348,0.20900410353535348,1
0.6565656565656566,0.86484375,0.20827809343434345,0.20827809343434345,1
0.6666666666666667,0.87578125,0.20911458333333321,0.20911458333333321,1
