stage,epoch,train_loss,train_cls_acc,train_soc_rmse,train_soc_mae,train_soc_mape,train_soc_medape,train_soh_rmse,train_soh_mae,train_soh_mape,train_soh_medape,train_score,val_loss,val_cls_acc,val_soc_rmse,val_soc_mae,val_soc_mape,val_soc_medape,val_soh_rmse,val_soh_mae,val_soh_mape,val_soh_medape,val_soc_rmse_raw,val_soc_mae_raw,val_soc_mape_raw,val_soc_medape_raw,val_soh_rmse_raw,val_soh_mae_raw,val_soh_mape_raw,val_soh_medape_raw,val_score,test_loss,test_cls_acc,test_soc_rmse,test_soc_mae,test_soc_mape,test_soc_medape,test_soh_rmse,test_soh_mae,test_soh_mape,test_soh_medape,test_soc_rmse_raw,test_soc_mae_raw,test_soc_mape_raw,test_soc_medape_raw,test_soh_rmse_raw,test_soh_mae_raw,test_soh_mape_raw,test_soh_medape_raw,test_score,score,best_score_so_far
finetune,0,-2.4667393421148445,0.9786687792497396,0.16697328643996398,0.10075627444688123,207.74094214703257,7.582165339480365,0.3536580263171525,0.2338746822935114,126.54067422636709,23.566241667190955,0.926605647974028,4.023864512350045,0.9490196078431372,0.28982228683086775,0.18942269760494432,131.87723002267867,22.428146545756597,0.6184385020392517,0.4204581369061534,150.73793800658234,48.05076526963322,6.449774930874002,4.215458306227038,10.569684079826999,6.664426672100353,0.0656171142274206,0.044611144853119865,5.947094913232608,3.3056209796774416,0.8581935289561253,2.9643410086631774,0.89375,0.36965368182109176,0.20169106833200204,119.46559334267879,18.233550040889774,0.6358503527195887,0.42264397429644307,186.38820716224478,46.8104050900417,8.226362010269746,4.4884815813633026,10.826561658905053,6.014919832260163,0.06746453380306977,0.044843064989476614,5.590650634788773,2.838564195226943,0.793199596545932,0.8581935289561253,0.8581935289561253
finetune,1,-2.5651638330558484,0.976526854745243,0.16754312073408512,0.10027318845349649,206.0964853854751,7.465631308553497,0.3472541321930879,0.22894488432374308,121.79705350070225,23.091576694043525,0.9250471294525258,3.9901001359902177,0.9450980392156862,0.31033880981164913,0.21703102261047152,139.62067677507218,25.597870846465035,0.6940469116062129,0.47677455907231014,150.6914198271115,53.742272670582906,6.906354571581091,4.829860616177711,11.88491711934764,8.869333261900795,0.07363926296290477,0.05058638910775686,6.574115911488574,3.869692528471555,0.8446594670739,3.0956154346466063,0.88046875,0.3964945423352741,0.23028934606008988,177.43457147588623,20.749348169260344,0.6665357851875429,0.4391603988904535,212.1801341066942,52.12112872884309,8.823684980702609,5.124914537481803,12.36210782733028,6.902916724833501,0.07072029734419509,0.04659547871475429,5.880647868922909,3.057154648356226,0.7741657172477183,0.8446594670739,0.8581935289561253
finetune,2,-2.5427275949011157,0.9770843419450435,0.16987216298998922,0.10117019896298687,205.0328278887478,7.446043929390172,0.34875418514887985,0.2302735826129203,120.14887379430769,23.48663906502597,0.9252217071311566,3.9143475551231233,0.9294117647058824,0.2955874799802723,0.20834922596045277,121.30014683856774,23.69546504783513,0.656647457453813,0.457669630756273,130.3688470830576,51.90919040921665,6.578074926893203,4.636653823834254,12.228729336713931,8.90535092800991,0.0696711331536041,0.04855933183450105,6.264376506300421,3.6652938348753166,0.8341882709624738,2.9223400950431824,0.89140625,0.3904177059540373,0.21833535115765698,162.08042930292675,18.461224468769778,0.6444007484913682,0.41861544403927836,200.0756878427407,44.93622910284203,8.688449601190209,4.858887457616476,11.759179877647796,6.301891686383911,0.06837174170522413,0.04441563278856843,5.493376275448131,2.679232261472711,0.7879244045554594,0.8341882709624738,0.8581935289561253
finetune,3,-2.621808738860859,0.9761160747032848,0.1694576821720348,0.10130243426706292,207.4498658424461,7.5616056473671405,0.33596994066390035,0.2203746771662565,116.45866998493456,21.977166706817478,0.9255733124196912,3.709090404884488,0.9588235294117647,0.30175544268477433,0.2024402640997341,110.20182298651149,24.292427912770414,0.6257098046834249,0.4331904987430237,119.62941394622759,48.783016219214645,6.715338253537501,4.505154364308581,11.020260212051202,7.597966134729854,0.06638860871654374,0.04596206469119576,6.035700322209703,3.7762996956077064,0.8660770046749449,2.8363288164138796,0.89296875,0.38726932666515396,0.20986742274799325,122.9109210911067,17.63941602472744,0.6033686247027049,0.39331741351270466,151.7780708295946,48.23622549100866,8.618384810685768,4.670440140571609,11.272310960327431,6.326038211528971,0.06401818101203254,0.041731479468040525,5.177112868624539,2.8410067499454894,0.7939049548632141,0.8660770046749449,0.8660770046749449
finetune,4,-2.5428794880889067,0.9753091853351525,0.17382835739633884,0.10430031747784455,214.03528353555726,7.873548284103961,0.34409045953031964,0.224325803557772,117.51011102267366,22.499173107428533,0.9235173036424867,3.338660255132937,0.9568627450980393,0.2839184656167273,0.1888680662393716,114.16240301216878,23.718562864208973,0.5225813519730993,0.3590250468383744,125.81797322626983,40.62175605475079,6.318389872534626,4.203115406318741,9.972169681776013,6.9255734887446305,0.055446548286481656,0.03809301560497511,5.03035901692052,3.1083860848044553,0.8762127633390566,2.551267886161804,0.90625,0.3729591861060901,0.2045455229243089,128.62545169121307,18.144054581257514,0.5752097795775527,0.37433450041353356,179.65869204815962,41.34426485065154,8.299923498257453,4.552005300922947,11.151285091929909,6.190031547273163,0.06103049161204092,0.03971736816499223,4.955598292872807,2.542213063663891,0.8114331034316358,0.8762127633390566,0.8762127633390566
finetune,5,-2.5179641093243497,0.9755732582192685,0.1735664782419936,0.10375977366336328,211.8031780552826,7.738377752572008,0.34968120231155964,0.2326662319012049,119.72070820641801,23.93569385360742,0.9232484901639132,3.4516678941016106,0.9588235294117647,0.2822793327845335,0.19517481453972413,116.85877128936748,22.870504554658496,0.626726511805106,0.42751366168571014,140.01618815923123,52.09940490865243,6.2819122159504515,4.343467301018557,10.827483973060122,7.5468810981953744,0.06649648263952752,0.045359745035462945,5.8552154891114485,3.4768974335198557,0.8679229449528008,2.5272419929504393,0.90390625,0.3738413726782083,0.20943376528193766,131.68645874533763,18.489910350408458,0.6262865849023153,0.4039122522532125,175.37179230807973,43.453077526252855,8.319555890574204,4.66078942294138,11.381085977630109,6.400823868415174,0.06644980583377084,0.04285560537799702,5.346674049028232,2.6255822247417377,0.8038934542419477,0.8679229449528008,0.8762127633390566
finetune,6,-2.520800035716156,0.9749570881563312,0.17283451793287619,0.10445039621569549,217.28776110762547,7.930468407025884,0.3397913780115185,0.22434033334083936,119.01521401558352,22.621576677107143,0.9236944985618918,3.5557500811184153,0.9470588235294117,0.32566141338622157,0.20794993652140392,131.7318427958463,23.312636899042133,0.6154215201234522,0.40965787888066296,129.27395670853412,44.48637234975355,7.247347479654688,4.6277679405493615,11.13375494986564,7.308891979957708,0.0652970085963218,0.04346522369490057,5.6973415161408765,3.181009136008253,0.8529505301784444,2.9069453477859497,0.878125,0.3793896188817852,0.2108312686723366,154.08293796742032,19.220929526415965,0.5725277794509386,0.3881823538136814,224.04256995215127,46.21184887582119,8.44302789704219,4.691889799768047,10.934288007044113,6.568405211051305,0.06074592797622961,0.041186643081359595,5.141790605012649,2.761170478117119,0.7829332601667276,0.8529505301784444,0.8762127633390566
finetune,7,-2.546458886392103,0.9719789328521339,0.1747750174404884,0.1055475171158207,211.98472004621925,8.0621011336277,0.3377914177208276,0.22147439577019712,115.79977967986959,22.26744800922072,0.9207222893360023,3.6010119980456783,0.9470588235294117,0.2751639733320125,0.19150502588052085,116.71326068300067,23.410912341589743,0.640216229305604,0.4294707241906401,154.72086543416083,46.67266488961474,6.123565294038925,4.261798940884653,10.946517558329957,7.34045935399868,0.06792775887994121,0.04556739186455387,5.993047883278539,3.0081783881573294,0.85552080326565,3.214676010608673,0.87265625,0.40692034805398114,0.22520931457838742,163.76340402368254,19.464668551519157,0.6913283280485635,0.4427000152234541,241.69937837180214,43.97732351482943,9.055703370640721,5.011862294132913,11.960417888696135,6.660041886728299,0.07335081777837815,0.046971036524428,5.841544305255916,2.8374191997006806,0.7628313823897456,0.85552080326565,0.8762127633390566
finetune,8,-2.6900139222946002,0.9765708668925956,0.16606514144937154,0.09933880837550656,204.6961964575381,7.341927721316206,0.32574224102313903,0.2129448888444961,109.23921874681709,21.44936872954115,0.9273901286453445,3.871768310023289,0.9529411764705882,0.3181919746380655,0.2153258892652743,118.67345044020145,24.176082573535524,0.6332036675471184,0.41942034429487063,139.75120461162948,43.78553882488904,7.081120791871803,4.791914168290946,11.582118301642005,7.603682687138172,0.06718371712895692,0.04450103373278312,5.768428769025131,3.2382830148297126,0.8578016122520697,3.2342272877693174,0.8921875,0.4212914553433934,0.24036144833771686,145.815906291938,20.56581891831937,0.6443453081390443,0.41707678237544316,191.2544156949151,44.90770877520916,9.375521451360799,5.349061525906292,12.682370151038972,7.224865397784984,0.06836585941309767,0.04425237882261981,5.439558780768477,2.7302655699626825,0.7856238236517562,0.8578016122520697,0.8762127633390566
finetune,9,-2.6281740143253525,0.9760720625559322,0.17094462954135972,0.10313991736735435,214.77735790306153,7.8359305225398375,0.3260817266319665,0.21219451132865538,109.59707881524675,21.358739075530387,0.9263694269385996,3.817934133492264,0.9647058823529412,0.33252625859082197,0.20501699655079375,131.4816911212176,23.743859870355074,0.5596692993010035,0.3822181777453379,131.83207514654802,43.27368413334039,7.400119397194627,4.562497588489655,11.318826238237692,7.6119231629020305,0.05938162682420372,0.04055383638989635,5.463013772515354,3.3049425468369185,0.8754863265637587,3.272375392913818,0.88515625,0.3908293216132598,0.2228604907002591,125.787249004796,20.872279564571315,0.631138421338352,0.4112808203040913,214.61871967994503,44.192576778654626,8.697609795145748,4.959591002191066,12.359763706556162,6.598858411213757,0.06696459187084068,0.04363741985088756,5.43935151496503,2.821749054994278,0.7829594757048388,0.8754863265637587,0.8762127633390566
