stage,epoch,train_loss,train_cls_acc,train_soc_rmse,train_soc_mae,train_soc_mape,train_soh_rmse,train_soh_mae,train_soh_mape,test_loss,test_cls_acc,test_soc_rmse,test_soc_mae,test_soc_mape,test_soh_rmse,test_soh_mae,test_soh_mape,test_soc_rmse_raw,test_soc_mae_raw,test_soc_mape_raw,test_soh_rmse_raw,test_soh_mae_raw,test_soh_mape_raw,test_score,best_score_so_far
finetune,0,-1.43691197976907,0.9582744642361982,0.19558478257386624,0.12061573250331489,233.46430100367587,0.4225496331108303,0.286325059399429,948.2824544380368,2.205962562561035,0.878125,0.41174940766069645,0.24149877763775293,112.72778806037,0.6650184526517643,0.4640833991841646,720.3455474613871,9.162170145614928,5.37378524633438,14.825295318166093,0.07084075605753021,0.04943625060972276,6.150713878715377,0.770448213968754,0.770448213968754
finetune,1,-1.5293674768807872,0.9588686569923283,0.1946034801284966,0.11999042034772774,235.4498337304467,0.4051831239676272,0.2714128179477136,942.9224627784556,3.0015482544898986,0.78984375,0.4422058651526142,0.25526426110518513,138.8425251259501,0.7652265502558023,0.5091123297803278,979.2254481217586,9.839881480008893,5.680092185779303,14.460362066340831,0.08151537328276359,0.05423293478923667,6.834012161882604,0.6691005084591584,0.770448213968754
finetune,2,-1.5715008695700463,0.9598457739690756,0.1923304562400958,0.11917036900493824,231.21165465142397,0.39333679695573304,0.2637739642189292,877.7007760455484,2.5666254997253417,0.85,0.38662189861417245,0.21210953341033018,103.8429250725337,0.6350187368041043,0.427527868575271,588.4129492602392,8.603037644104246,4.719821340677617,12.05115929934653,0.06764505149775309,0.0455421911325533,5.6914550575831795,0.7478359364581723,0.770448213968754
finetune,3,-1.5976001785106004,0.956755971637199,0.19374107504573024,0.11937746724017152,228.74294664121786,0.39099083039228394,0.26006684352133824,929.2426114154453,3.0438212633132933,0.8140625,0.5150000614051498,0.28234617166381215,127.01890696724803,0.6568806385425813,0.4400526485682349,1274.21009291754,11.459684230712092,6.282713756477517,15.24761266333281,0.06997387960895177,0.0468763870582317,5.866159768019212,0.6968744300052269,0.770448213968754
finetune,4,-1.6264441714396927,0.9593836240476411,0.19358746390900639,0.11897036468212911,230.4154629822905,0.38152440860676823,0.25321742197683206,839.0702696900399,2.780938136577606,0.88984375,0.45075501924446576,0.26437672280881086,132.37396313222735,0.6904457004005777,0.457538080480299,439.03335308836995,10.030115692138896,5.882860975265662,15.082955986333847,0.07354938086605273,0.04873901384279568,6.099261746438462,0.7757236780354957,0.7757236780354957
finetune,5,-1.6399233151698622,0.9590403126774325,0.19524787196273044,0.11948647110411907,231.8277161111845,0.3774184952124384,0.2505974879198772,866.1613339096864,3.090617287158966,0.85390625,0.4567521834901483,0.25744759655281085,132.62700228405066,0.6860807270291377,0.44910112601792207,896.5776665497691,10.163563474580798,5.728675370773158,13.719687555338789,0.07308440436251486,0.047840271564857886,5.914688026491568,0.7396229589480714,0.7757236780354957
finetune,6,-1.7406832715331757,0.9611265894656227,0.19087348356599912,0.11651966087144927,229.90928861658193,0.3657750121954034,0.2408888990160454,814.732302161832,2.8401341676712035,0.8765625,0.40580709606370624,0.2340114139362413,104.72907251047512,0.6361417386462993,0.4295964272852871,424.48589503637334,9.029943020945614,5.207177850314389,13.577046650260305,0.06776467857069865,0.045762543256053355,5.711634878167891,0.7723676165289994,0.7757236780354957
finetune,7,-1.7235018988550848,0.9596873225674408,0.19222723197922992,0.11759240393334619,232.9703994873114,0.3635091200387387,0.23998164597653862,855.0493128406492,2.5828308939933775,0.865625,0.4163344718903882,0.23686528359612566,117.13319928600345,0.6180206289844755,0.41435817077945103,475.71023789468654,9.264196112234844,5.270681609824247,13.477747196529952,0.06583433651679838,0.044139295682792845,5.499518193845876,0.7621894899125136,0.7757236780354957
finetune,8,-1.7396261785358182,0.9601098596384667,0.19414950465165443,0.11814829456274385,231.42641914269691,0.36171156269935795,0.23924854510969132,827.4215107340884,2.8930837869644166,0.859375,0.42051796240018013,0.24484067933444748,112.63471935603096,0.6768004982408599,0.4560831848488306,846.9780437614095,9.357286352118185,5.448148607523831,13.114901640978532,0.0720958327765497,0.0485840318917589,6.105537857788381,0.749643153935896,0.7757236780354957
finetune,9,-1.7486372681258937,0.9597929568351974,0.19106913942022052,0.11716372409981109,230.56080975595444,0.3619436369954216,0.2381384950467513,837.9337656024366,2.8580050349235533,0.8203125,0.40569158092262264,0.22963493408096838,109.23335852440168,0.6712483718885061,0.44035140093465086,407.46404652894324,9.027372467958964,5.109793235334993,12.483696334829935,0.07150439517567285,0.046908211476041003,5.841146027136075,0.7126185047188871,0.7757236780354957
finetune,10,-1.7968245865594026,0.9609153209301097,0.19128736791464104,0.11701818128010326,232.78703969322012,0.355444276138957,0.23279526157526473,809.561196581323,3.4891013622283937,0.83515625,0.45036247663773377,0.2525730479086633,127.78787093129739,0.7388130972405348,0.48229543025954624,675.8191127388133,10.021380825554349,5.620207814659059,13.917697483249682,0.07870169346784416,0.05137627805879762,6.497417902255051,0.7162386926121732,0.7757236780354957
finetune,11,-1.7988307940741606,0.9610737723317444,0.1894917812182697,0.11641874363321111,228.84911210963682,0.35387558118401413,0.2309214387757823,759.2653460526126,2.7704484939575194,0.87109375,0.41554719241468563,0.2351716612593009,101.34454342407105,0.7116525505832021,0.46403183764268763,433.64756989233024,9.24667776213375,5.232995453915857,12.854055478693166,0.07580842999236101,0.04943075810814497,6.100204901516119,0.7583737757002113,0.7757236780354957
finetune,12,-1.8293798532769674,0.9599910210872407,0.19303601457084735,0.11794187228166704,228.4945981776731,0.34857996742518177,0.2286211405487738,796.7094524669516,3.227543902397156,0.8484375,0.42188279022050673,0.2358002504835895,120.96024304325725,0.6860170194384104,0.4509595078565326,399.1774529525812,9.387656205235917,5.2469826895908085,12.987053288468472,0.07307761784121797,0.04803823468295397,6.009240079151949,0.7376475190341082,0.7757236780354957
finetune,13,-1.874259469453497,0.962011276458083,0.1889212607548453,0.11542395755406341,225.94772678107572,0.3458178284930791,0.2254752045814471,705.5901836929658,3.258930742740631,0.8484375,0.4002044355525406,0.22578354471479542,97.49691240749087,0.6986087155399072,0.46350484393478836,438.0713704594334,8.905273630563855,5.024092851118292,12.958275078136253,0.07441894204800217,0.04937462032520028,6.195161199346953,0.7385561848907551,0.7757236780354957
finetune,14,-1.8370225606633894,0.9602551067566318,0.19021375896921341,0.11635357591171201,224.3655773613903,0.34665999613762366,0.22665640268567214,788.4244702367721,3.38597571849823,0.83828125,0.4307943774276441,0.2581055244583695,130.08142168511844,0.6461250562002486,0.4362806330267631,319.20155993447605,9.585955318553962,5.743315464487052,14.060569186300459,0.06882814676484594,0.04647457504410346,5.669001630918737,0.7305893066372107,0.7757236780354957
finetune,15,-1.8724468051013858,0.9602683110401015,0.19063776844827846,0.11638331319845643,224.17999131314522,0.343296404593569,0.22355919493253573,782.8896726963602,2.715984058380127,0.86875,0.43787422789306535,0.24709589444755692,139.98290355110265,0.6219408450096641,0.40316633391375944,314.2345498601013,9.743494732919771,5.498331242189459,13.952494097450744,0.06625193579461577,0.042947090983924956,5.405746079456795,0.7627684927097271,0.7757236780354957
finetune,16,-1.9123464381981432,0.9604927838590839,0.18959441373378685,0.11590255954226271,222.52675905163196,0.3411124746071007,0.22113477642750964,791.6652212856364,3.3438277721405028,0.8296875,0.46530508854034563,0.26567842722442947,119.24120727282921,0.6747004354485368,0.438211907036748,889.7347342312836,10.353881084534208,5.91182625702146,14.943237950774927,0.0718721244490815,0.04668030294251628,5.806358370842137,0.7156869476011117,0.7757236780354957
finetune,17,-1.9062554384891948,0.9601494724888754,0.19035101256842746,0.11649957476709243,226.2545519460713,0.3423682259694233,0.22149382959879071,846.4416860354966,2.8087567925453185,0.8625,0.4039275480539147,0.22559141942110728,108.42406758407965,0.6310290845845062,0.422260722518331,548.6023939238088,8.988119584111171,5.019817714316259,12.204090544574282,0.0672200558827313,0.04498111110189455,5.536010782600885,0.759004336736158,0.7757236780354957
finetune,18,-1.9573369993877094,0.9602947196070405,0.19008746274181385,0.11589375826490966,226.55681486328248,0.3348169229136678,0.2163750887506783,773.2153351829569,3.065929317474365,0.84453125,0.42220283728227603,0.24070152498770767,101.64615379606556,0.6265401894315513,0.42533590624989304,714.9768877558846,9.39477790714268,5.356044933177975,13.397675948419726,0.06674187861570353,0.04530869349252521,5.614770591704792,0.7396569473286172,0.7757236780354957
