method,setting,material_accuracy,soc_medae,soh_medae
XGBoost,Fair,0.72890625,5.700207756042481,5.4506457826390005
XGBoost,Enhanced,0.72890625,4.1241066482543935,3.996348808582006
TabNet,Fair,0.87421875,4.309515802001954,4.232294471385437
TabNet,Enhanced,0.87421875,2.9922962554931622,3.701354840087895
FT-Transformer,Fair,0.85,5.1432405899047815,4.252544855387072
FT-Transformer,Enhanced,0.85390625,2.753504541015623,3.18842287489084
NODE,Fair,0.87578125,12.230257379150387,5.647365999539701
NODE,Enhanced,0.859375,12.155026271057132,3.37027844619751
Proposed,Proposed,0.97421875,1.7849191374117837,2.1991272765390697
