lo,hi,weight
0.426472,0.7067248235294119,0.824742317199707
0.7067248235294119,0.7724133333333333,1.0309278964996338
0.7724133333333333,0.7874133333333333,1.0309278964996338
0.7874133333333333,0.8133142857142858,1.0309278964996338
0.8133142857142858,0.8361323529411765,1.0309278964996338
0.8361323529411765,0.8619346153846154,1.0309278964996338
0.8619346153846154,0.8918200000000001,1.0309278964996338
0.8918200000000001,0.942524,1.0309278964996338
0.942524,0.9904153846153848,1.0309278964996338
0.9904153846153848,1.1206625,0.9278350472450256
