lo,hi,weight
5.0,10.0,0.5376344323158264
10.0,15.0,1.0752688646316528
15.0,25.0,1.0752688646316528
25.0,30.0,1.0752688646316528
30.0,40.0,1.0752688646316528
40.0,45.0,1.0752688646316528
45.0,55.0,1.0752688646316528
55.0,60.0,1.0752688646316528
60.0,70.0,1.0752688646316528
70.0,85.0,0.8602150678634644
