epoch,train_loss,train_cls_acc,train_soc_rmse,train_soc_mae,train_soc_mape,train_soc_medape,train_soh_rmse,train_soh_mae,train_soh_mape,train_soh_medape,test_loss,test_cls_acc,test_soc_rmse,test_soc_mae,test_soc_mape,test_soc_medape,test_soh_rmse,test_soh_mae,test_soh_mape,test_soh_medape,test_soc_rmse_raw,test_soc_mae_raw,test_soc_mape_raw,test_soc_medape_raw,test_soh_rmse_raw,test_soh_mae_raw,test_soh_mape_raw,test_soh_medape_raw,train_selection_score,best_score_so_far,epoch_duration_sec
0,2.96335704800772,0.2072544333381749,0.9906257045280313,0.8474595274963093,307.41390495767126,100.27038295978879,0.9932011773499334,0.7943684231269199,359.74548556360907,100.56224425842774,2.3039180278778075,0.3140625,0.8513116069332562,0.6970073574480921,200.0540077263069,98.32183586057789,0.8963777282778881,0.7670470435083189,968.7068077803106,137.88153291804414,18.943225275003517,15.509676225416817,56.13140888295413,29.998035102900978,0.09548618652966304,0.08170930040193487,10.298082870586594,9.487913360092815,0.008871745150378418,0.008871745150378418,34.54703879356384
1,2.223581852111448,0.44763841390146963,0.9289786868108644,0.7943722194613896,593.1675906381561,92.1687801832318,0.9130739684627803,0.7473169688139597,955.0544737564451,95.78119341184102,2.408396804332733,0.3140625,0.8471944368009234,0.6853700846371794,184.68871373628963,99.85150662414338,0.8796707792324827,0.7543452519646963,1711.4619879863192,109.04439383461994,18.851610781935282,15.250725826234634,55.758203621074166,28.549337655644962,0.09370648718800716,0.08035624844812812,10.025927627217378,9.306166940083495,0.26343314837410514,0.26343314837410514,34.67045879364014
2,1.7309164506373194,0.6172342307844665,0.8893603805198287,0.7493795408131629,567.9805776878887,87.11574223965503,0.8421332478427318,0.666226341461555,1062.176882302912,82.82562886968125,2.368436169624329,0.4390625,0.8679323154764549,0.6769656809585285,211.5248341629008,97.36123583345466,0.8784740863100619,0.7141728409143979,2431.91238558192,111.85416278573217,19.31306614596051,15.063712621093128,50.07260777006497,28.12828374699472,0.09357901007651251,0.07607690257207139,9.446276587238222,7.99173335417751,0.44408486794821045,0.44408486794821045,34.589026927948
3,1.4390932375491952,0.6731807798449817,0.8402405903823378,0.6909363071978349,601.4117600266709,82.51947548925735,0.8028592634087859,0.6215783530013047,1208.6324379931702,72.05943545800186,1.85338351726532,0.51796875,0.7940540513788128,0.6276269209603924,266.27358140884957,89.28213038265154,0.8020734942178501,0.6377891465628636,2353.8214684072095,86.33276786076122,17.66914095061478,13.965835841518928,53.10635415055977,23.528357214307594,0.08544047544166711,0.06794016796055025,8.517564475661011,6.821548007749617,0.5088707944658694,0.5088707944658694,34.50230860710144
4,1.1977791656143915,0.7140084243328536,0.8057045971400011,0.6519296930803625,638.1972734072037,77.40079703331371,0.7730747537393803,0.5910819532153796,1221.3755862451364,66.63064466281988,1.9340513110160829,0.51171875,0.8206963603579294,0.6041940665323636,226.23596068226743,78.42166509266247,0.8099619657843008,0.6374539031341555,2125.6092572412463,90.79588621878548,18.261980583866983,13.444412385464352,40.54097114175143,22.726662358927662,0.08628079090652717,0.0679044563229709,8.458408393870576,6.756149502369324,0.5561304892449155,0.5561304892449155,34.59090733528137
5,1.023706538989858,0.7399020242166559,0.7813346938114801,0.6257765767549721,667.3597904342785,73.5061936620307,0.7559036025142748,0.5726990122634138,1208.070522963507,63.46818554567227,1.715498960018158,0.56640625,0.7719109319579569,0.6251814098675823,355.6056625547727,93.0785903218246,0.8408735023023662,0.6709029363570153,2606.1437830555915,90.72017144213473,17.176416434627455,13.911418790034679,53.16266214002254,24.76595691732237,0.08957362678226131,0.07146759775854741,9.011117960599861,7.379148287148752,0.5861781945840804,0.5861781945840804,34.63595247268677
6,0.8765023738811267,0.7604082764448787,0.7618575129075174,0.6067084222471972,663.6327707745343,70.69185024034785,0.7402870528833679,0.5570065427552952,1239.4738898385228,61.12355742501896,1.6438525199890137,0.578125,0.7754711544435501,0.5963979991356609,220.48792945443648,84.63645148810672,0.8479719581555741,0.6618374049794511,2596.9928204294156,85.6635380807589,17.25563783373028,13.270935764504305,41.66796758389047,24.166948289635165,0.0903297862207317,0.07050189658949711,8.922870482031545,6.718555901023812,0.6101938198657902,0.6101938198657902,34.614150524139404
7,0.7657691935043639,0.7782604676957204,0.7422723213102905,0.5859285464914096,667.7072007999654,67.2694970845481,0.7288743610761729,0.5456564792550893,1228.6010989227495,59.51305555855113,1.408339649438858,0.6328125,0.7421022500184952,0.5864458255044156,370.38036721507314,82.320696781387,0.8043519562393787,0.6135132251118194,1950.4645804796187,70.76962728636627,16.51311926760736,13.049481874369087,43.75899821104987,24.76089738215888,0.08568318746219712,0.06535418764139707,8.189165964152957,5.745103572338937,0.631145799457074,0.631145799457074,34.53716731071472
8,0.6453657613652108,0.794567757780624,0.7259665527486627,0.571124453895391,677.9615471309811,65.03226304920105,0.7131643038377897,0.5322269578889174,1254.554160189418,58.13511295241207,2.115554940700531,0.54921875,0.8040362642227391,0.6039585698712472,306.9916410292027,78.80521188313804,0.8027723351460558,0.6293331954102541,1987.1987552534417,86.42223939714614,17.891263267643584,13.439172158188333,41.32438165050105,24.319311242856777,0.0855149191199515,0.06703940201827834,8.274555950213678,6.7824550594257795,0.6506546721219788,0.6506546721219788,34.60973596572876
9,0.55853841166237,0.8088151796442766,0.7117524993876446,0.5564773564257902,663.1486410254477,62.75785659798524,0.7031102474523371,0.5214743567593877,1253.7784468592902,57.26941262351624,1.0090556204319001,0.7265625,0.7065375612172534,0.5443594982243667,266.10165423271116,70.83709547804435,0.7974240242832337,0.5840472970912742,1372.688730915005,63.18904897580326,15.721740521786813,12.112984859444683,40.01790884192191,21.963165053542696,0.08494519299606934,0.06221534448356356,7.805139850877606,4.646122403382255,0.6673289049602784,0.6673289049602784,35.011290073394775
10,0.49105517148071187,0.8181638123407233,0.7024979390941097,0.5471634043174095,662.8281729693664,61.754116581063236,0.6922355616281282,0.5094010006894303,1241.4141888389117,56.30046769954391,1.3174425482749939,0.68359375,0.7740250015345828,0.6290011411449086,517.458492965653,92.61051642425927,0.7559201354413589,0.57124472933192,1643.3839984953097,67.61775288056472,17.223458312021,13.99641472981404,47.00351780120332,28.369526537424413,0.08052401211814256,0.06085155739407737,7.66485279468569,5.174769787991075,0.6786904622684995,0.6786904622684995,34.46485185623169
11,0.4493239722800551,0.8246735240912152,0.6962677310732936,0.5424848491779971,665.9510360954364,61.302042349372144,0.6855579078390981,0.49975229385484476,1189.3562446216715,55.66257661151186,1.9330304861068726,0.6625,0.7979439219539748,0.6630452071727632,521.0147566989039,96.8023140487841,0.8935553781970484,0.6772952351262574,1878.4619245731178,84.56899695069302,17.75569761681759,14.753956864551203,53.24293713982447,28.691142363190707,0.09518553710724954,0.0721485341689219,9.169810500878299,5.972189568588953,0.686490960199976,0.686490960199976,34.54663848876953
12,0.3772956439962939,0.8321075356845761,0.6830964144627403,0.5305927171438197,658.5365181873872,59.55756950598607,0.6762922139315619,0.4901382587244807,1234.3817522937647,54.977308214895935,1.3552081823348998,0.67265625,0.7253374804306268,0.5812724786010222,393.7969570555316,81.69144372160015,0.7678987110492445,0.5906776439853274,2043.7232833800267,77.49425097726356,16.140072777461935,12.93436553504211,41.03592312844073,24.73761875183739,0.08180002385825089,0.06292163885066955,7.90389596869264,5.843216495195541,0.6961686728451458,0.6961686728451458,34.68272566795349
13,0.3437373434479803,0.8380362589624074,0.6722827602344573,0.517856966857799,652.9031538430648,57.6441986396601,0.6728831219468456,0.48677145071332467,1287.3854107175662,54.729604496616844,1.5359785914421082,0.68203125,0.7328547880871634,0.5721096731107537,351.7867819902259,82.13754161958319,0.8669116560930258,0.6360151945975303,2282.9008734472122,70.76518750011996,16.307346489272657,12.730476515863256,40.60265871085254,24.302310582021583,0.09234732801479817,0.06775119861993321,8.478608280343925,5.288282698320796,0.7035196707442771,0.7035196707442771,34.576985359191895
14,0.28772092005474664,0.8425653281924657,0.6639146432044348,0.5105036051344201,647.800262710566,56.86790518625037,0.6636933671512627,0.47792992392895745,1251.0683436427307,53.944587623558604,2.2974138617515565,0.6140625,0.772663338455369,0.6098533392036188,312.0800768520074,87.0554274037347,0.9374171227394704,0.7097695961725549,3027.7414093452535,82.69882204874756,17.19315884206414,13.570341453306444,51.38779062235464,24.219325702004422,0.0998578873774202,0.07560784914125585,9.409890712190489,6.80715069551006,0.7098045271568959,0.7098045271568959,34.56796216964722
15,0.20741425846009862,0.8541586890787372,0.6540651245437494,0.5018943941717384,643.1006168486329,56.070680364583666,0.6511934738476112,0.46770837287594,1229.285409714352,53.19469712371281,1.9666597306728364,0.66171875,0.7364737647560119,0.5514109549079876,275.8846629617746,69.38837315595653,0.8039323818997761,0.5827613487013877,1609.9459408911953,64.78653859145297,16.387875275377127,12.269892543290268,36.10024658115343,21.946356480603207,0.08563849251676232,0.06207835947830229,7.667977842531338,4.4513956961032,0.723632829239601,0.723632829239601,34.8587703704834
16,0.21870299915099872,0.8551754189058931,0.6535989370269512,0.49980921842926773,636.5585525195652,55.536384107413326,0.6517637359343743,0.4680862052695508,1271.3783380999778,53.04697524839119,1.7143709897994994,0.628125,0.7000895090825705,0.564100428832171,366.22161016727443,80.94204240468468,0.8462645834198963,0.6438654324228992,1140.0975600282352,88.60650937899894,15.578259682130128,12.552256323144071,46.44394856444435,23.69830263935269,0.09014790898600815,0.06858744125476027,8.543681103913766,6.258476499343857,0.7246391516097606,0.7246391516097606,34.529688119888306
17,0.17366527523572184,0.858489694056752,0.6440755227767113,0.4925135761121283,637.2264010142372,54.745557960201054,0.6490748450484343,0.4645828608775388,1209.8597894336049,53.060624572738476,1.4259021878242493,0.6953125,0.6986734956589743,0.537855943280374,372.49293447718736,75.8157238383962,0.7813719896100556,0.5705376072464787,1190.8223452909224,71.61842255688146,15.546750818563423,11.968268981746009,38.477937030622854,22.29090638395187,0.08323525807842207,0.06077623156968477,7.634988911934533,4.380466322932368,0.7291746572742375,0.7291746572742375,34.963298082351685
18,0.12235113190995132,0.8642863744998878,0.6394753610632387,0.4870059514827528,628.4875715842481,53.86613174423635,0.6387663315585337,0.4558247329581781,1247.5625638314043,51.762834296714225,1.6084199249744415,0.70546875,0.6920298531163059,0.5440097143527964,362.27885388931657,76.88700346060132,0.7829946606964624,0.5786805882185945,1192.226351198843,69.9053639233316,15.39891773804696,12.105201534722273,40.038761353512726,23.31198074780793,0.08340811229952214,0.06164365852093752,7.682562076936347,4.972831084120582,0.7364622052377106,0.7364622052377106,35.39317345619202
19,0.07728492660504548,0.8692379808009718,0.6304620903249069,0.47887902098718294,627.856290242116,53.09331156448675,0.6337180467702854,0.45142261700387515,1230.820597524658,51.137868370783025,1.2364750862121583,0.71875,0.6922077779295633,0.5387352198835288,212.2365428564056,74.4815082740272,0.7773408200540226,0.5678184921322099,1006.0849394738713,66.3295546470048,15.402876887425515,11.987834478841254,39.60592280114664,24.015598194227568,0.0828058397695808,0.06048657920014686,7.5496281671983185,4.412924959902151,0.7428199670914526,0.7428199670914526,35.036736726760864
20,0.0713937077114215,0.87018868921078,0.6293036170403211,0.47837877620052444,635.8271922245543,52.78606883890019,0.631825803055322,0.44912648406695604,1268.0360522465453,50.79871822699417,0.9401683866977691,0.8078125,0.6533355306959467,0.5036144345489447,321.6144508239089,67.01837089487584,0.7182020896977311,0.5312514063667549,1337.8169031718958,72.16250265169813,14.537898975348531,11.206333389217054,35.46578972869711,20.35283154397811,0.07650611627156716,0.056591288786188756,7.1050392174694394,4.349986803346689,0.7440757472012156,0.7440757472012156,36.13537788391113
