case,material_accuracy,soc_medae,soh_medae,material_accuracy_pct,soc_medae_pct,soh_medae_pct,case_label
ch1_only,0.9375,2.5427405390724864,2.3212965892122384,93.75,2.5427405390724864,2.3212965892122384,"Ch1
Raw"
ch12,0.97265625,2.246843821326504,2.028802509917824,97.265625,2.246843821326504,2.028802509917824,"Ch1+Ch2
Raw+ΔU"
ch13,0.96640625,2.4370641810353,2.37375652702449,96.640625,2.4370641810353,2.37375652702449,"Ch1+Ch3
Raw+OCV"
full,0.97421875,1.7849191374117837,2.1991272765390733,97.421875,1.7849191374117837,2.1991272765390733,"Full
Raw+ΔU+OCV"
