config,pulse_widths_ms,num_pulse_widths,channel_mode,input_channels,channels,final_stage,final_eval_scheme,final_eval_n_mc_used,evaluation_mode,checkpoint_path,test_cls_acc,test_material_acc,test_soc_rmse,test_soc_mae,test_soc_medae,test_soc_mape,test_soc_medape,test_soh_rmse,test_soh_mae,test_soh_medae,test_soh_mape,test_soh_medape,test_soc_rmse_raw,test_soc_mae_raw,test_soc_medae_raw,test_soc_mape_raw,test_soc_medape_raw,test_soh_rmse_raw,test_soh_mae_raw,test_soh_medae_raw,test_soh_mape_raw,test_soh_medape_raw,n_train,n_test,num_classes,device,elapsed_sec,fine_acc_pct,mat_acc_pct,material_acc_pct,soc_medae_pct,soh_medae_pct,soc_medape_pct,soh_medape_pct,fine_acc_change_pp_vs_full,mat_acc_change_pp_vs_full,material_acc_change_pp_vs_full,soc_medae_change_pp_vs_full,soh_medae_change_pp_vs_full,soc_medape_change_pp_vs_full,soh_medape_change_pp_vs_full
ch1_only,"30,50,70,100,300,500,700,1000,3000,5000",10,ch1_only,1,ch1,finetune,predicted_soc_to_soh,500,summary_only,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/channel_ablation/ch1_only/checkpoints/finetune/best.pt,0.87421875,0.9375,0.38903537356915174,0.2138701086983133,0.11437477171421051,87.80453353070938,17.43105573287311,0.6488144402115853,0.418914433604732,0.2210855782032013,239.01236193373614,46.057701511431056,8.648900458391783,4.75468660905291,2.5427405390724864,11.58330838682284,6.075262058830883,6.812252338370727,4.398408316822366,2.3212965892122384,5.442389400697625,2.8042238145181972,68162,1280,8,cpu,19.898346185684204,87.421875,87.421875,93.75,2.5427405390724864,2.3212965892122384,6.075262058830883,2.8042238145181972,39.21875,39.21875,22.65625,-4.511375541375042,-17.86970196163824,-9.62483499783496,-21.87193361541062
ch12,"30,50,70,100,300,500,700,1000,3000,5000",10,ch12,2,ch1+ch2,finetune,predicted_soc_to_soh,500,summary_only,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/channel_ablation/ch12/checkpoints/finetune/best.pt,0.91640625,0.97265625,0.3878799243940768,0.20523029235992,0.10106506943702698,95.85720303931386,16.146372896982992,0.5897828461681821,0.38847082091348284,0.19322777539491653,186.74349259676285,46.77055600298105,8.623212910217767,4.562609187393288,2.246843821326504,11.30247489675568,5.774305762653897,6.1924478308927755,4.07876442653413,2.028802509917824,5.1490411212797325,2.4451880145152574,68162,1280,8,cpu,18.391770362854004,91.640625,91.640625,97.265625,2.246843821326504,2.028802509917824,5.774305762653897,2.4451880145152574,43.43749999999999,43.43749999999999,26.171875,-4.807272259121024,-18.162196040932653,-9.925791294011946,-22.230969415413558
ch13,"30,50,70,100,300,500,700,1000,3000,5000",10,ch13,2,ch1+ch3,finetune,predicted_soc_to_soh,500,summary_only,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/channel_ablation/ch13/checkpoints/finetune/best.pt,0.9,0.96640625,0.36794658366383415,0.1947009843629731,0.10962135344743729,82.24004197311106,18.534790543351697,0.6155208117690278,0.4082090434213114,0.226081982254982,170.18285339019715,49.17041223785564,8.180061743275282,4.328525237839135,2.4370641810353,10.405073461204136,5.831864070375436,6.462684597343425,4.286006658057812,2.37375652702449,5.400242880649799,2.916970316828746,68162,1280,8,cpu,16.88707184791565,90.0,90.0,96.640625,2.4370641810353,2.37375652702449,5.831864070375436,2.916970316828746,41.796875,41.796875,25.546875000000004,-4.617051899412228,-17.817242023825987,-9.868232986290408,-21.75918711310007
full,"30,50,70,100,300,500,700,1000,3000,5000",10,full,3,ch1+ch2+ch3,stage1_soc,predicted_soc_to_soh,500,summary_only,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/channel_ablation/full/checkpoints/stage1_soc/best.pt,0.48203125,0.7109375,0.6589940247105222,0.47057993236919626,0.3173005282878876,165.84075188864773,50.3187662530467,2.0582127582065985,1.9011995471002592,1.9230367243289948,1255.7781205278386,335.8431286310668,14.650528228593512,10.461771009248508,7.054116080447528,38.411676636234446,15.700097056665843,21.610284552829846,19.96171826295898,20.190998550850477,23.290334379672267,24.676157429928814,68162,1280,8,cpu,17.12642741203308,48.203125,48.203125,71.09375,7.054116080447528,20.190998550850477,15.700097056665843,24.676157429928814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
