order,epoch,train_loss,train_cls_acc,val_loss,val_cls_acc,val_soc_rmse_raw,val_soc_mae_raw,val_soc_mape_raw,val_soc_medape_raw,val_soh_rmse_raw,val_soh_mae_raw,val_soh_mape_raw,val_soh_medape_raw,val_score,elapsed_sec
PARALLEL,0,3.5872486421316956,0.3360376749508524,1.2545572523977242,0.6215686274509804,16.34126195859617,11.62822181375377,33.13621924264006,18.650306419129286,0.1068604857571407,0.08866113824371444,11.504277845948089,9.32928735740788,0.24847981611152994,116.57566237449646
PARALLEL,1,2.4286023819972287,0.5475191455649776,0.9762514100355261,0.6882352941176471,15.276874206598729,10.567121204297484,34.13500172272908,15.07837472588899,0.1022959607075423,0.08241010681371716,10.756884608731383,8.764840693192845,0.3621547329949003,243.20025253295898
PARALLEL,2,1.7530770483006055,0.662319180775212,0.8810368409343794,0.6568627450980392,16.39449290592887,10.589511680244069,33.74068239020915,12.95656838854709,0.09625684939267141,0.07887623566041259,10.339279218579074,8.588485272821998,0.35552735575612826,358.5494055747986
PARALLEL,3,1.3623745871738895,0.7184501628473343,0.6654379241606768,0.7470588235294118,14.948354271361026,9.567134730679248,30.25100510123148,12.28602522811326,0.10756503310428545,0.08497526282289096,11.39789982906597,8.153845037603848,0.46112167049620223,474.1303448677063
PARALLEL,4,0.9504815548127576,0.7598075173850533,0.6151282144527809,0.8117647058823529,15.737489380521676,9.966472942297468,25.318026483850524,14.291010437744522,0.09045342244927175,0.07223579213044096,9.314069940724167,7.730375355979768,0.5142470943853124,589.5602593421936
PARALLEL,5,0.6515712696063239,0.7873741967665268,0.6701088135148965,0.6784313725490196,14.958644835343245,9.55480252757332,28.13437890836831,12.738737420921808,0.09989012531887667,0.0813232852958149,10.41614550865551,8.216409195710956,0.38671581442558245,705.3933160305023
PARALLEL,6,0.40613476407943816,0.8118012969103019,0.5543866580607845,0.7627450980392156,17.034891218796123,11.7363299953603,32.64390074348589,17.548182669797384,0.09192842790964882,0.07161238244405303,9.442091458567228,6.374998106666139,0.459763309207919,837.6551032066345
PARALLEL,7,0.24159524450017122,0.8258707197558757,0.5278033817515654,0.8,13.885040312170643,8.505313294585362,20.426756550693995,11.040288925804248,0.0858860703662671,0.06669469110122453,8.799123959572759,5.921095672720883,0.57117519728754,953.0872476100922
PARALLEL,8,0.1632441903599299,0.8360083330888178,0.5200786950541477,0.8098039215686275,13.870807337527406,8.352826918751266,19.238239493750772,11.986463754716983,0.0895762443414965,0.06861657605706026,9.009871632823057,6.049899994770496,0.5689412841260477,1074.1091632843018
PARALLEL,9,-0.012201212242712197,0.8512661013467915,0.5374895088812884,0.7980392156862746,17.082074852843952,12.402730144859335,32.974106414364485,20.30065166923566,0.0900843822678968,0.07047451785940281,9.27652084416178,6.451486064862609,0.46600297769666577,1190.8860926628113
