nohup: ignoring input
[INFO] Device: cpu
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from non-test IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=200, best_score=0.769288, best_epoch=175
[stage1_soc] Loaded BEST checkpoint from epoch=175 | score=0.7692876669159386
[RESUME-stage2_soh] start_epoch=43, best_score=-0.615578, best_epoch=29
[stage2_soh] epoch 072 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.963% | VAL SOH MedAPE(raw)=4.087% | val_score=-0.657395 | TEST cls=0.8688
[stage2_soh] epoch 073 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.025% | VAL SOH MedAPE(raw)=4.397% | val_score=-0.691058 | TEST cls=0.8688
[stage2_soh] epoch 074 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.089% | VAL SOH MedAPE(raw)=4.036% | val_score=-0.673191 | TEST cls=0.8688
[stage2_soh] epoch 075 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.767% | VAL SOH MedAPE(raw)=4.507% | val_score=-0.696165 | TEST cls=0.8688
[stage2_soh] epoch 076 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.021% | VAL SOH MedAPE(raw)=4.260% | val_score=-0.694728 | TEST cls=0.8688
[stage2_soh] epoch 077 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.154% | VAL SOH MedAPE(raw)=4.652% | val_score=-0.729089 | TEST cls=0.8688
[stage2_soh] epoch 078 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.843% | VAL SOH MedAPE(raw)=5.115% | val_score=-0.702807 | TEST cls=0.8688
[stage2_soh] epoch 079 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.021% | VAL SOH MedAPE(raw)=4.330% | val_score=-0.696809 | TEST cls=0.8688
[stage2_soh] epoch 080 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.817% | VAL SOH MedAPE(raw)=5.266% | val_score=-0.748075 | TEST cls=0.8688
[stage2_soh] epoch 081 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.077% | VAL SOH MedAPE(raw)=4.542% | val_score=-0.689293 | TEST cls=0.8688
[stage2_soh] epoch 082 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.151% | VAL SOH MedAPE(raw)=4.165% | val_score=-0.688541 | TEST cls=0.8688
[stage2_soh] epoch 083 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.066% | VAL SOH MedAPE(raw)=4.605% | val_score=-0.689274 | TEST cls=0.8688
[stage2_soh] epoch 084 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.448% | VAL SOH MedAPE(raw)=4.783% | val_score=-0.714951 | TEST cls=0.8688
[stage2_soh] epoch 085 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.226% | VAL SOH MedAPE(raw)=5.086% | val_score=-0.723932 | TEST cls=0.8688
[stage2_soh] epoch 086 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.176% | VAL SOH MedAPE(raw)=4.532% | val_score=-0.677906 | TEST cls=0.8688
[stage2_soh] epoch 087 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.266% | VAL SOH MedAPE(raw)=4.052% | val_score=-0.684542 | TEST cls=0.8688
[stage2_soh] epoch 088 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.043% | VAL SOH MedAPE(raw)=4.712% | val_score=-0.686105 | TEST cls=0.8688
[stage2_soh] epoch 089 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.265% | VAL SOH MedAPE(raw)=4.623% | val_score=-0.707353 | TEST cls=0.8688
[stage2_soh] epoch 090 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.701% | VAL SOH MedAPE(raw)=4.781% | val_score=-0.705502 | TEST cls=0.8688
[stage2_soh] epoch 091 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.771% | VAL SOH MedAPE(raw)=3.969% | val_score=-0.663562 | TEST cls=0.8688
[stage2_soh] epoch 092 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.193% | VAL SOH MedAPE(raw)=4.700% | val_score=-0.719689 | TEST cls=0.8688
[stage2_soh] epoch 093 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.306% | VAL SOH MedAPE(raw)=4.388% | val_score=-0.680435 | TEST cls=0.8688
[stage2_soh] epoch 094 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.357% | VAL SOH MedAPE(raw)=4.457% | val_score=-0.696161 | TEST cls=0.8688
[stage2_soh] epoch 095 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.229% | VAL SOH MedAPE(raw)=4.706% | val_score=-0.725494 | TEST cls=0.8688
[stage2_soh] epoch 096 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.329% | VAL SOH MedAPE(raw)=4.739% | val_score=-0.686923 | TEST cls=0.8688
[stage2_soh] epoch 097 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.067% | VAL SOH MedAPE(raw)=4.461% | val_score=-0.708271 | TEST cls=0.8688
[stage2_soh] epoch 098 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.158% | VAL SOH MedAPE(raw)=4.368% | val_score=-0.694116 | TEST cls=0.8688
[stage2_soh] epoch 099 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.797% | VAL SOH MedAPE(raw)=4.340% | val_score=-0.695491 | TEST cls=0.8688
[stage2_soh] epoch 100 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.291% | VAL SOH MedAPE(raw)=4.686% | val_score=-0.694132 | TEST cls=0.8688
[stage2_soh] epoch 101 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.988% | VAL SOH MedAPE(raw)=4.675% | val_score=-0.708481 | TEST cls=0.8688
[stage2_soh] epoch 102 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.341% | VAL SOH MedAPE(raw)=4.656% | val_score=-0.712254 | TEST cls=0.8688
[stage2_soh] epoch 103 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.053% | VAL SOH MedAPE(raw)=4.592% | val_score=-0.699110 | TEST cls=0.8688
[stage2_soh] epoch 104 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.798% | VAL SOH MedAPE(raw)=4.440% | val_score=-0.709833 | TEST cls=0.8688
[stage2_soh] epoch 105 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.103% | VAL SOH MedAPE(raw)=4.090% | val_score=-0.673542 | TEST cls=0.8688
[stage2_soh] epoch 106 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.123% | VAL SOH MedAPE(raw)=4.327% | val_score=-0.712995 | TEST cls=0.8688
[stage2_soh] epoch 107 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.724% | VAL SOH MedAPE(raw)=4.704% | val_score=-0.708131 | TEST cls=0.8688
[stage2_soh] epoch 108 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.046% | VAL SOH MedAPE(raw)=4.501% | val_score=-0.704858 | TEST cls=0.8688
[stage2_soh] epoch 109 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.232% | VAL SOH MedAPE(raw)=4.588% | val_score=-0.690004 | TEST cls=0.8688
[stage2_soh] epoch 110 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.940% | VAL SOH MedAPE(raw)=4.504% | val_score=-0.706102 | TEST cls=0.8688
[stage2_soh] epoch 111 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.961% | VAL SOH MedAPE(raw)=5.144% | val_score=-0.724503 | TEST cls=0.8688
[stage2_soh] epoch 112 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.284% | VAL SOH MedAPE(raw)=5.001% | val_score=-0.696806 | TEST cls=0.8688
[stage2_soh] epoch 113 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.799% | VAL SOH MedAPE(raw)=4.324% | val_score=-0.690347 | TEST cls=0.8688
[stage2_soh] epoch 114 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.285% | VAL SOH MedAPE(raw)=4.528% | val_score=-0.703951 | TEST cls=0.8688
[stage2_soh] epoch 115 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.958% | VAL SOH MedAPE(raw)=4.259% | val_score=-0.686277 | TEST cls=0.8688
[stage2_soh] epoch 116 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.873% | VAL SOH MedAPE(raw)=4.903% | val_score=-0.702745 | TEST cls=0.8688
[stage2_soh] epoch 117 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.348% | VAL SOH MedAPE(raw)=4.359% | val_score=-0.677313 | TEST cls=0.8688
[stage2_soh] epoch 118 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.887% | VAL SOH MedAPE(raw)=4.521% | val_score=-0.681854 | TEST cls=0.8688
[stage2_soh] epoch 119 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.929% | VAL SOH MedAPE(raw)=4.708% | val_score=-0.694610 | TEST cls=0.8688
[stage2_soh] epoch 120 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.146% | VAL SOH MedAPE(raw)=4.962% | val_score=-0.684200 | TEST cls=0.8688
[stage2_soh] epoch 121 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.191% | VAL SOH MedAPE(raw)=4.222% | val_score=-0.703607 | TEST cls=0.8688
[stage2_soh] epoch 122 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.947% | VAL SOH MedAPE(raw)=4.706% | val_score=-0.700716 | TEST cls=0.8688
[stage2_soh] epoch 123 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.952% | VAL SOH MedAPE(raw)=4.404% | val_score=-0.699594 | TEST cls=0.8688
[stage2_soh] epoch 124 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.075% | VAL SOH MedAPE(raw)=4.529% | val_score=-0.694181 | TEST cls=0.8688
[stage2_soh] epoch 125 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.075% | VAL SOH MedAPE(raw)=4.611% | val_score=-0.694881 | TEST cls=0.8688
