nohup: ignoring input
[CACHE] Train tag: raw_train_c292c3d99a | hit=False
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=False
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 75733 | unique IDs = 512
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] U1-U41 train-only normalization is disabled for this baseline.
Epoch 040 | TE cls=0.7188 | SOC MedAPE(raw)=23.558% | SOH MedAPE(raw)=3.666% | train_select_score=0.796106 | time=34.33s
Epoch 041 | TE cls=0.8352 | SOC MedAPE(raw)=16.823% | SOH MedAPE(raw)=3.352% | train_select_score=0.803829 | time=34.38s
Epoch 042 | TE cls=0.7500 | SOC MedAPE(raw)=21.241% | SOH MedAPE(raw)=3.975% | train_select_score=0.798648 | time=34.60s
Epoch 043 | TE cls=0.7820 | SOC MedAPE(raw)=18.026% | SOH MedAPE(raw)=3.852% | train_select_score=0.801800 | time=34.30s
Epoch 044 | TE cls=0.7852 | SOC MedAPE(raw)=19.231% | SOH MedAPE(raw)=3.684% | train_select_score=0.809373 | time=34.41s
Epoch 045 | TE cls=0.7883 | SOC MedAPE(raw)=19.061% | SOH MedAPE(raw)=3.502% | train_select_score=0.806721 | time=34.47s
Epoch 046 | TE cls=0.7906 | SOC MedAPE(raw)=21.379% | SOH MedAPE(raw)=3.814% | train_select_score=0.804654 | time=34.28s
Epoch 047 | TE cls=0.8375 | SOC MedAPE(raw)=19.652% | SOH MedAPE(raw)=3.444% | train_select_score=0.807491 | time=34.13s
Epoch 048 | TE cls=0.7750 | SOC MedAPE(raw)=19.011% | SOH MedAPE(raw)=4.049% | train_select_score=0.809545 | time=34.43s
Epoch 049 | TE cls=0.8031 | SOC MedAPE(raw)=18.626% | SOH MedAPE(raw)=3.819% | train_select_score=0.812243 | time=34.61s
Epoch 050 | TE cls=0.7937 | SOC MedAPE(raw)=17.961% | SOH MedAPE(raw)=3.939% | train_select_score=0.812963 | time=34.54s
Epoch 051 | TE cls=0.7891 | SOC MedAPE(raw)=20.529% | SOH MedAPE(raw)=3.761% | train_select_score=0.812618 | time=34.26s
Epoch 052 | TE cls=0.8063 | SOC MedAPE(raw)=18.127% | SOH MedAPE(raw)=3.873% | train_select_score=0.812506 | time=34.50s
Epoch 053 | TE cls=0.7023 | SOC MedAPE(raw)=19.720% | SOH MedAPE(raw)=4.468% | train_select_score=0.818332 | time=34.33s
Epoch 054 | TE cls=0.8164 | SOC MedAPE(raw)=18.178% | SOH MedAPE(raw)=3.386% | train_select_score=0.809697 | time=34.24s
Epoch 055 | TE cls=0.8219 | SOC MedAPE(raw)=21.218% | SOH MedAPE(raw)=3.465% | train_select_score=0.812111 | time=34.32s
Epoch 056 | TE cls=0.7289 | SOC MedAPE(raw)=21.584% | SOH MedAPE(raw)=3.846% | train_select_score=0.817875 | time=34.36s
Epoch 057 | TE cls=0.7875 | SOC MedAPE(raw)=22.354% | SOH MedAPE(raw)=3.790% | train_select_score=0.820097 | time=34.39s
Epoch 058 | TE cls=0.8305 | SOC MedAPE(raw)=20.515% | SOH MedAPE(raw)=3.245% | train_select_score=0.828592 | time=34.27s
Epoch 059 | TE cls=0.8281 | SOC MedAPE(raw)=24.791% | SOH MedAPE(raw)=3.428% | train_select_score=0.820484 | time=34.43s
Epoch 060 | TE cls=0.7750 | SOC MedAPE(raw)=20.770% | SOH MedAPE(raw)=3.399% | train_select_score=0.823795 | time=34.33s
Epoch 061 | TE cls=0.8555 | SOC MedAPE(raw)=17.262% | SOH MedAPE(raw)=3.404% | train_select_score=0.824347 | time=33.24s
Epoch 062 | TE cls=0.8313 | SOC MedAPE(raw)=18.770% | SOH MedAPE(raw)=3.845% | train_select_score=0.823213 | time=32.81s
Epoch 063 | TE cls=0.7781 | SOC MedAPE(raw)=19.488% | SOH MedAPE(raw)=3.564% | train_select_score=0.825082 | time=33.01s
Epoch 064 | TE cls=0.7219 | SOC MedAPE(raw)=22.618% | SOH MedAPE(raw)=4.470% | train_select_score=0.828670 | time=33.05s
Epoch 065 | TE cls=0.7906 | SOC MedAPE(raw)=17.595% | SOH MedAPE(raw)=3.403% | train_select_score=0.831767 | time=32.82s
Epoch 066 | TE cls=0.8406 | SOC MedAPE(raw)=22.377% | SOH MedAPE(raw)=3.696% | train_select_score=0.833307 | time=33.06s
Epoch 067 | TE cls=0.8453 | SOC MedAPE(raw)=18.927% | SOH MedAPE(raw)=3.213% | train_select_score=0.835827 | time=32.99s
Epoch 068 | TE cls=0.8070 | SOC MedAPE(raw)=19.086% | SOH MedAPE(raw)=3.871% | train_select_score=0.832238 | time=32.88s
