nohup: ignoring input
[CONFIG] orders = ['SOH_M_SOC']
[CACHE] Train tag: raw_train_c292c3d99a | hit=False
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=False
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] TRAIN samples = 68162 | IDs = 461
[DATA] VAL   samples = 510 | IDs = 51 (from TEST_RANDOM, IDs drawn from training IDs)
[DATA] TEST  samples = 1280 | IDs = 128
[DEVICE] cpu

==========================================================================================
[RUN] Hierarchy order: SOH_M_SOC
[RUN] Meaning: SOH -> Material -> SOC
[RUN] Output directory: /scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/hierarchy_order_ablation/SOH_M_SOC
==========================================================================================
[SOH_M_SOC] epoch 042 | VAL cls=0.9000 | SOC MedAPE=8.224% | SOH MedAPE=4.635% | val_score=0.725066
[SOH_M_SOC] epoch 043 | VAL cls=0.8784 | SOC MedAPE=7.430% | SOH MedAPE=4.595% | val_score=0.712219
[SOH_M_SOC] epoch 044 | VAL cls=0.8706 | SOC MedAPE=9.632% | SOH MedAPE=4.340% | val_score=0.687471
[SOH_M_SOC] epoch 045 | VAL cls=0.8941 | SOC MedAPE=9.497% | SOH MedAPE=4.463% | val_score=0.709878
[SOH_M_SOC] epoch 046 | VAL cls=0.9294 | SOC MedAPE=7.983% | SOH MedAPE=3.836% | val_score=0.772860
[SOH_M_SOC] epoch 047 | VAL cls=0.8941 | SOC MedAPE=7.433% | SOH MedAPE=4.525% | val_score=0.729280
[SOH_M_SOC] epoch 048 | VAL cls=0.8588 | SOC MedAPE=8.120% | SOH MedAPE=4.518% | val_score=0.687271
[SOH_M_SOC] epoch 049 | VAL cls=0.8922 | SOC MedAPE=9.569% | SOH MedAPE=4.134% | val_score=0.713787
[SOH_M_SOC] epoch 050 | VAL cls=0.9000 | SOC MedAPE=8.411% | SOH MedAPE=4.619% | val_score=0.723510
[SOH_M_SOC] epoch 051 | VAL cls=0.8765 | SOC MedAPE=8.034% | SOH MedAPE=4.673% | val_score=0.702670
[SOH_M_SOC] epoch 052 | VAL cls=0.9118 | SOC MedAPE=6.300% | SOH MedAPE=4.353% | val_score=0.761692
[SOH_M_SOC] epoch 053 | VAL cls=0.9353 | SOC MedAPE=9.138% | SOH MedAPE=4.019% | val_score=0.763536
[SOH_M_SOC] epoch 054 | VAL cls=0.8804 | SOC MedAPE=8.758% | SOH MedAPE=4.662% | val_score=0.699569
[SOH_M_SOC] epoch 055 | VAL cls=0.9098 | SOC MedAPE=7.421% | SOH MedAPE=4.328% | val_score=0.749036
[SOH_M_SOC] epoch 056 | VAL cls=0.8941 | SOC MedAPE=10.052% | SOH MedAPE=4.110% | val_score=0.711403
[SOH_M_SOC] epoch 057 | VAL cls=0.9353 | SOC MedAPE=7.233% | SOH MedAPE=4.333% | val_score=0.776305
[SOH_M_SOC] epoch 058 | VAL cls=0.9118 | SOC MedAPE=7.093% | SOH MedAPE=3.905% | val_score=0.762741
[SOH_M_SOC] epoch 059 | VAL cls=0.8627 | SOC MedAPE=8.565% | SOH MedAPE=4.757% | val_score=0.681945
[SOH_M_SOC] epoch 060 | VAL cls=0.9000 | SOC MedAPE=7.256% | SOH MedAPE=4.156% | val_score=0.744323
[SOH_M_SOC] epoch 061 | VAL cls=0.9078 | SOC MedAPE=8.011% | SOH MedAPE=4.267% | val_score=0.742393
[SOH_M_SOC] epoch 062 | VAL cls=0.9510 | SOC MedAPE=6.605% | SOH MedAPE=3.839% | val_score=0.808141
[SOH_M_SOC] epoch 063 | VAL cls=0.8686 | SOC MedAPE=8.398% | SOH MedAPE=4.844% | val_score=0.687781
[SOH_M_SOC] epoch 064 | VAL cls=0.9353 | SOC MedAPE=6.803% | SOH MedAPE=4.348% | val_score=0.780303
[SOH_M_SOC] epoch 065 | VAL cls=0.9020 | SOC MedAPE=6.874% | SOH MedAPE=4.398% | val_score=0.745268
[SOH_M_SOC] epoch 066 | VAL cls=0.9451 | SOC MedAPE=8.278% | SOH MedAPE=4.117% | val_score=0.779978
[SOH_M_SOC] epoch 067 | VAL cls=0.9333 | SOC MedAPE=6.516% | SOH MedAPE=3.906% | val_score=0.790051
[SOH_M_SOC] epoch 068 | VAL cls=0.8980 | SOC MedAPE=7.910% | SOH MedAPE=4.386% | val_score=0.731223
[SOH_M_SOC] epoch 069 | VAL cls=0.9314 | SOC MedAPE=6.757% | SOH MedAPE=4.172% | val_score=0.780363
[SOH_M_SOC] epoch 070 | VAL cls=0.8608 | SOC MedAPE=8.930% | SOH MedAPE=5.120% | val_score=0.669092
[SOH_M_SOC] epoch 071 | VAL cls=0.9510 | SOC MedAPE=6.667% | SOH MedAPE=4.190% | val_score=0.800519
[SOH_M_SOC] epoch 072 | VAL cls=0.9137 | SOC MedAPE=7.058% | SOH MedAPE=4.147% | val_score=0.760207
[SOH_M_SOC] epoch 073 | VAL cls=0.9608 | SOC MedAPE=6.249% | SOH MedAPE=3.899% | val_score=0.820302
[SOH_M_SOC] epoch 074 | VAL cls=0.9294 | SOC MedAPE=7.083% | SOH MedAPE=3.919% | val_score=0.780206
[SOH_M_SOC] epoch 075 | VAL cls=0.9333 | SOC MedAPE=6.718% | SOH MedAPE=3.388% | val_score=0.798402
[SOH_M_SOC] epoch 076 | VAL cls=0.9294 | SOC MedAPE=6.986% | SOH MedAPE=4.027% | val_score=0.779020
[SOH_M_SOC] epoch 077 | VAL cls=0.9275 | SOC MedAPE=6.138% | SOH MedAPE=4.131% | val_score=0.783447
[SOH_M_SOC] epoch 078 | VAL cls=0.9275 | SOC MedAPE=6.453% | SOH MedAPE=4.179% | val_score=0.779335
