nohup: ignoring input
[CONFIG] orders = ['SOC_M_SOH']
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] TRAIN samples = 68162 | IDs = 461
[DATA] VAL   samples = 510 | IDs = 51 (from TEST_RANDOM, IDs drawn from training IDs)
[DATA] TEST  samples = 1280 | IDs = 128
[DEVICE] cpu

==========================================================================================
[RUN] Hierarchy order: SOC_M_SOH
[RUN] Meaning: SOC -> Material -> SOH
[RUN] Output directory: /scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/hierarchy_order_ablation/SOC_M_SOH
==========================================================================================
[SOC_M_SOH] epoch 042 | VAL cls=0.8157 | SOC MedAPE=8.521% | SOH MedAPE=4.796% | val_score=0.634555
[SOC_M_SOH] epoch 043 | VAL cls=0.8706 | SOC MedAPE=8.552% | SOH MedAPE=4.312% | val_score=0.698825
[SOC_M_SOH] epoch 044 | VAL cls=0.8706 | SOC MedAPE=8.564% | SOH MedAPE=4.285% | val_score=0.699245
[SOC_M_SOH] epoch 045 | VAL cls=0.8490 | SOC MedAPE=8.976% | SOH MedAPE=4.438% | val_score=0.670495
[SOC_M_SOH] epoch 046 | VAL cls=0.8784 | SOC MedAPE=9.000% | SOH MedAPE=4.327% | val_score=0.701881
[SOC_M_SOH] epoch 047 | VAL cls=0.9353 | SOC MedAPE=9.027% | SOH MedAPE=4.221% | val_score=0.760616
[SOC_M_SOH] epoch 048 | VAL cls=0.8824 | SOC MedAPE=9.467% | SOH MedAPE=4.147% | val_score=0.704750
[SOC_M_SOH] epoch 049 | VAL cls=0.8647 | SOC MedAPE=7.829% | SOH MedAPE=5.039% | val_score=0.685633
[SOC_M_SOH] epoch 050 | VAL cls=0.9176 | SOC MedAPE=9.354% | SOH MedAPE=4.165% | val_score=0.740816
[SOC_M_SOH] epoch 051 | VAL cls=0.8961 | SOC MedAPE=8.923% | SOH MedAPE=4.465% | val_score=0.717543
[SOC_M_SOH] epoch 052 | VAL cls=0.8569 | SOC MedAPE=9.503% | SOH MedAPE=4.571% | val_score=0.670414
[SOC_M_SOH] epoch 053 | VAL cls=0.9078 | SOC MedAPE=8.267% | SOH MedAPE=5.274% | val_score=0.719695
[SOC_M_SOH] epoch 054 | VAL cls=0.8784 | SOC MedAPE=8.668% | SOH MedAPE=4.462% | val_score=0.702507
[SOC_M_SOH] epoch 055 | VAL cls=0.8882 | SOC MedAPE=9.127% | SOH MedAPE=4.419% | val_score=0.708580
[SOC_M_SOH] epoch 056 | VAL cls=0.9098 | SOC MedAPE=7.623% | SOH MedAPE=4.525% | val_score=0.743081
[SOC_M_SOH] epoch 057 | VAL cls=0.8941 | SOC MedAPE=9.702% | SOH MedAPE=4.023% | val_score=0.716629
[SOC_M_SOH] epoch 058 | VAL cls=0.9392 | SOC MedAPE=9.319% | SOH MedAPE=4.306% | val_score=0.759898
[SOC_M_SOH] epoch 059 | VAL cls=0.8549 | SOC MedAPE=8.486% | SOH MedAPE=5.029% | val_score=0.669473
[SOC_M_SOH] epoch 060 | VAL cls=0.8784 | SOC MedAPE=10.719% | SOH MedAPE=4.614% | val_score=0.678952
[SOC_M_SOH] epoch 061 | VAL cls=0.9039 | SOC MedAPE=8.930% | SOH MedAPE=4.123% | val_score=0.732163
[SOC_M_SOH] epoch 062 | VAL cls=0.8725 | SOC MedAPE=7.303% | SOH MedAPE=4.434% | val_score=0.710846
[SOC_M_SOH] epoch 063 | VAL cls=0.9216 | SOC MedAPE=8.232% | SOH MedAPE=4.064% | val_score=0.757974
[SOC_M_SOH] epoch 064 | VAL cls=0.8824 | SOC MedAPE=7.445% | SOH MedAPE=4.125% | val_score=0.725413
[SOC_M_SOH] epoch 065 | VAL cls=0.9490 | SOC MedAPE=7.195% | SOH MedAPE=3.715% | val_score=0.802769
[SOC_M_SOH] epoch 066 | VAL cls=0.9255 | SOC MedAPE=7.703% | SOH MedAPE=4.179% | val_score=0.764881
[SOC_M_SOH] epoch 067 | VAL cls=0.8510 | SOC MedAPE=7.915% | SOH MedAPE=5.224% | val_score=0.667354
[SOC_M_SOH] epoch 068 | VAL cls=0.9059 | SOC MedAPE=7.703% | SOH MedAPE=3.901% | val_score=0.750842
[SOC_M_SOH] epoch 069 | VAL cls=0.9216 | SOC MedAPE=9.068% | SOH MedAPE=3.764% | val_score=0.755599
[SOC_M_SOH] epoch 070 | VAL cls=0.9020 | SOC MedAPE=8.203% | SOH MedAPE=4.577% | val_score=0.728395
[SOC_M_SOH] epoch 071 | VAL cls=0.8706 | SOC MedAPE=7.897% | SOH MedAPE=4.160% | val_score=0.708412
[SOC_M_SOH] epoch 072 | VAL cls=0.9216 | SOC MedAPE=7.893% | SOH MedAPE=3.707% | val_score=0.768494
[SOC_M_SOH] epoch 073 | VAL cls=0.8784 | SOC MedAPE=8.908% | SOH MedAPE=4.549% | val_score=0.698360
[SOC_M_SOH] epoch 074 | VAL cls=0.9314 | SOC MedAPE=7.336% | SOH MedAPE=3.788% | val_score=0.782259
[SOC_M_SOH] epoch 075 | VAL cls=0.9059 | SOC MedAPE=7.752% | SOH MedAPE=4.115% | val_score=0.746063
[SOC_M_SOH] epoch 076 | VAL cls=0.8176 | SOC MedAPE=7.680% | SOH MedAPE=5.068% | val_score=0.639501
[SOC_M_SOH] epoch 077 | VAL cls=0.8961 | SOC MedAPE=7.422% | SOH MedAPE=4.277% | val_score=0.736305
[SOC_M_SOH] epoch 078 | VAL cls=0.9098 | SOC MedAPE=8.026% | SOH MedAPE=4.556% | val_score=0.738415
[SOC_M_SOH] epoch 079 | VAL cls=0.9118 | SOC MedAPE=7.129% | SOH MedAPE=3.945% | val_score=0.761574
[SOC_M_SOH] epoch 080 | VAL cls=0.9196 | SOC MedAPE=8.337% | SOH MedAPE=4.035% | val_score=0.755532
[WARN] SOC_M_SOH: numerical instability during training-time SOC flow sampling; using teacher-forced SOC for this forward pass.
[SOC_M_SOH] epoch 081 | VAL cls=0.9137 | SOC MedAPE=7.963% | SOH MedAPE=4.220% | val_score=0.749690
[SOC_M_SOH] epoch 082 | VAL cls=0.8392 | SOC MedAPE=8.695% | SOH MedAPE=4.444% | val_score=0.663398
[SOC_M_SOH] epoch 083 | VAL cls=0.9020 | SOC MedAPE=7.314% | SOH MedAPE=4.142% | val_score=0.745979
[SOC_M_SOH] epoch 084 | VAL cls=0.8765 | SOC MedAPE=9.325% | SOH MedAPE=4.128% | val_score=0.700660
[SOC_M_SOH] epoch 085 | VAL cls=0.8902 | SOC MedAPE=7.107% | SOH MedAPE=4.057% | val_score=0.737988
[EARLY STOP] SOC_M_SOH | best_epoch=65 | best_score=0.802769
[FINAL] SOC_M_SOH stable test evaluation with n_mc_soc=500, n_mc_soh=500
[BEST] SOC_M_SOH
{'order': 'SOC_M_SOH', 'description': 'SOC -> Material -> SOH', 'best_epoch': 65, 'best_score': 0.8027690971424095, 'cls_acc': 0.83046875, 'soc_rmse_raw': 9.82070636349989, 'soc_mae_raw': 5.340034986855614, 'soc_mape_raw': 12.94685243453668, 'soc_medape_raw': 6.383257126041886, 'soh_rmse_raw': 0.06676327611670524, 'soh_mae_raw': 0.04367899262110212, 'soh_mape_raw': 5.362962255222415, 'soh_medape_raw': 2.9498808199836355, 'n_train': 68162, 'n_test': 1280, 'num_classes': 8, 'device': 'cpu', 'elapsed_sec': 10071.259816169739}

[SUMMARY]
       order             description  ...  soc_medape_pct  soh_medape_pct
0  SOC_M_SOH  SOC -> Material -> SOH  ...        6.383257        2.949881

[1 rows x 21 columns]
