U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,SOC,SOH,material_capacity,pulse_ms
3.6256,3.6521,3.6579,3.6338,3.6268,3.6003,3.5945,3.6191,3.6261,3.6791,3.69,3.6421,3.6273,3.5748,3.5639,3.6129,3.6259,3.7042,3.7202,3.6494,3.6277,3.5494,3.5339,3.6071,3.6256,3.7286,3.7493,3.6579,3.6282,3.5248,3.5051,3.602,3.6254,3.7527,3.7764,3.6652,3.6287,3.5006,3.477,3.598,3.6254,20.0,0.8438038461538462,LMO_26Ah,100
3.6317,3.6563,3.6628,3.6417,3.6335,3.6089,3.602,3.624,3.6328,3.6819,3.6942,3.6517,3.6342,3.5852,3.5724,3.6159,3.6326,3.7051,3.7234,3.6619,3.6349,3.5617,3.5432,3.6091,3.6324,3.7276,3.7509,3.6705,3.6356,3.5385,3.5144,3.6024,3.6322,3.7502,3.7769,3.6765,3.6361,3.5153,3.4858,3.5964,3.6321,20.0,0.8197192307692307,LMO_26Ah,100
3.6394,3.6684,3.6731,3.6466,3.6412,3.6122,3.6075,3.6345,3.6405,3.6981,3.7072,3.654,3.6421,3.5848,3.5759,3.6296,3.6405,3.7258,3.739,3.6607,3.6426,3.5578,3.5448,3.6245,3.6403,3.7525,3.769,3.6673,3.6433,3.5313,3.5148,3.6201,3.6401,3.7785,3.7971,3.6731,3.6435,3.5053,3.4858,3.6157,3.6398,20.0,0.8207461538461539,LMO_26Ah,100
3.6338,3.6652,3.6712,3.6424,3.6349,3.6038,3.5978,3.627,3.6343,3.6968,3.7079,3.6508,3.6356,3.5738,3.5631,3.621,3.634,3.7262,3.742,3.6586,3.6361,3.5446,3.5299,3.615,3.6336,3.7546,3.7732,3.6661,3.6363,3.5167,3.4983,3.6108,3.6335,3.7816,3.8024,3.674,3.6368,3.4897,3.4688,3.6066,3.6331,20.0,0.8363576923076923,LMO_26Ah,100
3.6264,3.6551,3.66,3.6336,3.628,3.5996,3.5947,3.6215,3.6275,3.6844,3.6935,3.641,3.6289,3.5727,3.5636,3.6164,3.6275,3.7116,3.7251,3.6477,3.6294,3.5462,3.5332,3.6119,3.6273,3.7379,3.7548,3.6549,3.63,3.5204,3.5043,3.6078,3.6273,3.7634,3.7829,3.661,3.6305,3.4955,3.4765,3.6038,3.627,20.0,0.8380807692307692,LMO_26Ah,100
3.6208,3.6514,3.6589,3.6319,3.6228,3.592,3.5847,3.6126,3.6222,3.6833,3.6972,3.6428,3.6236,3.5629,3.549,3.6056,3.6222,3.7121,3.7323,3.6535,3.6245,3.5343,3.5148,3.5987,3.6221,3.7402,3.7648,3.6628,3.625,3.5062,3.4823,3.5929,3.6219,3.7672,3.7943,3.6716,3.6256,3.4793,3.4512,3.5875,3.6215,20.0,0.8469192307692308,LMO_26Ah,100
3.6354,3.6633,3.6696,3.6442,3.6364,3.608,3.6017,3.628,3.6356,3.6921,3.7039,3.6531,3.6368,3.5808,3.569,3.621,3.6354,3.7186,3.736,3.6616,3.6373,3.5538,3.5369,3.6147,3.635,3.7446,3.7664,3.6703,3.6379,3.5276,3.506,3.6092,3.6349,3.7701,3.7946,3.6775,3.6382,3.502,3.4763,3.6031,3.6342,20.0,0.8327269230769231,LMO_26Ah,100
3.6394,3.6654,3.6712,3.648,3.6412,3.6154,3.6094,3.6328,3.6405,3.6923,3.7032,3.6568,3.6419,3.5903,3.5789,3.6266,3.6405,3.717,3.7335,3.6654,3.6426,3.5655,3.549,3.6203,3.6403,3.7414,3.7622,3.6733,3.6431,3.5409,3.5193,3.6143,3.6401,3.7651,3.7892,3.6812,3.6436,3.5167,3.4902,3.6089,3.64,20.0,0.8250269230769232,LMO_26Ah,100
3.6398,3.6666,3.6735,3.6505,3.6417,3.6149,3.6075,3.6315,3.6412,3.6947,3.7077,3.6619,3.6428,3.5892,3.5757,3.6238,3.641,3.7198,3.7393,3.6719,3.6433,3.5634,3.5439,3.6161,3.6407,3.7444,3.7686,3.6805,3.6438,3.538,3.5127,3.6099,3.6405,3.7688,3.796,3.6889,3.6445,3.5132,3.4828,3.6041,3.6401,20.0,0.7976076923076924,LMO_26Ah,100
3.6112,3.6389,3.6428,3.6168,3.6126,3.5855,3.5815,3.6073,3.6122,3.6672,3.6742,3.6228,3.6136,3.5594,3.5524,3.6033,3.612,3.6939,3.7039,3.6277,3.614,3.5341,3.5239,3.5992,3.6119,3.7193,3.732,3.6324,3.6145,3.5097,3.4969,3.5957,3.6117,3.7437,3.7588,3.6372,3.615,3.4865,3.4714,3.5912,3.6113,20.0,0.9441653846153847,LMO_26Ah,100
3.6447,3.6747,3.6816,3.6552,3.6465,3.6164,3.6092,3.6375,3.6461,3.7058,3.7193,3.6665,3.6475,3.5876,3.5741,3.6291,3.6459,3.7339,3.7534,3.6761,3.648,3.5587,3.5392,3.6217,3.6454,3.7616,3.7852,3.6854,3.6484,3.5306,3.5055,3.6156,3.6452,3.7885,3.8145,3.6953,3.6491,3.5027,3.4728,3.611,3.6452,20.0,0.8015807692307693,LMO_26Ah,100
