order,description,evaluation_mode,checkpoint_path,best_epoch,best_score,test_cls_acc,test_material_acc,test_soc_rmse_raw,test_soc_mae_raw,test_soc_medae_raw,test_soc_mape_raw,test_soc_medape_raw,test_soh_rmse_raw,test_soh_mae_raw,test_soh_medae_raw,test_soh_mape_raw,test_soh_medape_raw,n_train,n_test,num_classes,device,elapsed_sec,material_acc_pct,cls_acc_pct,soc_medae_pct,soh_medae_pct,soc_medape_pct,soh_medape_pct
PARALLEL,"Material, SOC and SOH predicted in parallel",summary_only,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/hierarchy_order_ablation/PARALLEL/checkpoints/best.pt,66.0,0.8138152877069019,0.89765625,0.96640625,8.602504570643497,4.542305736067216,2.274675436619397,11.351401785015522,6.107417145335653,6.325955084235278,4.150667684150456,2.240507130341129,5.224075302989827,2.80362239497286,68162,1280,8,cpu,17.234700441360474,96.640625,89.765625,2.274675436619397,2.240507130341129,6.107417145335653,2.80362239497286
SOH_M_SOC,SOH -> Material -> SOC,summary_only,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/hierarchy_order_ablation/SOH_M_SOC/checkpoints/best.pt,73.0,0.8203020249446077,0.90390625,0.9625,8.247964538895074,4.380729288946192,2.37482028886161,9.943657443334462,5.355799398674263,6.1808162109554665,4.217510346185508,2.4406485292786115,5.256685267465288,2.910199591422293,68162,1280,8,cpu,16.21223497390747,96.25,90.390625,2.37482028886161,2.4406485292786115,5.355799398674263,2.910199591422293
SOC_M_SOH,SOC -> Material -> SOH,summary_only,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/hierarchy_order_ablation/SOC_M_SOH/checkpoints/best.pt,65.0,0.8027690971424095,0.8828125,0.93671875,8.703951118985724,4.814023480023215,2.724683765195987,12.4673342001609,6.53775286556086,5.637359593902475,3.797788097511787,2.0835461477932355,4.796252502726977,2.5714564586968973,68162,1280,8,cpu,16.196065664291382,93.671875,88.28125,2.724683765195987,2.0835461477932355,6.53775286556086,2.5714564586968973
M_SOH_SOC,Material -> SOH -> SOC,summary_only,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/hierarchy_order_ablation/M_SOH_SOC/checkpoints/best.pt,40.0,0.8229831406012006,0.8734375,0.93515625,8.624032168080864,4.700783826203756,2.5849540694323068,11.78582608486498,6.163245821129826,5.786145486666085,4.000230719364253,2.361652561731745,5.008538741865955,2.8269608017115098,68162,1280,8,cpu,16.941707134246826,93.515625,87.34375,2.5849540694323068,2.361652561731745,6.163245821129826,2.8269608017115098
M_SOC_SOH,Material -> SOC -> SOH,proposed_further_analysis,,,,0.91875,0.97421875,7.864401414996508,3.844217218615972,1.7849191374117837,9.179883688510216,4.502518451807658,6.067975101840744,4.0208413198756165,2.1991272765390733,5.033712957294439,2.6152357284073,68163,1280,8,,,97.421875,91.875,1.7849191374117837,2.1991272765390733,4.502518451807658,2.6152357284073
