metric,mean,std,median
direct_mat_to_soh_rmse_gap,0.006979764927551868,0.0,0.006979764927551868
soc_to_soh_rmse_gap,0.01712238614199698,0.0,0.01712238614199698
total_end2end_rmse_gap,0.022964682292621927,0.0,0.022964682292621927
residual_or_interaction_rmse_gap,-0.0011374687769269212,0.0,-0.0011374687769269212
