experiment,n,cls_acc,material_acc,cls_acc_pct,material_acc_pct,soc_rmse,soc_mae,soc_medae,soc_mape,soc_medape,soh_rmse,soh_mae,soh_medae,soh_mape,soh_medape,soc_unit,soh_unit,soh_scaled_by
E0,1280,1.0,1.0,100.0,100.0,7.596623035336658,3.654221879281882,1.7541506614478095,8.46504193778895,4.637806339454341,3.772195096222528,2.421449059363126,1.3649708841843307,3.0675322288351214,1.6389896719370807,percentage point,percentage point,100.0
E1,1280,0.91875,0.97421875,91.875,97.421875,7.864401414996508,3.8442172186159715,1.7849191374117837,9.179883692223266,4.502518453607464,4.4701719013819154,2.87403202483977,1.5432147172336812,3.5938789890713614,1.9220421941693009,percentage point,percentage point,100.0
E2,1280,1.0,1.0,100.0,100.0,7.596623035336658,3.654221879281882,1.7541506614478095,8.46504193778895,4.637806339454341,5.484432761298591,3.5798312464353814,2.033025098980332,4.534231673168193,2.480703660752899,percentage point,percentage point,100.0
E3,1280,0.91875,0.97421875,91.875,97.421875,7.864401414996508,3.8442172186159715,1.7849191374117837,9.179883692223266,4.502518453607464,6.067975101840744,4.0208413198756165,2.1991272765390733,5.033712957935127,2.6152357286820345,percentage point,percentage point,100.0
