config,part,polarity,checkpoint_stage,checkpoint_path,test_cls_acc,test_material_acc,test_soc_medae_raw,test_soc_mae_raw,test_soc_rmse_raw,test_soc_medape_raw,test_soc_mape_raw,test_soh_medae_raw,test_soh_mae_raw,test_soh_rmse_raw,test_soh_medape_raw,test_soh_mape_raw,n_test,num_classes,n_mc,device,elapsed_sec,predictions_path,fine_grained_acc_pct,material_acc_pct,soc_medae_pct,soh_medae_pct,soc_medape_pct,soh_medape_pct
positive_only,positive,positive,finetune,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/pulse_polarity/positive_only/checkpoints/finetune/best.pt,0.846875,0.93046875,2.759003533079607,5.340786568823336,9.30650965644975,6.982805401344301,13.274343646315819,2.8659076321084527,4.784270519517963,7.129045834307479,3.4603890962933983,5.936363740002295,1280,8,500,cpu,18.88162636756897,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/pulse_polarity/positive_only/metrics/retrospective_test_predictions.csv,84.6875,93.046875,2.759003533079607,2.8659076321084527,6.982805401344301,3.4603890962933983
negative_only,negative,negative,finetune,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/pulse_polarity/negative_only/checkpoints/finetune/best.pt,0.87578125,0.9484375,3.1641360319898837,5.613660613983931,9.486181387037883,7.282667636544699,14.589845233082224,2.1645747772187462,4.19474337977501,6.397546148046652,2.6120854961825346,5.241121666846737,1280,8,500,cpu,19.701055765151978,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/pulse_polarity/negative_only/metrics/retrospective_test_predictions.csv,87.578125,94.84375,3.1641360319898837,2.1645747772187462,7.282667636544699,2.6120854961825346
