soc_bin,n,mae,rmse,p50,p90,p95
"(-0.001, 10.0]",70,7.453727889058072,10.646958901175331,4.737975264542526,20.893887671233554,23.32216914486757
"(10.0, 20.0]",60,6.485529027300935,9.412950097087121,3.8069504819973474,15.650921961354678,18.372772065280984
"(20.0, 30.0]",170,7.9299961024946874,11.34709032066302,5.240372704950404,18.614422405095166,25.227655438549245
"(30.0, 40.0]",160,10.863369078463212,14.004731759097586,8.64944877649403,23.453003488871616,29.44916846070252
"(40.0, 50.0]",290,7.108988162716158,9.216045938640942,5.785914389147763,14.520272140247355,19.617839215301064
"(50.0, 60.0]",210,6.897607286898101,9.023629285606518,5.045376426547879,15.784249803781103,17.493372425256464
"(60.0, 70.0]",190,7.369006948374383,11.490012224342525,4.6256512859296635,15.074061623962956,30.71025217927138
"(70.0, 80.0]",90,13.731946996904107,23.533060283629176,6.043261888589242,48.38802047240889,65.84997298060226
"(80.0, 90.0]",40,5.861784170854695,6.971743519809846,4.665944623556257,9.763317095582883,13.033012155929152
"(90.0, 100.0]",0,,,,,
