File_Name,Mat,No.,ID,Qn,Q,SOH,Pt,SOC,SOCR,source_file,source_dir,label,sheet,pulse_ms
LMO_C_10_B_1_SOC_5-55_Part_1-1_ID_PIP15828A00225770.xlsx,LMO,1,PIP15828A00225770,10,5.6791,0.56791,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_20_SOC_5-65_Part_1-1_ID_PIP15827A00205450.xlsx,LMO,20,PIP15827A00205450,10,6.9997,0.69997,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_21_SOC_5-65_Part_1-1_ID_PIP15829A00209415.xlsx,LMO,21,PIP15829A00209415,10,6.7829,0.67829,0.07,5,0.05,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_22_SOC_5-65_Part_1-1_ID_PIP15D01A03238995.xlsx,LMO,22,PIP15D01A03238995,10,6.7698,0.67698,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_23_SOC_5-65_Part_1-1_ID_PIP15829A00210663.xlsx,LMO,23,PIP15829A00210663,10,6.9477,0.69477,0.07,5,0.05,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_24_SOC_5-65_Part_1-1_ID_PIP15829A00206931.xlsx,LMO,24,PIP15829A00206931,10,6.853,0.6853,0.07,5,0.05,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_25_SOC_5-65_Part_1-1_ID_PIP15825A00103075.xlsx,LMO,25,PIP15825A00103075,10,6.6769,0.66769,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_26_SOC_5-70_Part_1-1_ID_PIP15D29A03204639.xlsx,LMO,26,PIP15D29A03204639,10,7.9655,0.79655,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_27_SOC_5-70_Part_1-1_ID_PIP15D26A03261343.xlsx,LMO,27,PIP15D26A03261343,10,7.1776,0.71776,0.07,5,0.05,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_28_SOC_5-70_Part_1-1_ID_PIP15825A50203005.xlsx,LMO,28,PIP15825A50203005,10,7.6227,0.76227,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_29_SOC_5-70_Part_1-1_ID_PIP15825A00103143.xlsx,LMO,29,PIP15825A00103143,10,7.2993,0.72993,0.07,5,0.05,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_2_SOC_5-55_Part_1-1_ID_PIP15827A00221240.xlsx,LMO,2,PIP15827A00221240,10,6.0513,0.6051300000000001,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_30_SOC_5-70_Part_1-1_ID_PIP15D19A03280145.xlsx,LMO,30,PIP15D19A03280145,10,7.5565,0.7556499999999999,0.07,5,0.05001,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_31_SOC_5-75_Part_1-1_ID_PIP15D01A03241499.xlsx,LMO,31,PIP15D01A03241499,10,8.0253,0.80253,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_32_SOC_5-75_Part_1-1_ID_PIP15710A00246135.xlsx,LMO,32,PIP15710A00246135,10,8.0443,0.80443,0.07,5,0.05,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_33_SOC_5-80_Part_1-1_ID_PIP15N21A50200177.xlsx,LMO,33,PIP15N21A50200177,10,8.7844,0.87844,0.07,5,0.05,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_34_SOC_5-80_Part_1-1_ID_PIP15N21A03201737.xlsx,LMO,34,PIP15N21A03201737,10,8.5736,0.8573600000000001,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_35_SOC_5-80_Part_1-1_ID_PIP15D22A03248005.xlsx,LMO,35,PIP15D22A03248005,10,8.8531,0.8853099999999999,0.07,5,0.04998,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_36_SOC_5-80_Part_1-1_ID_PIP15D15A03236357.xlsx,LMO,36,PIP15D15A03236357,10,8.8667,0.88667,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_37_SOC_5-80_Part_1-1_ID_PIP15N21A50200566.xlsx,LMO,37,PIP15N21A50200566,10,8.7259,0.87259,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_38_SOC_5-80_Part_1-1_ID_PIP15D19A03261038.xlsx,LMO,38,PIP15D19A03261038,10,8.8714,0.8871399999999999,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_39_SOC_5-80_Part_1-1_ID_PIP15D25A03226076.xlsx,LMO,39,PIP15D25A03226076,10,8.7876,0.87876,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_3_SOC_5-55_Part_1-1_ID_PIP15827A00221153.xlsx,LMO,3,PIP15827A00221153,10,5.1908,0.51908,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_40_SOC_5-80_Part_1-1_ID_PIP15N21A03207437.xlsx,LMO,40,PIP15N21A03207437,10,8.6738,0.86738,0.07,5,0.05001,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_41_SOC_5-80_Part_1-1_ID_PIP15D25A03219538.xlsx,LMO,41,PIP15D25A03219538,10,8.9075,0.89075,0.07,5,0.05,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_42_SOC_5-80_Part_1-1_ID_PIP15N26A01201901.xlsx,LMO,42,PIP15N26A01201901,10,8.7445,0.8744500000000001,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_43_SOC_5-80_Part_1-1_ID_PIP15N15A03208363.xlsx,LMO,43,PIP15N15A03208363,10,8.5451,0.85451,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_44_SOC_5-80_Part_1-1_ID_PIP15D01A03233061.xlsx,LMO,44,PIP15D01A03233061,10,8.3956,0.83956,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_45_SOC_5-80_Part_1-1_ID_PIP15D01A03245962.xlsx,LMO,45,PIP15D01A03245962,10,8.0747,0.80747,0.07,5,0.05,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_46_SOC_5-80_Part_1-1_ID_PIP15D01A03250557.xlsx,LMO,46,PIP15D01A03250557,10,8.6249,0.86249,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_47_SOC_5-80_Part_1-1_ID_PIP15D01A03210683.xlsx,LMO,47,PIP15D01A03210683,10,8.8702,0.88702,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_48_SOC_5-80_Part_1-1_ID_PIP15D01A03229494.xlsx,LMO,48,PIP15D01A03229494,10,8.3622,0.83622,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_49_SOC_5-80_Part_1-1_ID_PIP15D01A03243668.xlsx,LMO,49,PIP15D01A03243668,10,8.7211,0.8721099999999999,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_4_SOC_5-55_Part_1-1_ID_PIP15828A00213703.xlsx,LMO,4,PIP15828A00213703,10,5.9985,0.59985,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_50_SOC_5-80_Part_1-1_ID_PIP15D01A03214955.xlsx,LMO,50,PIP15D01A03214955,10,8.7822,0.87822,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_51_SOC_5-80_Part_1-1_ID_PIP15N08A03228420.xlsx,LMO,51,PIP15N08A03228420,10,9.1801,0.91801,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_52_SOC_5-80_Part_1-1_ID_PIP15N08A03232183.xlsx,LMO,52,PIP15N08A03232183,10,8.818,0.8817999999999999,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_53_SOC_5-80_Part_1-1_ID_PIP15D01A03218382.xlsx,LMO,53,PIP15D01A03218382,10,8.7007,0.8700699999999999,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_54_SOC_5-80_Part_1-1_ID_PIP15D01A03238599.xlsx,LMO,54,PIP15D01A03238599,10,8.7985,0.87985,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_55_SOC_5-80_Part_1-1_ID_PIP15D01A03224640.xlsx,LMO,55,PIP15D01A03224640,10,8.7433,0.8743299999999999,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_56_SOC_5-80_Part_1-1_ID_PIP15D01A03221296.xlsx,LMO,56,PIP15D01A03221296,10,8.7194,0.87194,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_57_SOC_5-80_Part_1-1_ID_PIP15D01A03217542.xlsx,LMO,57,PIP15D01A03217542,10,8.7094,0.87094,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_58_SOC_5-80_Part_1-1_ID_PIP15512A50200009.xlsx,LMO,58,PIP15512A50200009,10,8.4652,0.8465199999999999,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_59_SOC_5-80_Part_1-1_ID_PIP15N15A03208341.xlsx,LMO,59,PIP15N15A03208341,10,9.0113,0.90113,0.07,5,0.05,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_5_SOC_5-55_Part_1-1_ID_PIP15N22A03240032.xlsx,LMO,5,PIP15N22A03240032,10,5.3577,0.5357700000000001,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_60_SOC_5-80_Part_1-1_ID_PIP15N15A03208989.xlsx,LMO,60,PIP15N15A03208989,10,8.7996,0.87996,0.07,5,0.05,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_61_SOC_5-80_Part_1-1_ID_PIP15D25A03236724.xlsx,LMO,61,PIP15D25A03236724,10,9.1108,0.9110799999999999,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_62_SOC_5-80_Part_1-1_ID_PIP15N15A03208398.xlsx,LMO,62,PIP15N15A03208398,10,8.8591,0.88591,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_63_SOC_5-80_Part_1-1_ID_PIP15502C00208544.xlsx,LMO,63,PIP15502C00208544,10,8.8435,0.8843500000000001,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_64_SOC_5-80_Part_1-1_ID_PIP15D01A03206727.xlsx,LMO,64,PIP15D01A03206727,10,8.7019,0.87019,0.07,5,0.05,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_65_SOC_5-80_Part_1-1_ID_PIP15N15A03208683.xlsx,LMO,65,PIP15N15A03208683,10,8.6522,0.8652200000000001,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_66_SOC_5-80_Part_1-1_ID_PIP15N14A03235525.xlsx,LMO,66,PIP15N14A03235525,10,8.9144,0.89144,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_67_SOC_5-85_Part_1-1_ID_PIP15D25A03243702.xlsx,LMO,67,PIP15D25A03243702,10,8.8907,0.88907,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_68_SOC_5-85_Part_1-1_ID_PIP15N30A03228344.xlsx,LMO,68,PIP15N30A03228344,10,8.896,0.8896000000000001,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_69_SOC_5-85_Part_1-1_ID_PIP15D19A03226854.xlsx,LMO,69,PIP15D19A03226854,10,8.9939,0.89939,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_6_SOC_5-55_Part_1-1_ID_PIP15829A00218512.xlsx,LMO,6,PIP15829A00218512,10,6.9177,0.69177,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_70_SOC_5-85_Part_1-1_ID_PIP15D15A03236532.xlsx,LMO,70,PIP15D15A03236532,10,8.9182,0.8918200000000001,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_71_SOC_5-85_Part_1-1_ID_PIP15D25A03209658.xlsx,LMO,71,PIP15D25A03209658,10,8.9053,0.89053,0.07,5,0.05,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_72_SOC_5-85_Part_1-1_ID_PIP15N21A50200990.xlsx,LMO,72,PIP15N21A50200990,10,8.9374,0.89374,0.07,5,0.04998,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_73_SOC_5-85_Part_1-1_ID_PIP15N15A03208672.xlsx,LMO,73,PIP15N15A03208672,10,8.7891,0.87891,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_74_SOC_5-85_Part_1-1_ID_PIP15D15A03236823.xlsx,LMO,74,PIP15D15A03236823,10,9.0417,0.90417,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_75_SOC_5-85_Part_1-1_ID_PIP15N15A03208431.xlsx,LMO,75,PIP15N15A03208431,10,9.0144,0.90144,0.07,5,0.05,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
