U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,SOC,SOH,material_capacity,pulse_ms
3.2727,3.3187,3.3217,3.2774,3.2738,3.2279,3.2251,3.2695,3.273,3.3652,3.3706,3.2816,3.2744,3.1826,3.1772,3.2658,3.2727,3.4107,3.4188,3.286,3.275,3.1379,3.1298,3.2625,3.2725,3.4558,3.4663,3.2902,3.2757,3.0938,3.0834,3.2586,3.2723,3.5,3.513,3.2943,3.2761,3.0503,3.0376,3.2551,3.2718,20.0,0.8049657142857143,LFP_35Ah,100
3.2725,3.3152,3.318,3.2774,3.274,3.232,3.2293,3.2698,3.2736,3.3584,3.3636,3.2818,3.275,3.1905,3.1852,3.2667,3.2732,3.4003,3.4082,3.286,3.2757,3.1493,3.1415,3.2634,3.2732,3.4421,3.4523,3.2906,3.2764,3.1085,3.0985,3.2597,3.2727,3.4832,3.496,3.2946,3.2769,3.0682,3.0559,3.2559,3.2725,20.0,0.8135085714285714,LFP_35Ah,100
3.27,3.3069,3.309,3.2743,3.2719,3.2357,3.2336,3.2686,3.2715,3.3443,3.3485,3.2785,3.273,3.2005,3.1965,3.266,3.2716,3.3805,3.3866,3.2822,3.2738,3.165,3.1589,3.2634,3.2715,3.4168,3.4249,3.2853,3.2743,3.1294,3.1214,3.2606,3.2711,3.4526,3.4628,3.2888,3.275,3.094,3.0841,3.2586,3.2711,20.0,0.8006771428571429,LFP_35Ah,100
3.269,3.3066,3.309,3.2732,3.2708,3.2335,3.2313,3.2671,3.27,3.3447,3.3492,3.2771,3.2716,3.197,3.1926,3.2644,3.2698,3.3819,3.3884,3.2804,3.2719,3.1603,3.1538,3.2613,3.2695,3.4188,3.4274,3.2846,3.2729,3.1242,3.1157,3.2585,3.2695,3.4556,3.4663,3.288,3.2734,3.0882,3.0776,3.2551,3.269,20.0,0.7876828571428571,LFP_35Ah,100
3.27,3.3104,3.3131,3.2746,3.2716,3.2315,3.229,3.2676,3.2709,3.3513,3.3561,3.2788,3.2725,3.1921,3.1873,3.2644,3.2708,3.3912,3.3984,3.2829,3.273,3.153,3.1459,3.2609,3.2704,3.4307,3.4402,3.2867,3.2736,3.1138,3.1044,3.2576,3.27,3.47,3.4818,3.2901,3.2738,3.0752,3.0636,3.2541,3.2697,20.0,0.8206942857142857,LFP_35Ah,100
3.2788,3.3264,3.3296,3.2841,3.2801,3.2328,3.2294,3.2751,3.2792,3.3738,3.3801,3.2888,3.2806,3.1861,3.18,3.2709,3.2787,3.4205,3.4295,3.2932,3.2811,3.1401,3.1309,3.2664,3.2781,3.4663,3.4781,3.2978,3.2815,3.0947,3.0831,3.2625,3.2778,3.5113,3.5257,3.3022,3.282,3.0501,3.036,3.2585,3.2774,20.0,0.8252085714285714,LFP_35Ah,100
3.2744,3.319,3.322,3.2797,3.2758,3.2315,3.2286,3.2709,3.2748,3.3636,3.3694,3.2846,3.2765,3.1881,3.1823,3.2669,3.2746,3.4072,3.4159,3.2887,3.2769,3.1447,3.1363,3.2625,3.274,3.4502,3.4616,3.2931,3.2774,3.102,3.091,3.2592,3.2738,3.4928,3.5069,3.298,3.2781,3.0602,3.0467,3.2557,3.2736,20.0,0.8263371428571429,LFP_35Ah,100
3.2722,3.3134,3.3159,3.2764,3.2738,3.233,3.2307,3.2702,3.2732,3.3552,3.3598,3.2809,3.2748,3.1928,3.1884,3.2671,3.273,3.3959,3.4026,3.2841,3.2753,3.1526,3.1459,3.2639,3.2727,3.4363,3.4451,3.2878,3.2757,3.1126,3.104,3.2607,3.2723,3.4763,3.4874,3.2911,3.2761,3.0731,3.0621,3.2578,3.2719,20.0,0.8226028571428572,LFP_35Ah,100
3.2697,3.3085,3.3108,3.2736,3.2709,3.2325,3.2304,3.2674,3.2704,3.3478,3.352,3.2776,3.2718,3.1947,3.1903,3.2646,3.2702,3.3863,3.3926,3.2813,3.2723,3.1568,3.1503,3.2618,3.27,3.4244,3.433,3.2848,3.273,3.1191,3.1105,3.2586,3.2697,3.4625,3.473,3.2878,3.2734,3.0817,3.071,3.2553,3.2693,20.0,0.8664914285714286,LFP_35Ah,100
3.2743,3.3206,3.3241,3.2804,3.2764,3.2309,3.2274,3.2711,3.2757,3.3673,3.3738,3.2864,3.2774,3.1863,3.1798,3.2674,3.2757,3.4126,3.4221,3.2915,3.2781,3.1422,3.1328,3.2627,3.2755,3.4567,3.4693,3.2964,3.2788,3.0987,3.0865,3.2583,3.275,3.5002,3.5155,3.3011,3.2794,3.0562,3.0413,3.2548,3.275,20.0,0.8270085714285714,LFP_35Ah,100
3.2716,3.311,3.3131,3.2757,3.2732,3.2342,3.2321,3.2697,3.2727,3.3508,3.3552,3.2797,3.274,3.196,3.1918,3.2669,3.2725,3.3898,3.3963,3.2836,3.2748,3.1577,3.1514,3.2641,3.2723,3.4286,3.4372,3.2871,3.2755,3.1194,3.1112,3.2611,3.2719,3.4672,3.4779,3.2906,3.2759,3.0815,3.0711,3.2581,3.2716,20.0,0.74364,LFP_35Ah,100
3.2719,3.3159,3.319,3.2772,3.2734,3.23,3.2269,3.2685,3.2725,3.3598,3.3659,3.2825,3.2743,3.1871,3.1814,3.2646,3.2725,3.4031,3.4119,3.2871,3.275,3.1448,3.1363,3.2604,3.2719,3.4456,3.4572,3.2913,3.2753,3.1031,3.0919,3.2565,3.2716,3.4876,3.502,3.2955,3.2757,3.0618,3.048,3.2523,3.2711,20.0,0.8541371428571428,LFP_35Ah,100
3.2751,3.3159,3.3187,3.2801,3.2769,3.2369,3.2342,3.2727,3.2761,3.3573,3.3626,3.2846,3.278,3.1972,3.1921,3.2692,3.2761,3.3975,3.4052,3.289,3.2787,3.1579,3.1503,3.266,3.2759,3.4372,3.4474,3.2932,3.2792,3.1189,3.1091,3.2627,3.2757,3.4767,3.4892,3.2964,3.2795,3.0802,3.068,3.2588,3.2751,20.0,0.8308114285714285,LFP_35Ah,100
3.2743,3.316,3.3187,3.2788,3.2759,3.2344,3.232,3.2723,3.2753,3.3585,3.3633,3.2832,3.2767,3.1939,3.1889,3.2688,3.275,3.3996,3.407,3.2871,3.2774,3.1533,3.1461,3.2655,3.2748,3.4405,3.45,3.2911,3.278,3.1131,3.1036,3.2622,3.2744,3.4809,3.493,3.2939,3.2781,3.0729,3.0613,3.2588,3.2738,20.0,0.8388257142857143,LFP_35Ah,100
3.2727,3.3106,3.3127,3.2764,3.2738,3.2365,3.2344,3.2706,3.2732,3.3485,3.3526,3.2801,3.2746,3.1995,3.1956,3.2677,3.273,3.3859,3.3919,3.2834,3.2751,3.1626,3.1566,3.2653,3.2729,3.4233,3.4312,3.2867,3.2757,3.1259,3.118,3.2622,3.2725,3.4602,3.4702,3.2899,3.2761,3.0892,3.0794,3.2592,3.2722,20.0,0.8411685714285714,LFP_35Ah,100
3.2702,3.3152,3.318,3.2748,3.2716,3.2267,3.2239,3.2672,3.2708,3.3605,3.3657,3.2795,3.2723,3.1828,3.1775,3.2639,3.2706,3.4051,3.413,3.2834,3.2729,3.1389,3.1312,3.2604,3.2704,3.4491,3.4595,3.2866,3.273,3.0954,3.0854,3.2569,3.2698,3.4925,3.5053,3.2913,3.2738,3.0527,3.0404,3.2532,3.2697,20.0,0.8223485714285714,LFP_35Ah,100
3.2794,3.3176,3.3201,3.2837,3.2811,3.2434,3.2409,3.2774,3.2806,3.3564,3.361,3.2881,3.282,3.2063,3.2018,3.2743,3.2804,3.3943,3.4012,3.2918,3.2827,3.1689,3.1623,3.2709,3.2799,3.4316,3.4407,3.2957,3.2832,3.1319,3.1231,3.2683,3.2799,3.469,3.4804,3.2994,3.2837,3.0954,3.0843,3.2653,3.2795,20.0,0.8133142857142858,LFP_35Ah,100
3.2738,3.3176,3.3203,3.2785,3.2755,3.2321,3.2294,3.2713,3.2746,3.3615,3.3666,3.283,3.2761,3.1898,3.1847,3.2679,3.2746,3.4045,3.4123,3.2869,3.2769,3.1473,3.1398,3.2646,3.2743,3.4472,3.4574,3.2913,3.2776,3.1054,3.0957,3.2614,3.274,3.4895,3.502,3.2948,3.278,3.0638,3.0517,3.2574,3.2734,20.0,0.8241457142857143,LFP_35Ah,100
3.2776,3.3148,3.3171,3.2815,3.279,3.2423,3.24,3.2755,3.2783,3.3522,3.3564,3.2853,3.2797,3.206,3.2018,3.2729,3.2781,3.3891,3.3952,3.2888,3.2804,3.1696,3.1635,3.2698,3.2778,3.4256,3.4339,3.2922,3.2809,3.1335,3.1254,3.2667,3.2774,3.4621,3.4723,3.2953,3.2813,3.0973,3.0873,3.2637,3.2769,20.0,0.8535914285714286,LFP_35Ah,100
3.2732,3.3111,3.3134,3.2776,3.2748,3.2376,3.2353,3.2711,3.2743,3.3492,3.3538,3.2809,3.2753,3.2005,3.1961,3.2677,3.2737,3.3863,3.3931,3.285,3.2759,3.164,3.1573,3.265,3.2736,3.4233,3.4323,3.2887,3.2765,3.1275,3.1187,3.2634,3.2737,3.4605,3.4716,3.2929,3.2774,3.0917,3.0808,3.259,3.2732,20.0,0.8264828571428572,LFP_35Ah,100
3.2711,3.3117,3.3143,3.2757,3.273,3.2328,3.2304,3.269,3.2723,3.3527,3.3577,3.2806,3.274,3.194,3.1891,3.266,3.2723,3.3928,3.4,3.2843,3.2746,3.1547,3.1475,3.2625,3.2719,3.4323,3.4419,3.2881,3.2753,3.1156,3.1063,3.2592,3.2716,3.4716,3.4835,3.2922,3.2759,3.0771,3.0655,3.2562,3.2715,20.0,0.83336,LFP_35Ah,100
3.2729,3.3131,3.3155,3.2774,3.2746,3.2348,3.2325,3.2708,3.2738,3.3536,3.3584,3.2818,3.2755,3.1958,3.1911,3.2677,3.2738,3.3935,3.4003,3.2857,3.2761,3.1568,3.15,3.2643,3.2734,3.4328,3.4419,3.2894,3.2767,3.1178,3.1089,3.2609,3.273,3.4719,3.4835,3.2927,3.2771,3.079,3.0678,3.2578,3.2727,20.0,0.7633,LFP_35Ah,100
