split,n,cls_acc,material_acc,soc_mae,soc_medae,soc_rmse,soc_mape,soc_medape,soc_ape_p25,soc_ape_p50,soc_ape_p75,soc_ape_p90,soc_ape_p95,soc_ae_p25,soc_ae_p50,soc_ae_p75,soc_ae_p90,soc_ae_p95,soh_mae,soh_medae,soh_rmse,soh_mape,soh_medape,soh_ape_p25,soh_ape_p50,soh_ape_p75,soh_ape_p90,soh_ape_p95,soh_ae_p25,soh_ae_p50,soh_ae_p75,soh_ae_p90,soh_ae_p95
train,68163,0.994806566612385,0.9980634655164825,1.4035053556417751,0.6804633632706256,2.3939707003232185,4.283841345501927,1.9226958664045655,0.7339618749403285,1.9226958664045655,4.721190887150325,10.185107446330804,16.15076963432183,0.19704372891759903,0.6804633632706256,1.8646988402421538,3.6432056235193873,5.012618531795088,2.041244378000411,1.0925843296492417,3.3044949094902103,2.6046559307772044,1.2810394536410523,0.5284864438523206,1.2810394536410523,3.131545093782078,6.704939632127851,9.65456108528326,0.45577237866495324,1.0925843296492417,2.5614132201917243,5.286911276169008,7.347581229400102
val,510,0.984313725490196,0.9901960784313726,3.693050561182827,2.255669789443207,5.749748500824566,9.215792619670047,5.510551339286069,2.5780562548518926,5.510551339286069,12.029379057163545,22.244922249886102,30.26937019056975,1.0767240536376086,2.255669789443207,4.658073729114905,8.442663474266592,12.270360199454018,3.7802834828913925,2.4974980955664208,5.586344250988193,5.066619297853422,3.1503740418227917,1.0236970915625867,3.1503740418227917,6.252833810217407,12.245219674369752,19.05106022615431,0.8982797389230868,2.4974980955664208,4.934508032890282,9.422339769613403,13.299713534347081
test,1280,0.91875,0.97421875,3.8442172186159715,1.7849191374117837,7.864401414996508,9.179883688510216,4.502518451807658,1.598286268413947,4.502518451807658,11.469959829978446,21.955896918201894,30.348450675693787,0.6843604913264141,1.7849191374117837,4.837766168540569,9.076367667857047,12.074944687123011,4.0208413198756165,2.1991272765390733,6.067975101840744,5.033712957294439,2.6152357284073,1.228704645629056,2.6152357284073,6.6291117769509915,14.220165129280188,18.067008422741267,1.0167052970803532,2.1991272765390733,5.681888029303487,11.077290182869119,13.676202736260503
