U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,SOC,SOH
3.5882,3.6089,3.6124,3.5926,3.5889,3.5687,3.565,3.585,3.5887,3.6301,3.6364,3.5966,3.5894,3.5487,3.5418,3.5813,3.5887,3.6507,3.66,3.6003,3.5899,3.5288,3.5188,3.5775,3.5887,3.6707,3.6828,3.6038,3.5901,3.5095,3.4964,3.5738,3.5885,3.6905,3.7051,3.6073,3.5903,3.4904,3.4744,3.5703,3.5883,20.0,0.8893080000000001
3.6809,3.7211,3.7244,3.6865,3.6823,3.6424,3.6387,3.6768,3.6816,3.7618,3.7681,3.6926,3.683,3.6026,3.5961,3.6726,3.6814,3.8011,3.8104,3.6977,3.6835,3.5634,3.5538,3.6688,3.6814,3.8399,3.8513,3.7014,3.684,3.5243,3.5116,3.6647,3.681,3.8782,3.8914,3.7054,3.6844,3.4855,3.4702,3.6614,3.6809,20.0,0.657092
3.601,3.6277,3.631,3.6057,3.6019,3.5755,3.572,3.5975,3.6015,3.6547,3.661,3.6103,3.6024,3.5492,3.5427,3.5936,3.6015,3.681,3.6902,3.6147,3.6027,3.5234,3.5137,3.5899,3.6013,3.707,3.7188,3.6184,3.6029,3.4974,3.4846,3.5862,3.6012,3.7325,3.7471,3.6229,3.6033,3.4718,3.456,3.5826,3.601,20.0,0.858012
3.7179,3.7595,3.7622,3.7216,3.719,3.6779,3.6751,3.7156,3.7186,3.8015,3.8062,3.7253,3.7195,3.637,3.6321,3.7132,3.7186,3.8426,3.8494,3.7286,3.7202,3.5966,3.5894,3.7102,3.7184,3.8828,3.8915,3.7318,3.7204,3.5566,3.5474,3.7077,3.7183,3.9226,3.933,3.7348,3.7209,3.5172,3.506,3.7051,3.7181,20.0,0.611424
3.5943,3.6192,3.6228,3.5989,3.5952,3.5706,3.5669,3.5908,3.5947,3.6445,3.651,3.6033,3.5955,3.5464,3.5394,3.5871,3.5947,3.6691,3.6788,3.6073,3.5959,3.5225,3.5125,3.5831,3.5947,3.6933,3.7056,3.6113,3.5961,3.4988,3.4858,3.5794,3.5945,3.7172,3.7318,3.6152,3.5964,3.4756,3.4598,3.5755,3.5943,20.0,0.886732
3.5982,3.6263,3.6298,3.6029,3.5991,3.5713,3.5676,3.5945,3.5987,3.6549,3.6617,3.6075,3.5996,3.5438,3.5369,3.5908,3.5987,3.6828,3.6923,3.6119,3.5999,3.5167,3.5069,3.5871,3.5985,3.7098,3.7221,3.6159,3.6001,3.4902,3.4776,3.5834,3.5985,3.7362,3.7511,3.6199,3.6005,3.4642,3.4491,3.5799,3.5982,20.0,0.870684
3.7204,3.7629,3.7657,3.7246,3.7214,3.6793,3.6765,3.7176,3.7209,3.8059,3.8108,3.7286,3.7221,3.638,3.6324,3.7146,3.7209,3.8475,3.8547,3.7323,3.7225,3.5969,3.5892,3.7118,3.7209,3.8882,3.8973,3.7358,3.723,3.5569,3.5471,3.7095,3.7209,3.9284,3.9391,3.7392,3.7237,3.5176,3.506,3.7067,3.7207,20.0,0.59246
3.6043,3.6356,3.6389,3.6087,3.605,3.5741,3.5706,3.601,3.6047,3.6672,3.6733,3.6129,3.6056,3.5434,3.5371,3.5971,3.6045,3.6979,3.707,3.6168,3.6057,3.513,3.5037,3.5936,3.6043,3.7283,3.74,3.6208,3.6059,3.483,3.4709,3.5899,3.6041,3.7581,3.7722,3.6242,3.6061,3.4533,3.4386,3.5862,3.6038,20.0,0.846124
3.6735,3.7086,3.7112,3.6775,3.6745,3.6398,3.6368,3.671,3.6742,3.7441,3.7492,3.6816,3.6752,3.6054,3.5999,3.6679,3.6742,3.7788,3.7862,3.6849,3.6756,3.571,3.5631,3.6651,3.674,3.8131,3.8225,3.6881,3.676,3.5369,3.5267,3.6619,3.6737,3.8468,3.858,3.6909,3.6761,3.5034,3.4907,3.6591,3.6735,20.0,0.665544
3.6868,3.7207,3.7232,3.6905,3.6875,3.6537,3.651,3.6839,3.687,3.7548,3.7597,3.694,3.6879,3.6203,3.6152,3.6812,3.6868,3.7883,3.7955,3.6972,3.6884,3.5871,3.5796,3.6781,3.6868,3.8215,3.8304,3.7005,3.6886,3.5543,3.5446,3.6752,3.6865,3.8543,3.865,3.7032,3.6889,3.5218,3.5099,3.6723,3.6863,20.0,0.646996
3.6228,3.6547,3.6577,3.627,3.6236,3.592,3.5887,3.6196,3.6233,3.687,3.6928,3.6312,3.6242,3.5608,3.5548,3.6163,3.6233,3.7186,3.7269,3.6352,3.6247,3.5299,3.5213,3.6131,3.6231,3.7497,3.7604,3.6387,3.6249,3.4993,3.4881,3.6099,3.6229,3.7802,3.7931,3.6419,3.625,3.4691,3.4556,3.6064,3.6228,20.0,0.788332
3.6698,3.71,3.7125,3.6735,3.6707,3.6307,3.628,3.6673,3.6703,3.7506,3.7553,3.677,3.6712,3.5912,3.5862,3.6645,3.6702,3.7902,3.7973,3.6805,3.6717,3.552,3.545,3.6619,3.67,3.8296,3.8382,3.6835,3.6721,3.5134,3.5043,3.6589,3.6698,3.868,3.8784,3.6863,3.6723,3.4753,3.4642,3.6559,3.6693,20.0,0.684388
3.7862,3.8271,3.8294,3.7897,3.7869,3.746,3.7437,3.7836,3.7864,3.8684,3.8728,3.7927,3.7874,3.7054,3.7009,3.7811,3.7862,3.9089,3.9151,3.7957,3.7878,3.6656,3.6589,3.7783,3.7859,3.9486,3.9567,3.7985,3.7881,3.6259,3.6175,3.7758,3.7855,3.9879,3.9974,3.8011,3.7883,3.5869,3.5766,3.7732,3.7853,20.0,0.53486
3.6414,3.6724,3.6765,3.6482,3.6429,3.6122,3.6078,3.6363,3.6424,3.7039,3.7118,3.6551,3.6435,3.582,3.5736,3.6312,3.6422,3.7341,3.7458,3.6617,3.6442,3.5518,3.5397,3.6261,3.6421,3.7637,3.7788,3.6672,3.6445,3.5216,3.506,3.6217,3.6419,3.7934,3.8108,3.6721,3.6452,3.4918,3.4727,3.6171,3.6417,20.0,0.7467199999999999
3.7002,3.7437,3.7465,3.7044,3.7014,3.6582,3.6556,3.6977,3.7009,3.7874,3.7925,3.7084,3.7021,3.6159,3.6108,3.6946,3.7009,3.8299,3.8371,3.7121,3.7025,3.5743,3.5668,3.6918,3.7007,3.8717,3.8808,3.7151,3.7028,3.533,3.5236,3.6888,3.7005,3.9124,3.9231,3.7188,3.7032,3.493,3.4814,3.686,3.7002,20.0,0.62786
3.6201,3.6508,3.6538,3.624,3.6206,3.5899,3.5868,3.6166,3.6201,3.6819,3.6875,3.628,3.621,3.5594,3.5536,3.6133,3.6201,3.7123,3.7207,3.6315,3.6212,3.5295,3.5209,3.6101,3.6199,3.7425,3.7532,3.6347,3.6214,3.4999,3.4886,3.6066,3.6196,3.7723,3.785,3.6384,3.6217,3.4707,3.457,3.6036,3.6196,20.0,0.803888
3.5801,3.5991,3.6017,3.5836,3.5808,3.562,3.5592,3.5775,3.5804,3.6184,3.6236,3.5873,3.5813,3.5436,3.5381,3.5748,3.5806,3.6377,3.6451,3.5903,3.5817,3.5251,3.5174,3.5717,3.5806,3.6563,3.6658,3.5934,3.582,3.5069,3.4967,3.5687,3.5803,3.6749,3.6863,3.5959,3.5822,3.4888,3.4762,3.5659,3.5803,20.0,0.9224720000000001
3.5789,3.6017,3.6054,3.584,3.5799,3.5573,3.5534,3.575,3.5796,3.6247,3.6319,3.5889,3.5803,3.5353,3.5278,3.5706,3.5794,3.6473,3.6575,3.5929,3.5806,3.5132,3.5023,3.5662,3.5792,3.6693,3.6826,3.5975,3.5808,3.4914,3.477,3.562,3.5792,3.691,3.7072,3.6015,3.581,3.47,3.4521,3.5583,3.5789,20.0,0.9456640000000001
3.5908,3.6177,3.6215,3.5959,3.5917,3.5652,3.5611,3.5866,3.5913,3.6447,3.6521,3.601,3.592,3.5392,3.5316,3.5822,3.5912,3.6712,3.6817,3.6056,3.5924,3.5137,3.5028,3.578,3.591,3.697,3.7105,3.6094,3.5927,3.4888,3.4746,3.5738,3.5908,3.7221,3.7383,3.6138,3.5929,3.4644,3.4472,3.5697,3.5908,20.0,0.895468
3.601,3.6301,3.6331,3.6052,3.6017,3.5731,3.5701,3.598,3.6015,3.6593,3.6649,3.6092,3.6024,3.5448,3.5388,3.5945,3.6013,3.6881,3.6961,3.6129,3.6026,3.5164,3.5076,3.5915,3.6013,3.7165,3.7272,3.6164,3.6029,3.4883,3.4767,3.588,3.6012,3.7446,3.7576,3.6199,3.6033,3.4602,3.446,3.5848,3.601,20.0,0.84966
3.6168,3.6514,3.6547,3.6217,3.618,3.5834,3.5801,3.6131,3.6175,3.6865,3.6928,3.6268,3.6185,3.5495,3.5429,3.6094,3.6175,3.7207,3.73,3.6314,3.6189,3.5157,3.506,3.6057,3.6175,3.7546,3.7664,3.6357,3.6194,3.4821,3.4693,3.6022,3.6173,3.788,3.8024,3.64,3.6198,3.4486,3.4333,3.5987,3.6171,20.0,0.815804
3.6579,3.6798,3.6826,3.6626,3.6593,3.6377,3.6345,3.6545,3.6587,3.7021,3.7077,3.6684,3.66,3.6166,3.6108,3.6508,3.6587,3.7235,3.7316,3.6728,3.6605,3.5957,3.5873,3.6473,3.6586,3.7442,3.7546,3.6775,3.6612,3.575,3.5643,3.644,3.6586,3.765,3.7771,3.6805,3.6617,3.5541,3.5411,3.6408,3.6582,20.0,0.663248
