stage,epoch,train_loss,train_cls_acc,train_soc_rmse,train_soc_mae,train_soc_mape,train_soc_medape,train_soh_rmse,train_soh_mae,train_soh_mape,train_soh_medape,val_loss,val_cls_acc,val_soc_rmse,val_soc_mae,val_soc_mape,val_soc_medape,val_soh_rmse,val_soh_mae,val_soh_mape,val_soh_medape,val_soc_rmse_raw,val_soc_mae_raw,val_soc_mape_raw,val_soc_medape_raw,val_soh_rmse_raw,val_soh_mae_raw,val_soh_mape_raw,val_soh_medape_raw,val_score,best_score_so_far
finetune,0,-2.4116916938418638,0.9814412722631378,0.16669969511525662,0.09964264341846224,244.14229600840503,7.414810390622009,0.3059862245733467,0.19621420488673008,102.29336253581748,18.93125778492148,1.1115689181814006,0.9803921568627451,0.4780854918374243,0.24743183737565927,80.29913806908358,26.096544595545158,0.47582306438859107,0.35628690955539544,114.73386149499783,40.80341443919086,10.628632022759163,5.500819403813595,12.17882395791641,7.753570927299997,0.04995922689351429,0.03740848203005646,4.890523414791123,3.206312674839858,0.8850013012401435,0.8850013012401435
finetune,1,-2.4815651338805105,0.9820281095038291,0.16510778260750034,0.09806465536850531,243.1772485556533,7.261821354369653,0.30025655780555627,0.19125422893344207,102.32226329883265,18.13264605233569,1.4415070987215228,0.9529411764705882,0.4918885329053829,0.2637910595090658,89.78498943888091,25.868882414302885,0.4871694063374717,0.3401572966382054,110.4223202888305,33.1280570799499,10.935496478617308,5.86451199688162,13.017754084721453,7.617428409679802,0.051150540459963416,0.03571494707611323,4.620562142975412,2.7206088449630648,0.8550353825463027,0.8850013012401435
finetune,2,-2.492350153630477,0.9813532466770342,0.16772303926745816,0.09947241336878763,245.503789090313,7.387756247554114,0.2940608846602371,0.18804779533602037,96.91360176533694,18.080609624635443,1.5902447971643185,0.9235294117647059,0.5295233690622742,0.29287447541879086,134.38185547009115,28.340844069599097,0.4705621535790275,0.33251715263205706,117.5434937735248,33.42583929935478,11.772181196262856,6.511084484327954,14.774297094755582,8.150447335587637,0.04940685552593619,0.034912767197773906,4.547576413607084,2.5389350956708334,0.8235208595005757,0.8850013012401435
finetune,3,-2.530967154065921,0.982438895572313,0.1612770683127636,0.09606466882258387,236.19070645104424,7.202766417885933,0.2920263699419789,0.18708193709010054,97.7530692149022,17.969098225460485,1.412566819377974,0.9588235294117647,0.48855640866117367,0.2556802924138074,99.32901873842209,25.77835247043613,0.46966969203158476,0.3456312406351607,120.89166254209427,34.97560680872608,10.86141783985816,5.684196215813911,12.672534581625966,7.76212144448227,0.049313151180183805,0.036289685945692166,4.786665768139979,3.1162118386269433,0.8630009193424889,0.8850013012401435
finetune,4,-2.54462087738175,0.9812505501599131,0.16540919167985899,0.09861320374113734,244.6344334422236,7.251720551117858,0.2887020844662535,0.18444091318154046,96.04161973224718,17.706504599450028,1.5891748582615572,0.9509803921568627,0.5553656674970687,0.3066805606817498,140.61590014973294,28.060807278818366,0.4819179515937626,0.35414960991646,141.80912546892648,34.896229207293786,12.346698276105887,6.818016617681056,16.331194296825174,8.188677777593877,0.05059916193568128,0.03718407542686204,4.761128434955066,3.206158262100349,0.8472520302477795,0.8850013012401435
finetune,5,-2.5599209415545707,0.9805463454710835,0.16698881887705125,0.099152709560017,244.31287463993084,7.397556937087025,0.2947905609955474,0.1873482015307243,93.72178113636289,17.949461198020337,1.4716514250811408,0.9294117647058824,0.5101759535220529,0.27001188045878916,99.54333060429033,28.01596843625378,0.4687743148470188,0.3274915733758141,146.0511681796564,26.230349177014844,11.342056116377872,6.0028111460567315,13.468463535918538,7.885560325115512,0.04921914070598267,0.03438510455776169,4.311845153308311,2.7704040343780503,0.8315167378689752,0.8850013012401435
finetune,6,-2.4999099874618183,0.9770253220269358,0.1717815614774002,0.10148027498214622,250.73148486059608,7.444328272029313,0.3010658016664301,0.19128063448037064,99.05248468883781,18.193203158883392,1.6014016361797556,0.9235294117647059,0.49512469318058694,0.260627140838872,108.90457031238803,26.67810423459866,0.5249114403633962,0.3769070959777809,117.6772548052551,36.36132566779803,11.007441679463334,5.794172846521326,13.111655607476788,7.70320587872404,0.05511327993697208,0.03957350648801592,5.142248025681283,3.410133226445258,0.8215257984103076,0.8850013012401435
finetune,7,-2.54974396576264,0.9815439687802588,0.1691279795251312,0.09969111454235145,249.52980416024428,7.244339534399351,0.2896709976713499,0.18285115036889157,94.1931064376303,17.43819832686669,2.052418963581908,0.9098039215686274,0.6105022598274265,0.3344486486203238,132.8283599970848,29.04981491860883,0.44021541678131376,0.2948228890331937,107.7106408464005,23.35976509535559,13.572476010159232,7.435347186614287,17.199186250150884,8.295257006376264,0.04622058814500784,0.03095504339525218,4.0324069822317155,2.35675871522948,0.8047321539077534,0.8850013012401435
finetune,8,-2.5245959841517025,0.9803996361609107,0.17000342490875434,0.09961180071723462,237.5258763699854,7.346475878746508,0.2874102654048897,0.1841553572406904,92.44661584837117,17.82459438632283,1.4896147382025626,0.9470588235294117,0.49279257235328766,0.2589812803483915,91.1615016692518,24.646288747500265,0.4425514612314002,0.32832196078756276,150.8630340560125,29.585275335142526,10.955594772311409,5.75758264285946,12.745254626067586,7.904007697298056,0.04646586203660694,0.03447229140560056,4.473278585125798,3.0419448138624197,0.8535244201709429,0.8850013012401435
finetune,9,-2.5016106902662814,0.9798861535753058,0.17242705429244357,0.10218654819696495,247.80174522641806,7.596299518651253,0.2945812166446841,0.18762076714273865,95.9070882041627,17.964617382672763,1.5163867165060605,0.9352941176470588,0.48096105743123513,0.25383061868522094,89.009744993063,25.817121821926612,0.48351079042661377,0.3344887738718706,138.54060891715216,29.87441824094519,10.69256060682152,5.643074906426854,12.834839565831013,7.750258674829313,0.05076640266571497,0.03511977833329858,4.417943831344762,2.731667453344659,0.838846932861274,0.8850013012401435
