order,epoch,train_loss,train_cls_acc,val_loss,val_cls_acc,val_soc_rmse_raw,val_soc_mae_raw,val_soc_mape_raw,val_soc_medape_raw,val_soh_rmse_raw,val_soh_mae_raw,val_soh_mape_raw,val_soh_medape_raw,val_score,elapsed_sec
SOH_M_SOC,0,3.555055044419378,0.41097679058713066,1.1894313218546848,0.592156862745098,18.12604632871892,12.803807346072544,34.82031099962439,21.043435475037754,0.11316463804914645,0.09217648891657512,12.135971554409634,9.933832000780072,0.18304586797911906,116.62762546539307
SOH_M_SOC,1,2.0306498537544617,0.6391537806989231,0.9629302494666155,0.6333333333333333,16.448385461928815,11.08734838497184,32.37545103334936,16.67252254966891,0.10069139589933414,0.08164011803753518,10.52746325593655,8.842687598484707,0.2897543558669501,233.351731300354
SOH_M_SOC,2,1.446705968666586,0.7364807370675743,0.720319042486303,0.7254901960784313,14.825541598103873,9.88278201855352,30.221155149245035,13.508425575395375,0.09580296754932743,0.0766029527829556,9.924856691372252,7.715623120759512,0.4360934779092873,350.173814535141
SOH_M_SOC,3,1.049317630991571,0.7862005222851443,0.6289939370809817,0.7666666666666667,14.518455300509048,9.58188607056361,31.187831015490296,13.333320698076506,0.10034807602012889,0.07941100726083763,10.511937586186349,7.815756664758244,0.4770183263907368,465.9061462879181
SOH_M_SOC,4,0.7858423453283115,0.8128869458055809,0.6518294043400709,0.7470588235294118,14.527342161347965,9.315942231948373,25.26624133540984,12.949291302206166,0.09023157970123062,0.07313118202306218,9.286784148035986,7.99239523934059,0.45771800572053833,582.0283398628235
SOH_M_SOC,5,0.5543541231584158,0.8318417886799097,0.6452285834387237,0.7431372549019608,14.865378872437546,9.586570687149026,26.275483446082088,13.021764536157864,0.09392819818753734,0.07717079821143265,9.841705044139221,8.229988288566986,0.44831984376904244,697.832240819931
SOH_M_SOC,6,0.3327480350806293,0.8515008362430679,0.6117208802232555,0.7705882352941177,15.568003871854131,9.897235672977617,25.067368442054896,13.38954090840605,0.09422712022892893,0.0743224571032364,9.766286265543036,6.839266137726407,0.49990750345552903,834.3434906005859
SOH_M_SOC,7,0.13051153090516712,0.8638097473665679,0.6629155199901731,0.7588235294117647,15.841416146794485,10.35544440514386,26.432829322596444,13.197433665155097,0.09103780108281898,0.07346276327429528,9.58098978005993,7.293688852919133,0.480975415701831,952.3540267944336
SOH_M_SOC,8,0.004509792366251973,0.8781432469704528,0.5089151416339126,0.7843137254901961,14.824296868367814,9.704843803689894,24.797955116146305,12.304536423100167,0.08783313067770178,0.06899576846070467,8.994144307873766,6.52398778647899,0.5307886055296146,1068.2419381141663
SOH_M_SOC,9,-0.234362513783574,0.8942372582964115,0.6331752228970621,0.7411764705882353,13.76644822402312,8.710017857942404,22.08181872281906,11.873431401702682,0.09099684304346317,0.07266823913530542,9.345659637808238,7.079593611206044,0.4808502843470876,1185.2772018909454
