U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,SOC,SOH,material_capacity,pulse_ms
3.398,3.423,3.4319,3.4102,3.3996,3.3754,3.3664,3.3882,3.3989,3.4488,3.466,3.4217,3.4005,3.351,3.3343,3.3782,3.3987,3.4739,3.4992,3.4328,3.401,3.3266,3.3027,3.3694,3.3986,3.499,3.532,3.4428,3.4017,3.3022,3.2719,3.3608,3.3984,3.5239,3.5638,3.4526,3.4022,3.2778,3.2418,3.3522,3.398,20.0,0.60549,LMO_10Ah,100
3.4077,3.4353,3.4489,3.4286,3.4103,3.3842,3.3703,3.3912,3.4096,3.4642,3.4904,3.4474,3.4114,3.3575,3.3318,3.375,3.4093,3.4914,3.5299,3.4647,3.4121,3.3308,3.2943,3.3598,3.4089,3.5185,3.5683,3.4806,3.413,3.3045,3.2578,3.3459,3.4086,3.5453,3.6054,3.4941,3.4135,3.2781,3.2227,3.3345,3.4082,20.0,0.63985,LMO_10Ah,100
3.394,3.4196,3.43,3.4089,3.3956,3.371,3.3605,3.3817,3.3949,3.446,3.466,3.423,3.3965,3.3459,3.3264,3.3696,3.3947,3.4716,3.5011,3.4363,3.397,3.3206,3.2927,3.3591,3.3945,3.4972,3.5357,3.4482,3.3975,3.2957,3.2599,3.3471,3.3938,3.5223,3.5692,3.4609,3.3982,3.2711,3.2283,3.3376,3.3938,20.0,0.6453599999999999,LMO_10Ah,100
3.3445,3.3684,3.3782,3.3577,3.3461,3.3229,3.3131,3.3338,3.3455,3.3936,3.4121,3.3699,3.3469,3.2994,3.2808,3.3225,3.3454,3.4177,3.4447,3.3812,3.3475,3.2755,3.2486,3.3134,3.3454,3.4421,3.4767,3.3919,3.3482,3.2523,3.2176,3.3022,3.345,3.4658,3.5076,3.4012,3.3485,3.2286,3.187,3.2918,3.3445,20.0,0.63319,LMO_10Ah,100
3.5232,3.5543,3.5694,3.5459,3.5253,3.4953,3.4804,3.5046,3.5241,3.5864,3.6157,3.5685,3.5264,3.4649,3.4375,3.4869,3.5237,3.6177,3.6607,3.5876,3.5271,3.4342,3.3958,3.4714,3.5232,3.6486,3.7046,3.6054,3.5276,3.4038,3.3556,3.4577,3.5225,3.6789,3.7471,3.6219,3.5283,3.3736,3.3171,3.4461,3.522,20.0,0.55447,LMO_10Ah,100
3.4124,3.4449,3.4563,3.4284,3.4147,3.3833,3.3717,3.3998,3.414,3.4788,3.5004,3.4442,3.4159,3.3519,3.3301,3.3868,3.4142,3.5113,3.5427,3.459,3.4172,3.3206,3.2897,3.3745,3.4142,3.5436,3.584,3.4693,3.4175,3.2888,3.2492,3.3626,3.4137,3.5752,3.6235,3.4813,3.4182,3.2578,3.2102,3.3517,3.4133,20.0,0.65591,LMO_10Ah,100
3.3512,3.3754,3.3845,3.3638,3.3524,3.3289,3.3194,3.3401,3.3517,3.4003,3.4179,3.3756,3.3531,3.3048,3.2871,3.3294,3.3513,3.4247,3.4505,3.3859,3.3534,3.2806,3.2553,3.3196,3.3512,3.4491,3.4825,3.3966,3.354,3.2567,3.2242,3.3096,3.3508,3.473,3.5137,3.4056,3.3543,3.2328,3.1937,3.2999,3.3503,20.0,0.65152,LMO_10Ah,100
3.3073,3.3299,3.3371,3.3166,3.3083,3.2866,3.279,3.2992,3.3076,3.3529,3.3666,3.3252,3.3087,3.2641,3.2502,3.2913,3.3073,3.3754,3.3954,3.3334,3.309,3.2416,3.2218,3.2834,3.3069,3.3979,3.4242,3.3413,3.3094,3.2195,3.1937,3.2759,3.3067,3.4202,3.4523,3.3487,3.3097,3.1972,3.1665,3.2688,3.3064,20.0,0.69576,LMO_10Ah,100
3.387,3.4124,3.4247,3.4049,3.3894,3.3657,3.3529,3.3726,3.3887,3.4391,3.4628,3.4221,3.3907,3.3413,3.3176,3.3585,3.3887,3.4646,3.499,3.4377,3.3917,3.3168,3.2832,3.3447,3.3884,3.4895,3.5341,3.4507,3.3921,3.2922,3.2495,3.3336,3.3884,3.5146,3.5683,3.463,3.3928,3.2676,3.2172,3.3213,3.3877,20.0,0.6653800000000001,LMO_10Ah,100
3.361,3.3898,3.3996,3.3726,3.3627,3.3343,3.3248,3.3517,3.3622,3.4214,3.4384,3.3842,3.3638,3.3052,3.2881,3.3427,3.3622,3.4514,3.4762,3.3942,3.3643,3.2759,3.2519,3.3329,3.3619,3.4809,3.5129,3.404,3.365,3.2471,3.2165,3.3252,3.3619,3.51,3.5492,3.4121,3.3654,3.2183,3.1821,3.3164,3.3613,20.0,0.69119,LMO_10Ah,100
3.4704,3.5006,3.5137,3.49,3.4735,3.4447,3.4319,3.4561,3.4728,3.5325,3.558,3.5092,3.4749,3.4159,3.3921,3.4419,3.4728,3.5627,3.6001,3.5258,3.4758,3.3868,3.3533,3.4291,3.4725,3.5926,3.6414,3.5406,3.4765,3.3578,3.3157,3.4173,3.4721,3.6222,3.6812,3.5553,3.4772,3.329,3.2795,3.4079,3.4719,20.0,0.56791,LMO_10Ah,100
3.3348,3.3587,3.3687,3.3482,3.3368,3.3138,3.3034,3.3238,3.3361,3.3842,3.403,3.361,3.3376,3.2904,3.2709,3.3127,3.3361,3.4084,3.4356,3.3719,3.3382,3.2664,3.2388,3.3008,3.3357,3.4321,3.4672,3.3822,3.3385,3.2427,3.2073,3.2901,3.3352,3.4556,3.4979,3.3914,3.3389,3.2193,3.1768,3.2804,3.3348,20.0,0.69997,LMO_10Ah,100
3.3849,3.4112,3.4212,3.3982,3.3863,3.3615,3.351,3.3738,3.3856,3.4382,3.4572,3.4103,3.3872,3.3357,3.3166,3.3626,3.3852,3.4647,3.4923,3.4216,3.3875,3.3094,3.2825,3.3522,3.3847,3.4907,3.5264,3.4333,3.3882,3.2837,3.2498,3.3424,3.3845,3.5167,3.5599,3.4425,3.3886,3.2581,3.2176,3.3327,3.3838,20.0,0.67829,LMO_10Ah,100
3.3682,3.3929,3.4047,3.3838,3.3703,3.3464,3.335,3.3557,3.3696,3.4202,3.4414,3.3993,3.3712,3.3217,3.3006,3.3427,3.3692,3.4454,3.4767,3.4124,3.3717,3.2969,3.2669,3.3306,3.3689,3.4704,3.5111,3.4261,3.3726,3.2725,3.2344,3.319,3.3687,3.4951,3.5446,3.4375,3.3731,3.2479,3.2026,3.3094,3.3684,20.0,0.67698,LMO_10Ah,100
3.3705,3.4098,3.4198,3.3838,3.3726,3.3343,3.3241,3.3598,3.3719,3.4505,3.4695,3.397,3.3736,3.2957,3.2771,3.3492,3.3719,3.4897,3.5174,3.4082,3.3743,3.2572,3.2304,3.3389,3.3715,3.5288,3.5643,3.4186,3.3747,3.2188,3.1847,3.329,3.371,3.5671,3.6101,3.4282,3.3752,3.1802,3.1401,3.3203,3.3706,20.0,0.69477,LMO_10Ah,100
3.3338,3.3573,3.3659,3.3454,3.3355,3.3134,3.3043,3.325,3.3352,3.3817,3.398,3.3561,3.3364,3.2906,3.274,3.3152,3.335,3.4052,3.4289,3.3661,3.3369,3.2674,3.2439,3.3059,3.3348,3.4282,3.4593,3.3756,3.3373,3.2446,3.2146,3.2973,3.3343,3.4514,3.489,3.3843,3.3378,3.2218,3.1858,3.2887,3.3341,20.0,0.6853,LMO_10Ah,100
3.3619,3.3866,3.3996,3.3812,3.3643,3.3415,3.328,3.3464,3.3636,3.4124,3.4372,3.3989,3.3654,3.3178,3.2925,3.3306,3.3636,3.4368,3.4728,3.4137,3.3661,3.2936,3.2578,3.3159,3.3631,3.4611,3.5072,3.4279,3.3668,3.2698,3.2244,3.3027,3.3629,3.4853,3.5404,3.4393,3.3673,3.246,3.1921,3.2909,3.3624,20.0,0.66769,LMO_10Ah,100
3.274,3.3027,3.3094,3.2827,3.2753,3.2477,3.2406,3.2674,3.275,3.3322,3.3447,3.2908,3.2761,3.2195,3.2065,3.2602,3.2748,3.3608,3.3791,3.2978,3.2764,3.1909,3.1723,3.2532,3.2746,3.3893,3.413,3.3048,3.2769,3.1628,3.1389,3.2462,3.2744,3.4172,3.4463,3.3118,3.2772,3.1349,3.1059,3.2402,3.2743,20.0,0.79655,LMO_10Ah,100
3.3533,3.381,3.3859,3.3592,3.3541,3.3271,3.322,3.3487,3.3536,3.4096,3.4184,3.3647,3.3547,3.299,3.2901,3.344,3.3536,3.4372,3.45,3.3696,3.355,3.2713,3.2585,3.3389,3.3533,3.4649,3.4813,3.3745,3.3554,3.2441,3.2274,3.3341,3.3529,3.4918,3.512,3.3794,3.3557,3.217,3.1967,3.3292,3.3527,20.0,0.71776,LMO_10Ah,100
3.2997,3.3243,3.3368,3.3173,3.3015,3.2785,3.2655,3.2848,3.3008,3.3499,3.3736,3.3333,3.3022,3.2541,3.23,3.2697,3.3004,3.3745,3.4089,3.3469,3.3027,3.2296,3.1951,3.2562,3.3002,3.3989,3.4432,3.3608,3.3034,3.2058,3.1617,3.2421,3.2999,3.4228,3.476,3.3729,3.3039,3.1821,3.1293,3.2298,3.2994,20.0,0.76227,LMO_10Ah,100
3.3108,3.3327,3.3429,3.3252,3.3129,3.2922,3.2813,3.2992,3.3122,3.3559,3.3756,3.3383,3.3136,3.2709,3.2509,3.2874,3.3122,3.378,3.4065,3.3506,3.3143,3.2493,3.2207,3.2755,3.3118,3.3996,3.4368,3.3622,3.315,3.2281,3.1913,3.2655,3.3118,3.4216,3.4663,3.3719,3.3155,3.2068,3.1631,3.2548,3.3113,20.0,0.72993,LMO_10Ah,100
3.4244,3.4491,3.4614,3.4433,3.4272,3.4038,3.3917,3.4107,3.4267,3.4756,3.4993,3.4619,3.4288,3.3803,3.3578,3.3961,3.4265,3.5002,3.5353,3.4781,3.4296,3.3566,3.3245,3.3833,3.4263,3.5246,3.5706,3.4934,3.4302,3.3329,3.2923,3.3705,3.4256,3.5487,3.6047,3.5069,3.4307,3.309,3.2609,3.3603,3.4249,20.0,0.6051300000000001,LMO_10Ah,100
3.3375,3.3673,3.3733,3.345,3.3387,3.3097,3.3032,3.3315,3.338,3.3977,3.4087,3.352,3.3392,3.2802,3.2683,3.3252,3.3378,3.4274,3.443,3.3584,3.3396,3.2506,3.2335,3.319,3.3378,3.4565,3.4767,3.3645,3.3401,3.2214,3.1995,3.3127,3.3373,3.4851,3.5093,3.3708,3.3405,3.1928,3.1661,3.306,3.3371,20.0,0.7556499999999999,LMO_10Ah,100
3.2855,3.3117,3.318,3.2932,3.2869,3.2616,3.2548,3.2795,3.2862,3.3389,3.3503,3.2999,3.2874,3.2355,3.2235,3.2732,3.286,3.365,3.3812,3.3069,3.288,3.2098,3.193,3.2671,3.2859,3.3908,3.4117,3.3131,3.2885,3.1849,3.1631,3.2609,3.2857,3.4163,3.4412,3.3187,3.2888,3.1598,3.1338,3.2544,3.2852,20.0,0.80253,LMO_10Ah,100
