U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,SOC,SOH,material_capacity,pulse_ms
3.5518,3.5771,3.5792,3.5552,3.5529,3.5278,3.5258,3.5499,3.5525,3.6026,3.6064,3.5587,3.5536,3.5034,3.4993,3.5473,3.5524,3.6277,3.6331,3.5617,3.5541,3.4786,3.4725,3.5446,3.5522,3.6524,3.6598,3.5645,3.5545,3.4537,3.4456,3.5416,3.5518,3.677,3.6861,3.5678,3.555,3.4291,3.4189,3.539,3.5518,20.0,0.6521666666666667,LMO_24Ah,100
3.5074,3.5336,3.536,3.5116,3.509,3.4832,3.4807,3.5053,3.5085,3.5599,3.5645,3.5157,3.5097,3.4581,3.453,3.5025,3.5085,3.5855,3.5922,3.5195,3.5104,3.433,3.4254,3.4993,3.5085,3.6105,3.6192,3.5225,3.5106,3.4077,3.3973,3.4956,3.5081,3.6352,3.6461,3.5262,3.5111,3.3824,3.3692,3.4923,3.5078,20.0,0.7438291666666667,LMO_24Ah,100
3.5611,3.5778,3.5803,3.5648,3.562,3.5457,3.5429,3.5587,3.5618,3.5945,3.5994,3.568,3.5625,3.5295,3.5239,3.5557,3.5618,3.6108,3.6177,3.5711,3.5629,3.5134,3.5048,3.5527,3.5618,3.6268,3.6357,3.5738,3.5631,3.4969,3.4855,3.5492,3.5617,3.6428,3.6533,3.5766,3.5636,3.4807,3.4663,3.546,3.5615,20.0,1.117775,LMO_24Ah,100
3.5557,3.572,3.5747,3.5592,3.5562,3.5401,3.5373,3.5529,3.5559,3.5882,3.5931,3.5622,3.5566,3.5239,3.5183,3.5499,3.5559,3.6043,3.6113,3.565,3.5567,3.5078,3.4993,3.5466,3.5557,3.6201,3.6291,3.5678,3.5569,3.4914,3.48,3.5432,3.5555,3.6357,3.6465,3.5706,3.5573,3.4751,3.4611,3.5401,3.5555,20.0,1.104579166666667,LMO_24Ah,100
3.4324,3.4521,3.4539,3.4356,3.4335,3.4144,3.4124,3.4307,3.433,3.4719,3.4753,3.4386,3.4342,3.3954,3.3917,3.4286,3.433,3.4913,3.4962,3.4412,3.4346,3.3761,3.3708,3.4261,3.4328,3.5104,3.5171,3.4437,3.4349,3.357,3.3499,3.4237,3.4326,3.5295,3.5373,3.446,3.4351,3.3378,3.3289,3.4212,3.4323,20.0,0.8234416666666666,LMO_24Ah,100
3.4444,3.4672,3.4691,3.4479,3.4456,3.4233,3.4214,3.4428,3.4453,3.4902,3.4939,3.4514,3.4463,3.4014,3.3975,3.4402,3.4451,3.5127,3.5181,3.4542,3.4468,3.3793,3.3733,3.4377,3.4449,3.5348,3.5418,3.457,3.4472,3.3571,3.3489,3.4351,3.4447,3.5569,3.5655,3.4584,3.447,3.3343,3.3241,3.4319,3.4442,20.0,0.7983875,LMO_24Ah,100
3.4802,3.5048,3.5074,3.4839,3.4811,3.4563,3.4537,3.4774,3.4804,3.5297,3.5343,3.4874,3.4813,3.4317,3.4268,3.4741,3.48,3.5541,3.5606,3.4907,3.4816,3.4072,3.3998,3.4705,3.4797,3.5782,3.5868,3.4941,3.482,3.3828,3.3726,3.4674,3.4795,3.6024,3.6129,3.4974,3.4823,3.3582,3.3457,3.4642,3.4793,20.0,0.7655791666666666,LMO_24Ah,100
3.456,3.4769,3.4788,3.4591,3.4568,3.4361,3.4344,3.454,3.4563,3.4979,3.5013,3.4619,3.4574,3.4158,3.4123,3.4518,3.4563,3.5186,3.5236,3.4644,3.4577,3.3954,3.39,3.4493,3.456,3.5392,3.5457,3.4672,3.4581,3.375,3.3677,3.4467,3.4558,3.5594,3.5676,3.4698,3.4586,3.3545,3.3452,3.4442,3.4556,20.0,0.7796375000000001,LMO_24Ah,100
3.4316,3.4502,3.4516,3.4344,3.4326,3.4142,3.4126,3.43,3.4319,3.4686,3.4714,3.4367,3.4328,3.3961,3.3931,3.4281,3.4316,3.4869,3.4909,3.4388,3.4333,3.378,3.3735,3.4258,3.4314,3.5048,3.5104,3.4409,3.4335,3.3598,3.3538,3.4238,3.4312,3.523,3.5297,3.4428,3.4337,3.3417,3.3343,3.4214,3.4309,20.0,0.8063875,LMO_24Ah,100
3.5395,3.5673,3.5703,3.5443,3.5408,3.5132,3.51,3.5364,3.5402,3.5954,3.6012,3.5488,3.5415,3.4862,3.48,3.5329,3.5401,3.6231,3.6312,3.5529,3.542,3.459,3.4497,3.529,3.5399,3.6498,3.6605,3.5576,3.5425,3.4319,3.4196,3.5246,3.5399,3.6763,3.6895,3.5617,3.5429,3.4049,3.3894,3.5206,3.5395,20.0,0.6645541666666667,LMO_24Ah,100
3.5761,3.6068,3.6105,3.5817,3.5776,3.5473,3.5434,3.5724,3.5769,3.6379,3.6447,3.5873,3.5783,3.5176,3.5099,3.5678,3.5769,3.6679,3.6779,3.5924,3.5789,3.4876,3.4762,3.5631,3.5768,3.6975,3.7105,3.5975,3.5794,3.4576,3.4423,3.5576,3.5764,3.727,3.7425,3.6024,3.5797,3.4277,3.4086,3.5518,3.5759,20.0,0.6395541666666666,LMO_24Ah,100
3.4486,3.4695,3.4714,3.4518,3.4493,3.4286,3.4265,3.4463,3.4488,3.4907,3.4942,3.4549,3.4498,3.4079,3.404,3.4439,3.4488,3.5116,3.5169,3.4576,3.4504,3.3873,3.3814,3.4414,3.4486,3.5322,3.5392,3.4602,3.4507,3.3664,3.3587,3.4384,3.4481,3.5527,3.5615,3.4625,3.4509,3.3455,3.3357,3.4358,3.4479,20.0,0.7896916666666667,LMO_24Ah,100
3.5076,3.5343,3.5371,3.512,3.5088,3.4825,3.4795,3.5048,3.5083,3.5611,3.5664,3.5162,3.5093,3.4563,3.4505,3.5011,3.5081,3.5873,3.595,3.5204,3.5099,3.4303,3.4216,3.4976,3.5081,3.6133,3.6233,3.5246,3.5104,3.4044,3.3926,3.4935,3.5078,3.6389,3.651,3.528,3.5106,3.3782,3.3636,3.489,3.5074,20.0,0.7442208333333333,LMO_24Ah,100
3.4551,3.4781,3.4802,3.4588,3.4565,3.4337,3.4316,3.4532,3.456,3.5014,3.5055,3.4625,3.4572,3.4114,3.4072,3.4507,3.456,3.5241,3.5302,3.4656,3.4577,3.3891,3.3824,3.4479,3.456,3.5466,3.5545,3.469,3.4581,3.3668,3.358,3.4449,3.4558,3.5687,3.5782,3.4718,3.4584,3.3445,3.3333,3.4421,3.4556,20.0,0.7858583333333334,LMO_24Ah,100
3.4244,3.4428,3.4444,3.4272,3.4256,3.4072,3.4058,3.4231,3.4251,3.4616,3.4644,3.4296,3.4261,3.3896,3.3864,3.4212,3.4249,3.4797,3.4839,3.4321,3.4265,3.3715,3.3671,3.4191,3.4249,3.4978,3.5032,3.4344,3.427,3.3536,3.3475,3.417,3.4247,3.516,3.523,3.4367,3.4272,3.3352,3.3278,3.4151,3.4244,20.0,0.7951625,LMO_24Ah,100
3.4395,3.4628,3.4651,3.4433,3.4407,3.4177,3.4152,3.4372,3.4402,3.4862,3.4907,3.4472,3.4414,3.3952,3.3903,3.4344,3.4402,3.5092,3.5155,3.4502,3.4418,3.3724,3.365,3.431,3.4398,3.5316,3.5399,3.4535,3.4421,3.3496,3.3397,3.4279,3.4395,3.5539,3.5641,3.4568,3.4423,3.3269,3.3148,3.4244,3.4393,20.0,0.8155541666666667,LMO_24Ah,100
3.4309,3.4491,3.4505,3.4333,3.4316,3.4135,3.4121,3.4293,3.4309,3.4672,3.4698,3.4356,3.4319,3.3956,3.3928,3.4274,3.4307,3.4851,3.489,3.4375,3.4323,3.3777,3.3736,3.4252,3.4305,3.503,3.5081,3.4398,3.4326,3.3598,3.3545,3.4233,3.4303,3.5209,3.5274,3.4416,3.4328,3.3419,3.335,3.4212,3.43,20.0,0.8018541666666666,LMO_24Ah,100
3.4667,3.4918,3.4944,3.4709,3.4679,3.4433,3.4405,3.4642,3.4674,3.5169,3.5218,3.4749,3.4686,3.4189,3.4135,3.4611,3.4672,3.5415,3.5485,3.4783,3.4688,3.3943,3.3863,3.4574,3.467,3.5659,3.575,3.4816,3.469,3.3696,3.3589,3.4535,3.4667,3.5899,3.601,3.4853,3.4695,3.3452,3.3315,3.4502,3.4665,20.0,0.7951083333333333,LMO_24Ah,100
