expected_confidence,observed_confidence,calibration_error_obs_minus_exp,absolute_calibration_deviation,is_core_10_90
0.0,0.0,0.0,0.0,0
0.010101010101010102,0.0,-0.010101010101010102,0.010101010101010102,0
0.020202020202020204,0.0,-0.020202020202020204,0.020202020202020204,0
0.030303030303030304,0.0,-0.030303030303030304,0.030303030303030304,0
0.04040404040404041,0.0,-0.04040404040404041,0.04040404040404041,0
0.05050505050505051,0.0,-0.05050505050505051,0.05050505050505051,0
0.06060606060606061,0.0,-0.06060606060606061,0.06060606060606061,0
0.07070707070707072,0.0,-0.07070707070707072,0.07070707070707072,0
0.08080808080808081,0.0,-0.08080808080808081,0.08080808080808081,0
0.09090909090909091,0.0,-0.09090909090909091,0.09090909090909091,0
0.10101010101010102,0.0,-0.10101010101010102,0.10101010101010102,1
0.11111111111111112,0.0,-0.11111111111111112,0.11111111111111112,1
0.12121212121212122,0.0,-0.12121212121212122,0.12121212121212122,1
0.13131313131313133,0.0,-0.13131313131313133,0.13131313131313133,1
0.14141414141414144,0.0,-0.14141414141414144,0.14141414141414144,1
0.15151515151515152,0.0,-0.15151515151515152,0.15151515151515152,1
0.16161616161616163,0.13046875,-0.031147411616161635,0.031147411616161635,1
0.17171717171717174,0.1875,0.01578282828282826,0.01578282828282826,1
0.18181818181818182,0.2140625,0.032244318181818166,0.032244318181818166,1
0.19191919191919193,0.2328125,0.04089330808080807,0.04089330808080807,1
0.20202020202020204,0.2578125,0.055792297979797956,0.055792297979797956,1
0.21212121212121213,0.275,0.0628787878787879,0.0628787878787879,1
0.22222222222222224,0.2953125,0.07309027777777774,0.07309027777777774,1
0.23232323232323235,0.3109375,0.07861426767676763,0.07861426767676763,1
0.24242424242424243,0.32421875,0.08179450757575757,0.08179450757575757,1
0.25252525252525254,0.33984375,0.08731849747474746,0.08731849747474746,1
0.26262626262626265,0.35703125,0.09440498737373737,0.09440498737373737,1
0.27272727272727276,0.3734375,0.10071022727272722,0.10071022727272722,1
0.2828282828282829,0.39609375,0.11326546717171715,0.11326546717171715,1
0.29292929292929293,0.41171875,0.1187894570707071,0.1187894570707071,1
0.30303030303030304,0.42421875,0.12118844696969694,0.12118844696969694,1
0.31313131313131315,0.4421875,0.12905618686868686,0.12905618686868686,1
0.32323232323232326,0.45703125,0.13379892676767674,0.13379892676767674,1
0.33333333333333337,0.4703125,0.13697916666666665,0.13697916666666665,1
0.3434343434343435,0.4828125,0.1393781565656565,0.1393781565656565,1
0.3535353535353536,0.4984375,0.1449021464646464,0.1449021464646464,1
0.36363636363636365,0.51640625,0.1527698863636363,0.1527698863636363,1
0.37373737373737376,0.5296875,0.15595012626262622,0.15595012626262622,1
0.38383838383838387,0.54453125,0.16069286616161615,0.16069286616161615,1
0.393939393939394,0.56328125,0.16934185606060598,0.16934185606060598,1
0.4040404040404041,0.584375,0.1803345959595959,0.1803345959595959,1
0.4141414141414142,0.59765625,0.1835148358585858,0.1835148358585858,1
0.42424242424242425,0.61640625,0.1921638257575758,0.1921638257575758,1
