expected_confidence,observed_confidence,calibration_error_obs_minus_exp,absolute_calibration_deviation,is_core_10_90
0.0,0.0,0.0,0.0,0
0.010101010101010102,0.0,-0.010101010101010102,0.010101010101010102,0
0.020202020202020204,0.0,-0.020202020202020204,0.020202020202020204,0
0.030303030303030304,0.0,-0.030303030303030304,0.030303030303030304,0
0.04040404040404041,0.0,-0.04040404040404041,0.04040404040404041,0
0.05050505050505051,0.0,-0.05050505050505051,0.05050505050505051,0
0.06060606060606061,0.0,-0.06060606060606061,0.06060606060606061,0
0.07070707070707072,0.04140625,-0.02930082070707072,0.02930082070707072,0
0.08080808080808081,0.07265625,-0.00815183080808081,0.00815183080808081,0
0.09090909090909091,0.090625,-0.0002840909090909144,0.0002840909090909144,0
0.10101010101010102,0.11015625,0.009146148989898975,0.009146148989898975,1
0.11111111111111112,0.1234375,0.012326388888888887,0.012326388888888887,1
0.12121212121212122,0.13359375,0.012381628787878796,0.012381628787878796,1
0.13131313131313133,0.1390625,0.0077493686868686795,0.0077493686868686795,1
0.14141414141414144,0.146875,0.005460858585858569,0.005460858585858569,1
0.15151515151515152,0.15703125,0.005516098484848492,0.005516098484848492,1
0.16161616161616163,0.16171875,0.00010258838383836455,0.00010258838383836455,1
0.17171717171717174,0.1703125,-0.0014046717171717349,0.0014046717171717349,1
0.18181818181818182,0.18125,-0.0005681818181818288,0.0005681818181818288,1
0.19191919191919193,0.19296875,0.0010495580808080607,0.0010495580808080607,1
0.20202020202020204,0.2015625,-0.00045770202020203876,0.00045770202020203876,1
0.21212121212121213,0.2140625,0.0019412878787878618,0.0019412878787878618,1
0.22222222222222224,0.22109375,-0.001128472222222232,0.001128472222222232,1
0.23232323232323235,0.2359375,0.0036142676767676463,0.0036142676767676463,1
0.24242424242424243,0.24765625,0.0052320075757575635,0.0052320075757575635,1
0.25252525252525254,0.25703125,0.004505997474747447,0.004505997474747447,1
0.26262626262626265,0.26796875,0.005342487373737326,0.005342487373737326,1
0.27272727272727276,0.284375,0.011647727272727226,0.011647727272727226,1
0.2828282828282829,0.29296875,0.010140467171717127,0.010140467171717127,1
0.29292929292929293,0.30859375,0.015664457070707072,0.015664457070707072,1
0.30303030303030304,0.31953125,0.01650094696969695,0.01650094696969695,1
0.31313131313131315,0.33359375,0.020462436868686873,0.020462436868686873,1
0.32323232323232326,0.34375,0.02051767676767674,0.02051767676767674,1
0.33333333333333337,0.35234375,0.01901041666666664,0.01901041666666664,1
0.3434343434343435,0.37109375,0.02765940656565652,0.02765940656565652,1
0.3535353535353536,0.38046875,0.02693339646464643,0.02693339646464643,1
0.36363636363636365,0.3921875,0.028551136363636376,0.028551136363636376,1
0.37373737373737376,0.40390625,0.030168876262626265,0.030168876262626265,1
0.38383838383838387,0.41640625,0.03256786616161611,0.03256786616161611,1
0.393939393939394,0.43125,0.037310606060606044,0.037310606060606044,1
0.4040404040404041,0.44453125,0.0404908459595959,0.0404908459595959,1
0.4141414141414142,0.45,0.03585858585858581,0.03585858585858581,1
