lo,hi,weight
0.426472,0.70686,0.824742317199707
0.70686,0.7724133333333333,1.0309278964996338
0.7724133333333333,0.7872733333333334,1.0309278964996338
0.7872733333333334,0.8133142857142858,1.0309278964996338
0.8133142857142858,0.8361323529411765,1.0309278964996338
0.8361323529411765,0.8619346153846154,1.0309278964996338
0.8619346153846154,0.8922485714285714,1.0309278964996338
0.8922485714285714,0.9441653846153848,1.0309278964996338
0.9441653846153848,0.9916809523809524,1.0309278964996338
0.9916809523809524,1.1206625,0.9278350472450256
