SOC,SOH,Material,Type
5.0,0.78856,NMC_15Ah,Fixed_SOC
5.0,0.7973666666666667,NMC_15Ah,Fixed_SOC
5.0,0.7850733333333333,NMC_15Ah,Fixed_SOC
5.0,0.7833466666666666,NMC_15Ah,Fixed_SOC
5.0,0.7830266666666666,NMC_15Ah,Fixed_SOC
5.0,0.768,NMC_15Ah,Fixed_SOC
5.0,0.7832,NMC_15Ah,Fixed_SOC
5.0,0.7749533333333333,NMC_15Ah,Fixed_SOC
5.0,0.7973199999999999,NMC_15Ah,Fixed_SOC
5.0,0.7752800000000001,NMC_15Ah,Fixed_SOC
5.0,0.76466,NMC_15Ah,Fixed_SOC
5.0,0.78068,NMC_15Ah,Fixed_SOC
5.0,0.7529666666666667,NMC_15Ah,Fixed_SOC
5.0,0.7786266666666666,NMC_15Ah,Fixed_SOC
5.0,0.7700266666666666,NMC_15Ah,Fixed_SOC
5.0,0.77308,NMC_15Ah,Fixed_SOC
5.0,0.7685866666666666,NMC_15Ah,Fixed_SOC
5.0,0.7872733333333334,NMC_15Ah,Fixed_SOC
5.0,0.7994533333333333,NMC_15Ah,Fixed_SOC
5.0,0.7728866666666666,NMC_15Ah,Fixed_SOC
5.0,0.7937666666666666,NMC_15Ah,Fixed_SOC
5.0,0.7859266666666667,NMC_15Ah,Fixed_SOC
5.0,0.7883933333333334,NMC_15Ah,Fixed_SOC
5.0,0.7832866666666667,NMC_15Ah,Fixed_SOC
5.0,0.7745599999999999,NMC_15Ah,Fixed_SOC
5.0,0.7840733333333334,NMC_15Ah,Fixed_SOC
5.0,0.7844133333333333,NMC_15Ah,Fixed_SOC
5.0,0.7879133333333334,NMC_15Ah,Fixed_SOC
5.0,0.7787066666666667,NMC_15Ah,Fixed_SOC
5.0,0.7849733333333333,NMC_15Ah,Fixed_SOC
5.0,0.7611333333333333,NMC_15Ah,Fixed_SOC
5.0,0.7598666666666667,NMC_15Ah,Fixed_SOC
5.0,0.7786333333333334,NMC_15Ah,Fixed_SOC
